"SAMPLING_DATE","SITE_CODE","PARAMETER_NAME","CAMPAIGN_NAME_SHORT","REFERENCE_ID","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","PARAMETER_TYPE","MEASURED_TYPE","SUBSAMPLE","SAMPLE_ID","MEASURED_FLAG","MEASURED_VALUE","MEASURED_UNIT","MEASURED_N","UNCERTAINTY_TYPE","UNCERTAINTY_UPPER","UNCERTAINTY_LOWER","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","SAMPLING_PROTOCOL","EXTRACTION_PROTOCOL","FRACTIONATION_PROTOCOL","ANALYTICAL_PROTOCOL","MEASUREMENT_COMMENT"
"2025-05-08","Vannmiljø_055-28146","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",2.6,"µg/L",1,"Not reported",,,0.05,"µg/L",,"µg/L","1","2","3","4",
"2025-05-08","Vannmiljø_055-28146","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",2.6,"µg/L",1,"Not reported",,,0.05,"µg/L",,"µg/L","1","2","3","4",
"2025-09-18","Vannmiljø_011-28691","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",4.1,"µg/L",1,"Not reported",,,,"µg/L",,"µg/L","1","2","3","4",
"2025-06-23","Vannmiljø_012-28712","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",4,"µg/L",1,"Not reported",,,,"µg/L",,"µg/L","1","2","3","4",
"2025-09-18","Vannmiljø_012-28712","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",1.2,"µg/L",1,"Not reported",,,,"µg/L",,"µg/L","1","2","3","4",
"2025-08-13","Vannmiljø_012-28712","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",1.6,"µg/L",1,"Not reported",,,,"µg/L",,"µg/L","1","2","3","4",
"2025-10-30","Vannmiljø_012-29039","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",0.51,"µg/L",1,"Not reported",,,,"µg/L",,"µg/L","1","2","3","4",
"2025-09-11","Vannmiljø_139-29164","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",11,"µg/L",1,"Not reported",,,,"µg/L",,"µg/L","1","2","3","4",
"2025-05-09","Vannmiljø_056-29774","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",1.8,"µg/L",1,"Not reported",,,0.05,"µg/L",,"µg/L","1","2","3","4",
"2025-05-09","Vannmiljø_056-29774","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",2.6,"µg/L",1,"Not reported",,,0.05,"µg/L",,"µg/L","1","2","3","4",
"2025-05-09","Vannmiljø_056-29886","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",2.5,"µg/L",1,"Not reported",,,0.05,"µg/L",,"µg/L","1","2","3","4",
"2025-05-09","Vannmiljø_056-29886","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",0.71,"µg/L",1,"Not reported",,,0.05,"µg/L",,"µg/L","1","2","3","4",
"2025-05-09","Vannmiljø_061-30052","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",0.77,"µg/L",1,"Not reported",,,0.05,"µg/L",,"µg/L","1","2","3","4",
"2025-05-09","Vannmiljø_061-30052","Copper","Vm_2025","VannmiljøCopper2025","Aquatic","Freshwater","Stressor","Concentration","1","Fake ID","",0.84,"µg/L",1,"Not reported",,,0.05,"µg/L",,"µg/L","1","2","3","4",
