"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","LATITUDE","LONGITUDE","SITE_COORDINATE_SYSTEM","COUNTRY_ISO","OCEAN_IHO","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"Vannmiljø_055-28146","Vannmiljø Station Ulvenvatnet","Lake, pond, pool, reservoir","Water column, pelagic zone",60.19352380109409,5.4353676579526224,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_011-28691","Vannmiljø Station Hårbergbekken, nedstrøms sigevannskum","River, stream, canal","Water column, pelagic zone",59.81257037430872,10.23876944840711,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_012-28712","Vannmiljø Station Kjøsterudbekken","River, stream, canal","Water column, pelagic zone",59.75306288589832,10.117597467295408,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_012-29039","Vannmiljø Station Strandafj. inn (HAL-208)","River, stream, canal","Water column, pelagic zone",60.57668744522934,8.424976907663742,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_139-29164","Vannmiljø Station Elstadelva","River, stream, canal","Water column, pelagic zone",64.52267043775535,12.41659447458617,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_056-29774","Vannmiljø Station Kristianborgvannet","Lake, pond, pool, reservoir","Water column, pelagic zone",60.353370053013144,5.340172404626483,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs europa- og riksveier.
"
"Vannmiljø_056-29886","Vannmiljø Station Griggastemma,  HORIGR01","Lake, pond, pool, reservoir","Water column, pelagic zone",60.45281555563441,5.3196146626135015,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge
"
"Vannmiljø_061-30052","Vannmiljø Station Gaupåsvatnet","Lake, pond, pool, reservoir","Water column, pelagic zone",60.45862528654584,5.416223750786535,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Gaupåsvassdraget"
"Vannmiljø_139-30256","Vannmiljø Station Fosslandselva","River, stream, canal","Water column, pelagic zone",64.48697496129124,12.347629110429128,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_140-30303","Vannmiljø Station Gullvikbekken","River, stream, canal","Water column, pelagic zone",64.47075297237765,11.44591579257586,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Like ovenfor renseanlegget."
"Vannmiljø_124-30416","Vannmiljø Station Vollselva 1","River, stream, canal","Water column, pelagic zone",63.49929156765698,10.866439460834249,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_124-30425","Vannmiljø Station Vollselva 2","River, stream, canal","Water column, pelagic zone",63.48631685024255,10.895826362857292,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_139-30523","Vannmiljø Station Fjerdingelva","River, stream, canal","Water column, pelagic zone",64.63638306447439,12.618081872577438,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_139-30568","Vannmiljø Station Bjøra I","River, stream, canal","Water column, pelagic zone",64.5041359378896,11.9943504229408,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_109-31502","Vannmiljø Station Driva nedstrøms Ålma","River, stream, canal","Water column, pelagic zone",62.58902474545222,9.636775342362032,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_109-31569","Vannmiljø Station Driva v/Båggåstronda","River, stream, canal","Water column, pelagic zone",62.57927344273297,9.636904272182674,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_012-37954","Vannmiljø Station Strandafjorden","Lake, pond, pool, reservoir","Water column, pelagic zone",60.61360000080654,8.525100000164144,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_123-38341","Vannmiljø Station Homla nedstrøms E6","River, stream, canal","Water column, pelagic zone",63.41400932068614,10.807630188168758,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vannkvalitet, sedimenter, automatisk vannlogging"
"Vannmiljø_056-43268","Vannmiljø Station Liavatnet - Lyngbødalen","Lake, pond, pool, reservoir","Water column, pelagic zone",60.371684511646684,5.254757992279852,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Miljøgifter i ferskvannsfisk: NIVA-rapport SR 96/017
Liavatnet, HORILI01: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_056-43318","Vannmiljø Station Apeltunvatnet,  HORIAP01","Lake, pond, pool, reservoir","Water column, pelagic zone",60.29773633626406,5.333320856366862,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Miljøgifter i innsjøsedimenter: NIVA-rapport OR-3699 og OR-3880.
Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_307-44549","Vannmiljø Station Hudningselva ved veibru (St.8)","River, stream, canal","Water column, pelagic zone",64.89083000147416,13.634039999118661,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Overvåking av gruvepåvirkede vassdrag. Grong Gruber A.S."
"Vannmiljø_307-44558","Vannmiljø Station Vektaren, utløp Vektarbotn (St.11)","Lake, pond, pool, reservoir","Water column, pelagic zone",64.91288000081803,13.556900000479136,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Overvåking av gruvepåvirkede vassdrag. Grong Gruber A.S."
"Vannmiljø_139-44646","Vannmiljø Station Røyrvasselva ved Litlfossen (A42)","Lake, pond, pool, reservoir","Water column, pelagic zone",64.79198768780135,13.374980354758677,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Overvåking av gruvepåvirkede vassdrag. Skorovas Gruber."
"Vannmiljø_024-46016","Vannmiljø Station Røiskårvann, utløp","River, stream, canal","Water column, pelagic zone",58.201945855504924,7.035095318643713,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_020-46659","Vannmiljø Station Urevann, innløp (St 28)","River, stream, canal","Water column, pelagic zone",58.20575576894091,8.215940918081476,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vannprøve tas i bekk ned mot vannet."
"Vannmiljø_128-46715","Vannmiljø Station Rungstadvatnet, NTRIRU01","Lake, pond, pool, reservoir","Water column, pelagic zone",64.05714799601192,11.494553061526755,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Undersøkelse av eutrofe innsjøer 2010
Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
"Vannmiljø_029-50876","Vannmiljø Station Stokkalandsvatnet","Lake, pond, pool, reservoir","Water column, pelagic zone",58.820175847578625,5.728251842815056,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Opprettet ny lokalitet på grunnlag av opplysninger fra IRIS 8.7.2011. Data fra tidligere lokalitet (38108) er flyttet til ny lokalitet.
Stokkalandsvatn, ROGIST01: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge."
"Vannmiljø_246-53326","Vannmiljø Station Ørnevann 3 - bekk fra Lomvatnet","Lake, pond, pool, reservoir","Water column, pelagic zone",69.58046456693091,30.030191443284473,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_246-53328","Vannmiljø Station ST 02 Bekk fra Hyttemalmen til Ørnevatnet","River, stream, canal","Water column, pelagic zone",69.59165608095205,30.025198611618997,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_139-53331","Vannmiljø Station Kvernbekken","River, stream, canal","Water column, pelagic zone",64.5764708307003,12.556109190825154,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_143-54355","Vannmiljø Station Stordalsbekken nedre","River, stream, canal","Water column, pelagic zone",64.87661869277699,11.59790307257164,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Stordalsbekken nedstrøms tidliger kommunal avfallsfylling"
"Vannmiljø_057-55398","Vannmiljø Station Skiftedalsvatnet, utløp","River, stream, canal","Water column, pelagic zone",60.36521717629671,5.1300815096175105,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Månedlige vannprøver"
"Vannmiljø_057-55469","Vannmiljø Station Storavatnet Kolltveit","River, stream, canal","Water column, pelagic zone",60.351601731750435,5.077039417130634,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Månedlige vannprøver"
"Vannmiljø_057-55487","Vannmiljø Station Storevatnet Knarrvik","Lake, pond, pool, reservoir","Water column, pelagic zone",60.36978725388201,5.149090561051731,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Månedlige vannprøver"
"Vannmiljø_139-55740","Vannmiljø Station Reina, stasjon 1","River, stream, canal","Water column, pelagic zone",64.49388251458848,11.936863269764473,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16",
"Vannmiljø_039-56356","Vannmiljø Station Fuglavatnet, ROGIFUG1","Lake, pond, pool, reservoir","Water column, pelagic zone",59.41469484489854,5.454097738068633,"WGS84","Norway","Not relevant","Sam Welch (Vm Conversion)","2025-12-16","Vm Original Comment: Vegsalt og tungmetaller i innsjøer langs veger i Sør-Norge"
