ActivityID,Name,Name_EN,Description,Description_EN,Name_EN_Short
ANLA,Overvåking av anadrom laksefisk,Monitoring of anadromous salmonids,"Nasjonal overvåking av laksebestander for å dokumentere bestandssammensetningen m.m. hos voksen laks, herunder andelen rømt oppdrettsfisk. Etablert bl.a. for å kunne fastsette forskrift om fisketider, tillatt redskap og soner for fiske.","National monitoring of salmon populations to document population composition etc. in adult salmon, including the proportion of escaped farmed fish. Established among other things to be able to determine regulations on fishing times, permitted gear and zones for fishing.",Anadromous Salmonids
ANNE,Annet,Other,Annen type overvåking eller kartlegging som det ikke er naturlig å gruppere under noen av aktivitetene i listen. Gi en nærmere beskrivelse i kommentarfeltet.,Other type of monitoring or mapping that does not naturally fall under any of the activities in the list. Provide a more detailed description in the comment field.,Other
AREA,Effekter av planlagt arealbruk,Effects of planned land use,Arealplanlegging som krever konsekvensutredning etter Plan- og bygningsloven. ,Land use planning that requires impact assessment according to the Planning and Building Act.,Land Use Planning
BADE,Overvåking av badevann,Bathing water monitoring,Overvåking av hygienisk kvalitet i badesesongen.,Monitoring of hygienic quality during the bathing season.,Bathing Water
BAPO,Basisovervåking - påvirka områder,Baseline monitoring - impacted areas,"Overvåking av langsiktige endringer som følge av omfattende menneskelig virksomhet, jf. Vannforskriftens vedlegg V, avsnitt 1.3.1. Karakterisert ved et fast nettverk av overvåkingslokaliteter med lav prøvetakingsfrekvens hvor alle kvalitetselementer overvåkes.","Monitoring of long-term changes resulting from extensive human activity, cf. Annex V of the Water Framework Directive, section 1.3.1. Characterized by a fixed network of monitoring sites with low sampling frequency where all quality elements are monitored.",Baseline - Impacted
BARE,Basisovervåking - referanseforhold,Baseline monitoring - reference conditions,"Representativ overvåking av tilnærmet upåvirket tilstand (naturtilstand) for å vurdere langsiktige endringer i de naturlige forholdene, jf. Vannforskriftens vedlegg V, avsnitt 1.3.1. Karakterisert ved et fast nettverk av overvåkingslokaliteter med lav prøvetakingsfrekvens hvor alle kvalitetselementer overvåkes.","Representative monitoring of approximately unaffected state (natural state) to assess long-term changes in natural conditions, cf. Annex V of the Water Framework Directive, section 1.3.1. Characterized by a fixed network of monitoring sites with low sampling frequency where all quality elements are monitored.",Baseline - Reference
BIOM,Overvåking av biologisk mangfold,Monitoring of biodiversity,Nasjonalt program for kartlegging og overvåking av biologisk mangfold i ferskvann og marint miljø.,National program for mapping and monitoring of biodiversity in freshwater and marine environments.,Biodiversity
CEMP,Miljøgifter langs norskekysten,Environmental contaminants along the Norwegian coast,"Statlig program for forurensningsovervåking: Coordinated Environmental Monitoring Programme (CEMP). Trendovervåking av miljøgifter i marine organismer og bunnsedimenter i påvirkede områder, samt stadfesting av bakgrunnsnivåer og trender i ikke påvirkede områder, langs hele norskekysten. Programmet ble avsluttet i 2011 og er videreført i programmet Milkys fra og med 2012.","State program for pollution monitoring: Coordinated Environmental Monitoring Programme (CEMP). Trend monitoring of environmental contaminants in marine organisms and bottom sediments in impacted areas, as well as confirmation of background levels and trends in unaffected areas, along the entire Norwegian coast. The program was terminated in 2011 and continued in the Milkys program from 2012.",Coastal Contaminants (CEMP)
DEPO,Overvåking av avrenning fra landdeponi,Monitoring of runoff from land disposal sites,Overvåking av sigevann og grunnvann som er påvirket av avrenning fra landdeponi (forurenset grunn).,Monitoring of leachate and groundwater affected by runoff from land disposal sites (contaminated soil).,Land Disposal Runoff
DRIK,Overvåking av drikkevann,Drinking water monitoring,"Overvåking (limnologisk undersøkelse) av råvannskilden, dvs. vannforekomsten (elv, innsjø eller grunnvann) som råvannet hentes fra.","Monitoring (limnological survey) of the raw water source, i.e. the water body (river, lake or groundwater) from which raw water is drawn.",Drinking Water Source
