"MediumID","Name","Description","n","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SITE_GEOGRAPH_FEATURE","SITE_GEOGRAPH_FEATURE_SUB"
"BB","Biota bløtdeler","Innmat i muslinger (blåskjell) og skalldyr (f.eks. brunmat i krabbe). Analyseresultater angis i våtvekt.",4597,NA,NA,NA,NA,NA,NA,NA
"BH","Biota helkropp","Homogenisert prøve av fisk (ulike vevstyper). Analyseresultater angis i våtvekt.",488,NA,NA,NA,NA,NA,NA,NA
"BL","Biota lever","Leverprøver av organismer. Analyseresultater angis i våtvekt.",4280,NA,NA,NA,NA,NA,NA,NA
"BM","Biota muskelvev","Muskelvev av organismer, f.eks. fiskefillet og krabbeklo. Analyseresultater angis i våtvekt.",777,NA,NA,NA,NA,NA,NA,NA
"BS","Biota mageinnhold","Ufordøyde matrester i magesekk hos fisk.",NA,NA,NA,NA,NA,NA,NA,NA
"PA","Partikler","Suspenderte eller sedimenterende partikler fanget i sedimentfelle, holdt igjen på filter, komprimert til sentrifugat e.l.",439,NA,NA,NA,NA,NA,NA,NA
"SF","Sediment ferskvann","Vertikale snitt av sedimentert materiale i ferskvann. Analyseresultater angis i tørrvekt.",3009,NA,NA,NA,NA,NA,NA,NA
"SS","Sediment saltvann","Vertikale snitt av sedimentert materiale i marint vann. Analyseresultater angis i tørrvekt.",29681,NA,NA,NA,NA,NA,NA,NA
"VF","Ferskvann","Vannvolum fra overflate eller nærmere angitte dyp/dybdeintervall i innsjøer og elver. Omfatter også vannlevende organismer i pelagial- og litoralsonen.",81921,NA,NA,NA,NA,NA,NA,NA
"VS","Saltvann","Vannvolum fra overflate eller nærmere angitte dyp/dybdeintervall i marint vann. Omfatter også marine organismer i pelagialen og på bløtbunn og hardbunn.",5434,NA,NA,NA,NA,NA,NA,NA
"BK","Biota skuddspiss","Skuddspiss av tang og tare. Analyseresultater angis i våtvekt.",216,NA,NA,NA,NA,NA,NA,NA
"BG","Biota gjeller","Gjeller av fisk (særlig anadrom laksefisk). Analyseresultater angis i tørrvekt.",244,NA,NA,NA,NA,NA,NA,NA
"BE","Biota egg","Homogenisert prøve av eggehvite og eggeplomme i sjøfuglegg. Analyseresultater angis i våtvekt.",338,NA,NA,NA,NA,NA,NA,NA
"NS","Bunnsubstrat saltvann","Marin bløtbunnsfauna og marin hardbunnsflora og -fauna.",NA,NA,NA,NA,NA,NA,NA,NA
"NF","Bunnsubstrat ferskvann","Bunndyr og fastsittende organismer på innsjø- og elvebunn.",NA,NA,NA,NA,NA,NA,NA,NA
