edge_id,from,to,label,status,magnitude,magnitude_unit,magnitude_n,magnitude_sd,magnitude_refs,essentiality_score,essentiality_justification,plausibility_score,plausibility_justification,evidence_score,evidence_justification,quantification_score,quantification_justification,notes
E001-coast-benthic-sed-to-mussel-soft-tissue,N012-coast-benthic-sed,N014-mussel-soft-tissue,coast-benthic-sed-to-mussel-soft-tissue,putative,,,,,,1,Essentiality of source KTR unknown.,3,Mussels are filter feeders; uptake of sediment-associated Cu highly plausible.,1,Evidence out of scope.,1,Emissions models out of scope.,
E002-coast-benthic-sed-to-fish-liver,N012-coast-benthic-sed,N015-fish-liver,coast-benthic-sed-to-fish-liver,putative,,,,,,1,Essentiality of source KTR unknown.,1,Not anticipated to be an important exposure route for fish.,1,Evidence out of scope.,1,Emissions models out of scope.,
E003-coast-benthic-sed-to-fish-muscle,N012-coast-benthic-sed,N016-fish-muscle,coast-benthic-sed-to-fish-muscle,putative,,,,,,1,Essentiality of source KTR unknown.,1,Not anticipated to be an important exposure route for fish.,1,Evidence out of scope.,1,Emissions models out of scope.,
E004-coast-water-column-to-mussel-soft-tissue,N013-coast-water-column,N014-mussel-soft-tissue,coast-water-column-to-mussel-soft-tissue,putative,,,,,,1,Essentiality of source KTR unknown.,2,Mussels are filter feeders; uptake of dissolved Cu plausible.,1,Evidence out of scope.,1,Emissions models out of scope.,
E005-coast-water-column-to-fish-liver,N013-coast-water-column,N015-fish-liver,coast-water-column-to-fish-liver,putative,,,,,,1,Essentiality of source KTR unknown.,2,"Coastal water Cu expected to enter fish liver mediated by gills, other metabolism.",1,Evidence out of scope.,1,Emissions models out of scope.,
E006-coast-water-column-to-fish-muscle,N013-coast-water-column,N016-fish-muscle,coast-water-column-to-fish-muscle,putative,,,,,,1,Essentiality of source KTR unknown.,2,"Coastal water Cu expected to enter fish muscle mediated by gills, other metabolism.",1,Evidence out of scope.,1,Emissions models out of scope.,
E025-mine-tailings-to-coast-benthic-sed,N003-mine-tailings,N012-coast-benthic-sed,mine-tailings-to-coast-benthic-sed,putative,,,,,,1,Essentiality of source KTR unknown.,3,Copper remobilisation from tailings to bioactive sediment zone via bio- or other turbation highly plausible.,3,Sternal and other Repparfjord papers demonstrate in situ and in vitro remobilisation of Cu from tailings to sediment.,1,Emissions models out of scope.,
E026-mine-tailings-to-coast-water-column,N003-mine-tailings,N013-coast-water-column,mine-tailings-to-coast-water-column,putative,,,,,,1,Essentiality of source KTR unknown.,1,Tailings-water contact modelled as mediated via sediment.,3,Sternal and other Repparfjord papers demonstrate that leaching to water column is not an important route for copper exposure.,1,Emissions models out of scope.,"Although STD could reasonably emit to water column, it makes more sense to me to model this through the existing Sediment -> Water column edge"
E027-mine-tailings-to-mussel-soft-tissue,N003-mine-tailings,N014-mussel-soft-tissue,mine-tailings-to-mussel-soft-tissue,rejected,,,,,,1,Essentiality of source KTR unknown.,,,1,,1,Emissions models out of scope.,Indirect; mediated by intermediate nodes/edges
E028-mine-tailings-to-fish-liver,N003-mine-tailings,N015-fish-liver,mine-tailings-to-fish-liver,rejected,,,,,,1,Essentiality of source KTR unknown.,,,1,,1,Emissions models out of scope.,Indirect; mediated by intermediate nodes/edges
