aep_id,node_id,x,y,geo_scope,evidence_score,evidence_justification,quantification_score,quantification_justification,notes,
A001,N013-coast-water-column,,,,2,G004 provides limited evidence of plausible/background copper concentrations in fjord waters.,2,"Behaviour of copper in marine environments is relatively well understood (models exist), atlthough less so than freshwater","Fjord water, Hammerfest coastal.",
A001,N012-coast-benthic-sed,,,,3,"G002 covers wide range (temporal/spatial) of copper sediment concentrations. Although limited number of sources (2), elevated concentrations were found in connection with known copper sources (aquaculture, historical contamination)",1,Behaviour of copper in sediment may be well modelled but such models were out of scope of this study.,"Fjord sediment, including sites directly affected by aquaculture.",
A001,N014-mussel-soft-tissue,,,,2,"G005 - mussels well-studied as biomarker species, but limited sample size and some outliers.",1,Models of mussel uptake of copper may exist but were out of scope for this study.,,
A001,N015-fish-liver,,,,3,"G006, G017 (G. morhua liver) well studied as biomarker tissue/species in Norwegian ecosystems. Data only from one reference",2,"Copper ROS toxicity to fish relatively well modelled/quantified, including in AOP literature.",All fish liver (wet weight); node repurposed from cod 2026-09-02.,
A001,N022-marine-benthic-inverts,,,,1,"No direct evidence of benthic invertebrate exposure in dataset, although sediment-benthic invert pathway is well-known.",1,Relevant models not captured in study scope.,,
A001,N023-marine-macroalgae,,,,2,"Limited data compared to fish/mussels, one tissue in two species.",1,Relevant models not captured in study scope.,,
A001,N042-aquaculture,,,,3,Direct evidence of (modelled) copper emissions provided by aquaculture facilities.,1,Emissions modelled but methodology unknown.,Source; merged aquaculture node (feed + antifoulants); N043 folded in 2026-09-08; 89.9 kg/yr modelled Cu-to-water across 8 in-box farms.,
A001,N044-vessel-antifoulants,,,,1,Included in Comber and likely source but no direct evidence captured.,1,Relevant models not captured in study scope.,Source; research pending; putative; magnitude + EPEQ TODO.,
A001,N045-wwtp-discharge,,,,1,Estimated for Hammerfest WWTP from Bodø WWTP,1,Relevant models not captured in study scope.,Source; national PRTR WWTP Cu-to-water pop-weighted; magnitude + EPEQ TODO.,
A001,N046-industrial-emissions,,,,2,"Direct reporting of copper emissions for facilities in study area, but data incomplete and with no audit trail.",1,Relevant models not captured in study scope.,"Source; PRTR Hammerfest kommune (~0.6 kg/yr, Melkoya-dominated); magnitude + EPEQ TODO.",
A001,N047-anthropogenic-runoff,,,,1,Included in Comber and likely source but no direct evidence captured.,1,Relevant models not captured in study scope.,Source; Comber et al. EU urban factor minus WWTP capture; magnitude + EPEQ TODO.,
A001,N048-natural-runoff,,,,1,Included in Comber and likely source but no direct evidence captured.,1,Relevant models not captured in study scope.,Source; Comber et al. EU natural flux x catchment area; magnitude + EPEQ TODO.,
