node_id,group_id,notes
N012-coast-benthic-sed,G002-Wsd-Cwb-Md,Coastal sediment
N013-coast-water-column,G004-Wmw-Cwc-C,Coastal water
N014-mussel-soft-tissue,G005-Bl-Cnr-M-edu-Tst-Mw,Coastal mussels (SF not reported)
N014-mussel-soft-tissue,G007-Bl-Cwc-M-edu-Tst-Mw,Coastal mussels (SF benthos)
N015-g-morhua-liver,G006-Bf-Cnr-G-mor-Liv-Mw,Coastal cod livers
N016-g-morhua-muscle,G047-Bf-Cnr-G-mor-Mus-Mw,Coastal cod muscle
N022-marine-benthic-inverts,G040-Bi-Cwb-A-rub-Pyl-Md,Marine benthic inverts
N023-marine-macroalgae,G033-Ba-Cnr-A-nod-Sti-Mw,Marine macroalgae
N023-marine-macroalgae,G147-Ba-Cnr-A-nod-Pla-Mw,Marine macroalgae; potential pollution signal but small samples
N023-marine-macroalgae,G036-Ba-Cnr-F-ves-Sti-Mw,Marine macroalgae; potential pollution signal but small samples
N027-river-water-column,G001-Wfw-Rwc-C,River/stream/canal water column
N028-river-benthic-sed,G008-Wsd-Rwb-Md,River/stream/canal sediment
