node_id,label,level,node_type,x,y,lat_min,lat_max,date_min,date_max,exclude_references,exclude_campaigns,drop_outliers,external_value,external_sd,external_n,external_unit,external_refs,essentiality_score,essentiality_justification,plausibility_score,plausibility_justification,evidence_score,evidence_justification,quantification_score,quantification_justification,notes
N003-mine-tailings,Mine tailings,source,external,0,2,,,1900,2100,,,FALSE,290,,1,t/7y,,1,"Structurally, no single source of copper is essential.",3,,3,"Kvassnes & Iversen (2013) reports ""~1 million tonnes over 7 years""",2,,
N012-coast-benthic-sed,Fjord sediment,medium,empirical,2.6,1,,,1900,2100,,,FALSE,,,,,,3,"Sediment's constituents (organic matter, minerals) contain copper, and though some (bioavailable) copper sediments out into lower strata, there is no evidence nor claims that copper is removed from sediment, or that benthic sediment does not contain copper.",3,Copper occurrence in sediment is consensus and uncontroversial.,3,"Rich, internally consistent data from multiple sources in multiple locations over long time periods.",3,TODO,
N013-coast-water-column,Fjord water,medium,empirical,2.6,2,,,1900,2100,,,FALSE,,,,,,3,Copper is transported in dissolved form in the water column,3,Copper occurrence in coastal water is consensus and uncontroversial.,3,"Rich, internally consistent data from multiple sources in multiple locations over long time periods.",3,TODO,
N014-mussel-soft-tissue,Mussel soft tissue,organism,empirical,3.9,0,,,1900,2100,,,FALSE,,,,,,3,"Soft tissue represents the entirety of mussels' metabolically active tissue. If mussels interact with copper in sea water (even to remove it), this must involve at least some occurrence of copper in soft tissues.",3,Copper is present in highly-conserved metabolic systems.,3,,3,TODO,
N015-g-morhua-liver,G. morhua liver,organism,empirical,3.9,1,,,1900,2100,,,FALSE,,,,,,,TODO,3,"Copper is present in highly-conserved metabolic systems, and is particularly concentrated in livers.",3,,3,TODO,
N016-g-morhua-muscle,G. morhua muscle,organism,empirical,3.9,2,,,1900,2100,,Vm_2010_2025 (Urban Fjord Contaminants); Vm_2010_2025 (Measures Monitoring),FALSE,,,,,,,TODO,3,Copper is present in highly-conserved metabolic systems.,1,,3,TODO,
N022-marine-benthic-inverts,Benthic invertebrates,organism,empirical,5.2,3,,,1900,2100,,,FALSE,,,,,,,,,,,,,,G040-Bi-Cwb-A-rub-Pyl-Md
N023-marine-macroalgae,Macroalgae,organism,empirical,5.2,4,,,1900,2100,,,FALSE,,,,,,,,,,,,,,"G033-Ba-Cnr-A-nod-Sti-Mw, G147-Ba-Cnr-A-nod-Pla-Mw & G036-Ba-Cnr-F-ves-Sti-Mw, potential pollution signal but small samples"
N027-river-water-column,River water,medium,empirical,1.3,2,,,1900,2100,,,FALSE,,,,,,,,,,,,,,"Aquatic / Freshwater, River, stream, canal, water column. Group G001-Wfw-Rwc-C: 41,831 measurements, the largest group in the dataset, geometric mean 1.52e-3 mg/L against 8.48e-4 for coastal water."
N028-river-benthic-sed,River sediment,medium,empirical,1.3,1,,,1900,2100,,,FALSE,,,,,,,,,,,,,,"Aquatic / Aquatic Sediment, River, stream, canal, water benthos. Group G008-Wsd-Rwb-Md: 857 measurements, geometric mean 20.5 mg/kg dry, which is indistinguishable from coastal sediment at 20.6."
N036-catchment-runoff,Catchment runoff,source,external,0,1,,,1900,2100,,,FALSE,,,,,,,TODO,,TODO,,TODO,,TODO,Runoff and weathering from the copper-rich Ulveryggen-Nussir catchment to the inner fjord and Repparfjordelva. Magnitude TBD. Added 2026-08-28.
N037-reach-use-pop-weighted,Reported REACH use (pop-weighted),source,external,0,3,,,1900,2100,,,FALSE,,,,kg/yr,,,TODO,,TODO,,TODO,,TODO,"Single pop-weighted REACH source: sum of national REACH net copper quantity x Hammerfest kommune share of Norway (~0.0022, ~12,150 / 5.55M, 2024). external_value + EPEQ TODO. Added 2026-08-28."
