AnalysisMethodID,Name_NO,Description_NO,Name_EN,Description_EN,Withdrawn,Protocol_Name,Comments
NS-ISO 5813,Titrimetrisk metode (ISO 5813),Bestemmelse av oppløst oksygen - Iodometrisk metode - (= EN 25813:1992) (ISO 5813:1983),Titrimetric method,Determination of dissolved oxygen - Iodometrisk method -,FALSE,Other,Classical/non-instrumental analytical method
NS-ISO 5814,Elektrokjemisk metode (ISO 5814; Tilbaketrukket),Bestemmelse av oppløst oksygen - Elektrokjemisk metode - (= EN 25814:1992) (ISO 5814:1990). Tilbaketrukket. Erstattet av NS-EN ISO 5814:2012.,Electrochemical method,Determination of dissolved oxygen - Elektrokjemisk method -. Withdrawn. Erstattet of NS-EN ISO 5814:2012.,TRUE,Other,Classical/non-instrumental analytical method
NS-ISO 5663,Titrimetrisk metode (ISO 5663),Bestemmelse av Kjeldahl-nitrogen - Fremgangsmåte etter oppslutning med selen - (= EN 25663:1993) (ISO 5663:1984),Titrimetric method,Determination of Kjeldahl-nitrogen - Fremgangsmåte etter oppslutning with selen -,FALSE,Other,Classical/non-instrumental analytical method
NS 9425-3 SA,Elektrokjemisk metode (NS 9425-3),Oseanografi - Del 3: Måling av sjøtemperatur og saltholdighet. Salinitet.,Electrochemical method,Oseanografi - Part 3: Måling of seawater temperature and saltholdighet. Salinitet.,FALSE,Other,Classical/non-instrumental analytical method
NS-EN ISO 7887 K3,Spektrofotometri (ISO 7887; Tilbaketrukket),Bestemmelse av farge - Kap. 3: Bestemmelse av sann farge ved hjelp av optiske instrumenter (ISO 7887:1994). Tilbaketrukket. Erstattet av NS-EN ISO 7887:2011 B.,Spectrophotometry,Determination of colour - Kap. 3: determination of sann colour ved hjelp of optiske instrumenter. Withdrawn. Erstattet of NS-EN ISO 7887:2011 B.,TRUE,Spectrophotometry,
NS-EN ISO 10304-1:2009,Væskekromatografi (ISO 10304-1:2009),"Bestemmelse av oppløste anioner med væskekromatografi. Del 1: Bestemmelse av bromid, klorid, fluorid, nitrat, nitritt, fosfat og sulfat (ISO 10304-1:2009)",Liquid chromatography,"Determination of dissolved anions with liquid chromatography. Part 1: determination of bromide, chloride, fluoride, nitrate, nitrite, phosphate and sulfate",FALSE,LC-MS,Generic liquid chromatography; inferred LC-MS from context
NS 4761,Titrimetrisk metode (NS 4761:1987; Tilbaketrukket),Bestemmelse av sulfat i vann - Titrimetrisk thorin-metode. Tilbaketrukket. Erstattet av NS-EN ISO 10304-1:2009.,Titrimetric method,Determination of sulfate in water - Titrimetrisk thorin-method. Withdrawn. Erstattet of NS-EN ISO 10304-1:2009.,TRUE,Other,Classical/non-instrumental analytical method
NS 4762,Nefelometrisk metode (NS 4762:1988; Tilbaketrukket),Bestemmelse av sulfat i vann - Nefelometrisk metode. Tilbaketrukket,Nephelometric method,Determination of sulfate in water - Nefelometrisk method. Withdrawn,TRUE,Other,Classical/non-instrumental analytical method
NS 4733,Veiing (NS 4733:1983; Tilbaketrukket),Bestemmelse av suspendert stoff i avløpsvann og dets gløderest. Tilbaketrukket,Veiing,Determination of suspended stoff in wastewater and dets gløderest. Withdrawn,TRUE,Other,Could not determine specific analytical technique
NS-EN 872,Veiing (NS-EN 872),Bestemmelse av suspendert stoff - Metode med filtrering gjennom glassfiberfiltre.,Veiing,Determination of suspended stoff - method with filtrering gjennom glassfiberfiltre.,FALSE,Other,Could not determine specific analytical technique
REUSS_1986,Reuss and Johnson (1986),"Reuss and Johnson, 1986. Acid deposition and the acidification of soils and waters. In: Ecological studies 59, Springer, pp. 62–65.",Reuss and Johnson,"Reuss and Johnson, 1986. Acid deposition and the acidification of soils and waters. In: Ecological studies 59, Springer, pp. 62–65.",FALSE,Not relevant,"Reference method, guideline, or calculation"
NS 9425-3 TE,Termometer (NS 9425-3),Oseanografi - Del 3: Måling av sjøtemperatur og saltholdighet. Termometer.,Termometer,Oseanografi - Part 3: Måling of seawater temperature and saltholdighet. Termometer.,FALSE,Other,Could not determine specific analytical technique
NS 9425-3 TM,Termistor (NS 9425-3),Oseanografi - Del 3: Måling av sjøtemperatur og saltholdighet. Termistor.,Termistor,Oseanografi - Part 3: Måling of seawater temperature and saltholdighet. Termistor.,FALSE,Other,Could not determine specific analytical technique
NS 4764,Veiing (NS 4764:1980),"Tørrstoff og gløderest i vann, slam og sedimenter",Veiing,"Tørrstoff and gløderest in water, slam and sedimenter",FALSE,Other,Could not determine specific analytical technique
NS 4743,Spektrofotometri (NS 4743:1993; Tilbaketrukket),Bestemmelse av nitrogen etter oksidasjon med peroksodisulfat. Tilbaketrukket. Erstatte av NS-EN ISO 11905-1,Spectrophotometry,Determination of nitrogen etter oksidasjon with peroksodisulfat. Withdrawn. Erstatte of NS-EN ISO 11905-1,TRUE,Spectrophotometry,
NS-EN ISO 11905-1,Spektrofotometri (ISO 11905-1),Bestemmelse av nitrogen - Del 1: Metode basert på oksidativ oppslutning med peroksodisulfat (ISO 11905-1:1997),Spectrophotometry,Determination of nitrogen - Part 1: method basert on oksidativ oppslutning with peroksodisulfat,FALSE,Spectrophotometry,
NS 4725,Spektrofotometri (NS 4725:1984; Tilbaketrukket),Bestemmelse av totalfosfor - Oppslutning med peroksodisulfat. Tilbaketrukket. Erstattet av NS-EN 1189.,Spectrophotometry,Determination of totalfosfor - Oppslutning with peroksodisulfat. Withdrawn. Erstattet of NS-EN 1189.,TRUE,Spectrophotometry,
NS-ISO 8245,Infrarød spektrofotometri (ISO 8245; Tilbaketrukket),Retningslinjer for bestemmelse av totalt organisk karbon (TOC). Tilbaketrukket. Erstattet av NS-EN 1484.,Infrared spectrophotometry,Guidelines for bestemmelse of total organic carbon (TOC). Withdrawn. Erstattet of NS-EN 1484.,TRUE,Spectrophotometry,
NS 4723,Nefelometrisk metode (NS 4723; Tilbaketrukket),Nefelometrisk bestemmelse av turbiditet. Tilbaketrukket. Erstattet av NS-ISO 7027.,Nephelometric method,Nefelometrisk bestemmelse of turbiditet. Withdrawn. Erstattet of NS-ISO 7027.,TRUE,Other,Classical/non-instrumental analytical method
NS-EN ISO 17993,Væskekromatografi (ISO 17993),Bestemmelse av 15 polysykliske aromatiske hydrokarboner (PAH) i vann ved HPLC med fluorimetri etter væske-væske ekstraksjon (ISO 17993:2002),Liquid chromatography,Determination of 15 polysykliske aromatiske hydrokarboner (PAH) in water ved HPLC with fluorimetri etter væske-væske ekstraksjon,FALSE,LC-MS,Generic liquid chromatography; inferred LC-MS from context
NS-EN ISO 17294-2,ICP-MS (ISO 17294-2; Tilbaketrukket),Bruk av induktivt koplet plasmamassespektrometri (ICP-MS) - Del 2: Bestemmelse av 62 grunnstoffer (ISO 17294-2:2003). Tilbaketrukket. Erstattet av NS-EN ISO 17294-2:2016,ICP-MS,Bruk of induktivt koplet plasmamassespektrometri (ICP-MS) - Part 2: determination of 62 grunnstoffer. Withdrawn. Erstattet of NS-EN ISO 17294-2:2016,TRUE,ICP-MS,
NS 4773,AAS flamme (NS 4773),"Atomabsorpsjonsspektrometri i flamme - Spesielle retningslinjer for aluminium, bly, jern, kadmium, kobber, kobolt, krom, mangan, nikkel og sink.",AAS flamme,"Atomabsorpsjonsspektrometri in flamme - Spesielle retningslinjer for aluminium, bly, jern, kadmium, kobber, kobolt, krom, mangan, nikkel and sink.",FALSE,AAS,
NS-EN ISO 12020 K2,AAS flamme (ISO 12020),Bestemmelse av aluminium - Atomabsorpsjon-spektrometrisk metode (ISO 12020:1997). Kap 2: AAS flamme.,AAS flamme,Determination of aluminium - Atomabsorpsjon-spektrometrisk method. Kap 2: AAS flamme.,FALSE,AAS,
