ID,AUTHOR,YEAR,TITLE,SERIES_EDITOR,SERIES_TITLE,SERIES_VOLUME,NUMBER_OF_VOLUMES,EDITOR_NAME,PERIODICAL_JOURNAL,VOLUME,ISSUE,NUMBER_OF_PAGES,PAGES,EPUB_DATE,DATE_CITED,ACCESS_DATE,EDITION,PUBLISHER,PUBLISHED_DATE,PUBLISHED_PLACE,INSTITUTION,DB_NAME,DB_PROVIDER,ACCESSION_NUMBER,DOCUMENT_NUMBER,ISBN/ISSN,DOI,PMCID,URL,REFERENCE_TYPE,ENTERED_BY,ENTERED_DATE,COMMENTS
1,NS-ISO,2014,Water quality - Sampling - Part 6: Guidance on sampling of rivers and streams (Withdrawn),,,,,,,,,,,,,,,,,,,,,,NS-ISO 5667-6A,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=795706,PRIMARY,SAW,02/06/2023,
2,NS-ISO,2008,Water quality - Sampling - Part 17: Guidance on sampling of suspended sediments - Particles (centrifuge),,,,,,,,,,,,,,,,,,,,,,NS-ISO 5667-17:2008C,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=146553,PRIMARY,SAW,02/06/2023,
3,Miljoedirektoratet,No information/not reported,Passive Sampling - Semipermeable Membrane Device (SPMD),,,,,,,,,,,,,,,,,,,,,,PASSIV-SPMD,,,,https://vannmiljokoder.miljodirektoratet.no/SamplingMethod.aspx,PRIMARY,SAW,02/06/2023,
4,NS-ISO,2001,"Water quality - Sampling - Part 4: Guidance on sampling from lakes, natural and man-made (Withdrawn)",,,,,,,,,,,,,,,,,,,,,,NS-ISO 5667-4A,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=889279,PRIMARY,SAW,02/06/2023,
5,NS-ISO,2006,Water quality - Sampling for microbiological analysis,,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 19458,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=218730,PRIMARY,SAW,02/06/2023,
6,NS-ISO,2012,Water quality - Guidelines for the selection of sampling methods and devices for benthic macroinvertebrates in fresh waters,,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 10870:2012-1,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=592345,PRIMARY,SAW,02/06/2023,
7,NS-ISO,1985,Water quality - Methods of biological sampling - Guidance on handnet sampling of aquatic benthic macro-invertebrates,,,,,,,,,,,,,,,,,,,,,,NS-ISO 7828,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=146561,PRIMARY,SAW,02/06/2023,
8,NS,2003,Water quality - Sampling of fish with electricity,,,,,,,,,,,,,,,,,,,,,,NS-EN 14011,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=139033,PRIMARY,SAW,02/06/2023,
9,NS-ISO,2014,Water quality - Sampling - Part 6: Guidance on sampling of rivers and streams (Withdrawn),,,,,,,,,,,,,,,,,,,,,,NS-ISO 5667-6:2014-1,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=795706,PRIMARY,SAW,02/06/2023,
10,NS-ISO,2016,"Water quality - Sampling - Part 4: Guidance on sampling from lakes, natural and man-made",,,,,,,,,,,,,,,,,,,,,,NS-ISO 5667-4:2016A,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=889279,PRIMARY,SAW,02/06/2023,
11,NS,2009,"Water quality - Guidance standard for the surveying, sampling and laboratory analysis of phytobenthos in shallow running water",,,,,,,,,,,,,,,,,,,,,,NS-EN 15708:2009,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=416485,PRIMARY,SAW,02/06/2023,
12,NS-ISO,2004,Water quality - Sampling - Part 19: Guidance on sampling in marine sediments - grab (e.g. van Veen),,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 5667-19B,,,,https://vannmiljokoder.miljodirektoratet.no/SamplingMethod.aspx,PRIMARY,SAW,02/06/2023,
13,NS-ISO,2004,Water quality - Sampling - Part 19: Guidance on sampling in marine sediments - core samples (cylinder),,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 5667-19C,,,,https://vannmiljokoder.miljodirektoratet.no/SamplingMethod.aspx,PRIMARY,SAW,02/06/2023,
14,NS,No information/not reported,PAH in Water - Volume samples,,,,,,,,,,,,,,,,,,,,,,NS 9805-2,,,,https://vannmiljokoder.miljodirektoratet.no/SamplingMethod.aspx,PRIMARY,SAW,02/06/2023,
15,NS-ISO,2014,Water quality - Sampling - Part 6: Guidance on sampling of rivers and streams - Measuring probe in situ (Withdrawn),,,,,,,,,,,,,,,,,,,,,,NS-ISO 5667-6C,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=795706,PRIMARY,SAW,02/06/2023,
16,NS-ISO,2017,"Water quality - Sampling - Part 12: Guidance on sampling of bottom sediments from rivers, lakes and estuarine areas - core samples (bokscorer)",,,,,,,,,,,,,,,,,,,,,,NS-ISO 5667-12:2017A,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=941609,PRIMARY,SAW,02/06/2023,what's a bokscorer?
17,NS-ISO,1992,Water quality - Sampling- Part 9: Guidance on sampling from marine waters - Measuring probe in situ,,,,,,,,,,,,,,,,,,,,,,NS-ISO 5667-9C,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=146561,PRIMARY,SAW,02/06/2023,
18,NS-ISO,1997,Water quality - Determination of selected elements by inductively coupled plasma optical emission spectrometry (withdrawn),,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 11885,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/produktpresentasjon/?ProductID=388573,PRIMARY,SAW,02/06/2023,
19,NS,1983,Water analysis - Determination of suspended solids in waste water and their residue on ignition (withdrawn),,,,,,,,,,,,,,,,,,,,,,NS 4733,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=134366,PRIMARY,SAW,02/06/2023,
20,NS-ISO,1985,Water quality - Determination of electrical conductivity (= EN 27888:1993),,,,,,,,,,,,,,,,,,,,,,NS-ISO 7888,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=146721,PRIMARY,SAW,02/06/2023,
21,NS-ISO,1999,Water quality - Determination of turbidity - nephelometric method (withdrawn),,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 7027 K6,,,,https://vannmiljokoder.miljodirektoratet.no/https://vannmiljokoder.miljodirektoratet.no/AnalysisMethod.aspxMethod.aspx,PRIMARY,SAW,02/06/2023,flag
22,NS,1997,Water analysis - Guidelines for the determination of total organic carbon (TOC) and dissolved organic carbon (DOC) - Infrared spectrophotometry,,,,,,,,,,,,,,,,,,,,,,NS-EN 1484 IR,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/produktpresentasjon/?ProductID=139761,PRIMARY,SAW,02/06/2023,
23,NS-ISO,2004,Water quality - Determination of orthophosphate and total phosphorus contents by flow analysis (FIA and CFA) - Part 2: Method by continuous flow analysis (CFA) (Withdrawn),,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 15681-2,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=144204,PRIMARY,SAW,02/06/2023,
24,NS,1980,"Water analysis - Total residue, and total fixed residue in water, sludge and sediments",,,,,,,,,,,,,,,,,,,,,,NS 4764,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=134402,PRIMARY,SAW,02/06/2023,
25,NS,1979,Water analysis - Determination of pH (withdrawn),,,,,,,,,,,,,,,,,,,,,,NS 4720,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=134354,PRIMARY,SAW,02/06/2023,
26,NS,1975,Water analysis - Determination of ammonia-nitrogen (withdrawn),,,,,,,,,,,,,,,,,,,,,,NS 4746,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/produktpresentasjon/?ProductID=134381,PRIMARY,SAW,02/06/2023,
27,NS-ISO,1998,Water quality - Determination of nitrogen - Part 1: Method using oxidative digestion with peroxodisulfate,,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 11905-1,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/produktpresentasjon/?ProductID=388573,PRIMARY,SAW,02/06/2023,
28,NS-ISO,2004,Water quality - Determination of phosphorus - Ammonium molybdate spectrometric method,,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 6878,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/produktpresentasjon/?ProductID=145211,PRIMARY,SAW,02/06/2023,
29,NS,1997,Water analysis - Guidelines for the determination of total organic carbon (TOC) and dissolved organic carbon (DOC) - Electrochemical method,,,,,,,,,,,,,,,,,,,,,,NS-EN 1484 EL,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/produktpresentasjon/?ProductID=139761,PRIMARY,SAW,02/06/2023,
30,NS,1993,Water analysis - Determination of total nitrogen after oxidation by peroxodisulphate (withdrawn),,,,,,,,,,,,,,,,,,,,,,NS 4743,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=134377,PRIMARY,SAW,02/06/2023,
31,NS,2002,Water quality - Determination of colour - Method by spectrophotometric determination of absorbans at 410 nm,,,,,,,,,,,,,,,,,,,,,,NS 4787,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=134424,PRIMARY,SAW,02/06/2023,
32,NS,2007,Water quality - Determination of mercury - Method using atomic absorption spectrometry (withdrawn),,,,,,,,,,,,,,,,,,,,,,NS-EN 1483,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=271228,PRIMARY,SAW,02/06/2023,
33,NS,1988," Water analysis - Metal content of water, sludge and sediment determined by flameless atomic absorption spectrometry - Electrothermal atomization in a graphite furnace - Special guidelines for Al, Cd, Co, Cr, Cu, Fe, Mn, Ni and Pb (withdrawn)",,,,,,,,,,,,,,,,,,,,,,NS 4781,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/produktpresentasjon/?ProductID=134420,PRIMARY,SAW,02/06/2023,
34,NS,1994,"Water analysis - Atomic absorption spectrometry, atomization in flame - Special guidelines for sodium and potassium",,,,,,,,,,,,,,,,,,,,,,NS 4775,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=134415,PRIMARY,SAW,02/06/2023,
35,NS,1990,Water analysis - Thermotolerant coliform bacteria and presumptive E.coli - Membrane filter method,,,,,,,,,,,,,,,,,,,,,,NS 4792,,,,https://www.standard.no/no/nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=134440,PRIMARY,SAW,02/06/2023,
36,NS-ISO,2014,Water quality - Enumeration of Escherichia coli and coliform bacteria - Part 2: Most probable number method,,,,,,,,,,,,,,,,,,,,,,NS-EN ISO 9308-2:2014,,,,https://www.standard.no/no/Nettbutikk/produktkatalogen/Produktpresentasjon/?ProductID=702385,PRIMARY,SAW,02/06/2023,
37,"Schneider, S. ; Lindstroem, E.A.",2011,The periphyton index of trophic status PIT: a new eutrophication metric based on non-diatomaceous benthic algae in Nordic rivers.,,,,,,Hydrobiologia,665,1,12,143-155,,,,,Springer,01/05/2011,,,,,,SCHNEIDER_2011,1573-5117,10.1007/s10750-011-0614-7,,https://link.springer.com/article/10.1007/s10750-011-0614-7,PRIMARY,SAW,02/06/2023,flag
