SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,CAMPAIGN_NAME_SHORT,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,SITE_NAME,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,COUNTRY_ISO,OCEAN_IHO,LATITUDE,LONGITUDE,ALTITUDE_VALUE,ALTITUDE_UNIT,SITE_COMMENT,YEAR,TITLE,DATA_SOURCE,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SAMPLE_SPECIES_LIFESTAGE,SAMPLE_SPECIES_GENDER,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,RELIABILITY_SCORE,RELIABILITY_EVAL_SYS,CONFIDENTIALITY_EXPIRY_DATE,ORGANISATION,ENTERED_BY,ENTERED_DATE,CAMPAIGN_COMMENT,MEASURED_UNIT_STANDARD,MEASURED_VALUE_STANDARD,UNCERTAINTY_UPPER_STANDARD,UNCERTAINTY_LOWER_STANDARD,LOQ_UNIT_STANDARD,LOQ_VALUE_STANDARD,LOD_UNIT_STANDARD,LOD_VALUE_STANDARD
NorSeal1988_Area I,Copper,1988-07-01,"Biota, Aquatic",1,,7.1,Min-Max Range,2.9,16,mg/L,35,NA,mg/L,NA,mg/L,Other,Acid extractable,Acid digestion,Atomic absorption spectroscopy,1990SkaareLevelsOfPolychlorinated,NorSeal1988_Area I-Copper-BiotaAquatic-1988-07-01-R 1,NorSeal1988,Biota,Stressor,Concentration,,Oslofjord,"Coastal, fjord",Not relevant,Norway,NA,59.1,10.6,0,m,Area I as designated in the study map. Site where harbour seals were found dead or dying during the 1988 disease outbreak. Very rough.,1990,"Levels of Polychlorinated Biphenyls, Organochlorine Pesticides, Mercury, Cadmium, Copper, Selenium, Arsenic, and Zinc in the Harbour Seal, Phoca vitulina, in Norwegian Waters",Primary,Mammals,Phoca vitulina,Liver,Not reported,Not reported,Norwegian harbour seal disease outbreak pollutant analysis 1988,1988-01-01,1988-12-31,NA,Not relevant,NA,Norwegian National Veterinary Institute,Sam Welch,2025-10-31,Study conducted during the morbilli-virus disease outbreak that killed about 1000 harbour seals in Norwegian waters. Samples collected from 82 individuals found dead or dying for determination of organochlorine and heavy metal contents.,mg/L,7.1,2.9,16,mg/L,NA,mg/L,NA
NorSeal1988_Area II,Copper,1988-07-01,"Biota, Aquatic",1,,6.1,Min-Max Range,2.3,14,mg/L,26,NA,mg/L,NA,mg/L,Other,Acid extractable,Acid digestion,Atomic absorption spectroscopy,1990SkaareLevelsOfPolychlorinated,NorSeal1988_Area II-Copper-BiotaAquatic-1988-07-01-R 1,NorSeal1988,Biota,Stressor,Concentration,,Southern coast of Norway,"Coastal, fjord",Not relevant,Norway,NA,58.1,8.5,0,m,Area II as designated in the study map. Southern coast region where harbour seals were found dead or dying during the 1988 disease outbreak. Very rough.,1990,"Levels of Polychlorinated Biphenyls, Organochlorine Pesticides, Mercury, Cadmium, Copper, Selenium, Arsenic, and Zinc in the Harbour Seal, Phoca vitulina, in Norwegian Waters",Primary,Mammals,Phoca vitulina,Liver,Not reported,Not reported,Norwegian harbour seal disease outbreak pollutant analysis 1988,1988-01-01,1988-12-31,NA,Not relevant,NA,Norwegian National Veterinary Institute,Sam Welch,2025-10-31,Study conducted during the morbilli-virus disease outbreak that killed about 1000 harbour seals in Norwegian waters. Samples collected from 82 individuals found dead or dying for determination of organochlorine and heavy metal contents.,mg/L,6.1,2.3,14,mg/L,NA,mg/L,NA
NorSeal1988_Area III,Copper,1988-07-01,"Biota, Aquatic",1,,11,Min-Max Range,2.5,20,mg/L,18,NA,mg/L,NA,mg/L,Other,Acid extractable,Acid digestion,Atomic absorption spectroscopy,1990SkaareLevelsOfPolychlorinated,NorSeal1988_Area III-Copper-BiotaAquatic-1988-07-01-R 1,NorSeal1988,Biota,Stressor,Concentration,,Northwestern coast of Norway,"Coastal, fjord",Not relevant,Norway,NA,62.9,6.5,0,m,Area III as designated in the study map. Northwestern coast region where harbour seals were found dead or dying during the 1988 disease outbreak. Very rough.,1990,"Levels of Polychlorinated Biphenyls, Organochlorine Pesticides, Mercury, Cadmium, Copper, Selenium, Arsenic, and Zinc in the Harbour Seal, Phoca vitulina, in Norwegian Waters",Primary,Mammals,Phoca vitulina,Liver,Not reported,Not reported,Norwegian harbour seal disease outbreak pollutant analysis 1988,1988-01-01,1988-12-31,NA,Not relevant,NA,Norwegian National Veterinary Institute,Sam Welch,2025-10-31,Study conducted during the morbilli-virus disease outbreak that killed about 1000 harbour seals in Norwegian waters. Samples collected from 82 individuals found dead or dying for determination of organochlorine and heavy metal contents.,mg/L,11,2.5,20,mg/L,NA,mg/L,NA
ARKIXb1993FramGrnld_FS,Copper,1993-03-01,"Biota, Aquatic",C. glacialis,,4,95% Confidence Interval,4.5,3.5,mg/kg (dry),8,NA,mg/L,NA,mg/L,,,,,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. glacialis,ARKIXb1993FramGrnld,Biota,Stressor,Concentration,,Fram Strait,"Ocean, sea, territorial waters","Water column, pelagic zone",Not reported,Greenland Sea,79,0,0,m,Combined from a line of 8 sampling points between long -10 and 10 in the Fram Strait.,1997,Trace metals in field samples of zooplankton from the Fram Strait and the Greenland Sea,Primary,Crustaceans,Calanus glacialis,Whole body,Adult,Not reported,Trace metals in zooplankton from Fram Strait and Greenland Sea - ARK IX/Ib cruise,1993-03-01,1993-04-30,NA,Not relevant,NA,Carl von Ossietzky Universität Oldenburg,SZ,2025-10-30,Cruise ARK IX/Ib of RV 'Polarstern' to the Fram Strait and the Greenland Sea in March and April 1993. Samples collected mainly along transects on 24 stations at 79°N and 75°N. Zooplankton collected with vertically towed bongo net from about 1500 m depth to surface and oblique rectangular midwater trawl (RMT 1 + 8) from 1000 m depth to surface. Both coordinates and and sampling dates are reported with only rough precision.,mg/kg (dry),4,4.5,3.5,mg/L,NA,mg/L,NA
ARKIXb1993FramGrnld_FS,Copper,1993-03-01,"Biota, Aquatic",C. finmarchicus,,4.5,95% Confidence Interval,4.7,4.3,mg/kg (dry),28,NA,mg/L,NA,mg/L,,,,,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. finmarchicus,ARKIXb1993FramGrnld,Biota,Stressor,Concentration,,Fram Strait,"Ocean, sea, territorial waters","Water column, pelagic zone",Not reported,Greenland Sea,79,0,0,m,Combined from a line of 8 sampling points between long -10 and 10 in the Fram Strait.,1997,Trace metals in field samples of zooplankton from the Fram Strait and the Greenland Sea,Primary,Crustaceans,Calanus finmarchicus,Whole body,Adult,Not reported,Trace metals in zooplankton from Fram Strait and Greenland Sea - ARK IX/Ib cruise,1993-03-01,1993-04-30,NA,Not relevant,NA,Carl von Ossietzky Universität Oldenburg,SZ,2025-10-30,Cruise ARK IX/Ib of RV 'Polarstern' to the Fram Strait and the Greenland Sea in March and April 1993. Samples collected mainly along transects on 24 stations at 79°N and 75°N. Zooplankton collected with vertically towed bongo net from about 1500 m depth to surface and oblique rectangular midwater trawl (RMT 1 + 8) from 1000 m depth to surface. Both coordinates and and sampling dates are reported with only rough precision.,mg/kg (dry),4.5,4.7,4.3,mg/L,NA,mg/L,NA
ARKIXb1993FramGrnld_FS,Copper,1993-03-01,"Biota, Aquatic",C. hyperboreus,,5.6,95% Confidence Interval,6.8,4.4,mg/kg (dry),27,NA,mg/L,NA,mg/L,,,,,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. hyperboreus,ARKIXb1993FramGrnld,Biota,Stressor,Concentration,,Fram Strait,"Ocean, sea, territorial waters","Water column, pelagic zone",Not reported,Greenland Sea,79,0,0,m,Combined from a line of 8 sampling points between long -10 and 10 in the Fram Strait.,1997,Trace metals in field samples of zooplankton from the Fram Strait and the Greenland Sea,Primary,Crustaceans,Calanus hyperboreus,Whole body,Adult,Not reported,Trace metals in zooplankton from Fram Strait and Greenland Sea - ARK IX/Ib cruise,1993-03-01,1993-04-30,NA,Not relevant,NA,Carl von Ossietzky Universität Oldenburg,SZ,2025-10-30,Cruise ARK IX/Ib of RV 'Polarstern' to the Fram Strait and the Greenland Sea in March and April 1993. Samples collected mainly along transects on 24 stations at 79°N and 75°N. Zooplankton collected with vertically towed bongo net from about 1500 m depth to surface and oblique rectangular midwater trawl (RMT 1 + 8) from 1000 m depth to surface. Both coordinates and and sampling dates are reported with only rough precision.,mg/kg (dry),5.6,6.8,4.4,mg/L,NA,mg/L,NA
ARKIXb1993FramGrnld_FS,Copper,1993-03-01,"Biota, Aquatic",M. longa,,7.5,95% Confidence Interval,10,5,mg/kg (dry),9,NA,mg/L,NA,mg/L,,,,,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RM. longa,ARKIXb1993FramGrnld,Biota,Stressor,Concentration,,Fram Strait,"Ocean, sea, territorial waters","Water column, pelagic zone",Not reported,Greenland Sea,79,0,0,m,Combined from a line of 8 sampling points between long -10 and 10 in the Fram Strait.,1997,Trace metals in field samples of zooplankton from the Fram Strait and the Greenland Sea,Primary,Crustaceans,Metridia longa,Whole body,Adult,Not reported,Trace metals in zooplankton from Fram Strait and Greenland Sea - ARK IX/Ib cruise,1993-03-01,1993-04-30,NA,Not relevant,NA,Carl von Ossietzky Universität Oldenburg,SZ,2025-10-30,Cruise ARK IX/Ib of RV 'Polarstern' to the Fram Strait and the Greenland Sea in March and April 1993. Samples collected mainly along transects on 24 stations at 79°N and 75°N. Zooplankton collected with vertically towed bongo net from about 1500 m depth to surface and oblique rectangular midwater trawl (RMT 1 + 8) from 1000 m depth to surface. Both coordinates and and sampling dates are reported with only rough precision.,mg/kg (dry),7.5,10,5,mg/L,NA,mg/L,NA
ARKIXb1993FramGrnld_FS,Copper,1993-03-01,"Biota, Aquatic",H. glacialis,,12.4,95% Confidence Interval,18.1,6.7,mg/kg (dry),12,NA,mg/L,NA,mg/L,,,,,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RH. glacialis,ARKIXb1993FramGrnld,Biota,Stressor,Concentration,,Fram Strait,"Ocean, sea, territorial waters","Water column, pelagic zone",Not reported,Greenland Sea,79,0,0,m,Combined from a line of 8 sampling points between long -10 and 10 in the Fram Strait.,1997,Trace metals in field samples of zooplankton from the Fram Strait and the Greenland Sea,Primary,Crustaceans,Hymenodora glacialis,Whole body,Adult,Not reported,Trace metals in zooplankton from Fram Strait and Greenland Sea - ARK IX/Ib cruise,1993-03-01,1993-04-30,NA,Not relevant,NA,Carl von Ossietzky Universität Oldenburg,SZ,2025-10-30,Cruise ARK IX/Ib of RV 'Polarstern' to the Fram Strait and the Greenland Sea in March and April 1993. Samples collected mainly along transects on 24 stations at 79°N and 75°N. Zooplankton collected with vertically towed bongo net from about 1500 m depth to surface and oblique rectangular midwater trawl (RMT 1 + 8) from 1000 m depth to surface. Both coordinates and and sampling dates are reported with only rough precision.,mg/kg (dry),12.4,18.1,6.7,mg/L,NA,mg/L,NA
ARKIXb1993FramGrnld_FS,Copper,1993-03-01,"Biota, Aquatic",T. abyssorum,,21.8,95% Confidence Interval,24.3,19.3,mg/kg (dry),26,NA,mg/L,NA,mg/L,,,,,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RT. abyssorum,ARKIXb1993FramGrnld,Biota,Stressor,Concentration,,Fram Strait,"Ocean, sea, territorial waters","Water column, pelagic zone",Not reported,Greenland Sea,79,0,0,m,Combined from a line of 8 sampling points between long -10 and 10 in the Fram Strait.,1997,Trace metals in field samples of zooplankton from the Fram Strait and the Greenland Sea,Primary,Crustaceans,Themisto abyssorum,Whole body,Adult,Not reported,Trace metals in zooplankton from Fram Strait and Greenland Sea - ARK IX/Ib cruise,1993-03-01,1993-04-30,NA,Not relevant,NA,Carl von Ossietzky Universität Oldenburg,SZ,2025-10-30,Cruise ARK IX/Ib of RV 'Polarstern' to the Fram Strait and the Greenland Sea in March and April 1993. Samples collected mainly along transects on 24 stations at 79°N and 75°N. Zooplankton collected with vertically towed bongo net from about 1500 m depth to surface and oblique rectangular midwater trawl (RMT 1 + 8) from 1000 m depth to surface. Both coordinates and and sampling dates are reported with only rough precision.,mg/kg (dry),21.8,24.3,19.3,mg/L,NA,mg/L,NA
ARKIXb1993FramGrnld_FS,Copper,1993-03-01,"Biota, Aquatic",T. libellula,,23,95% Confidence Interval,28.3,17.7,mg/kg (dry),14,NA,mg/L,NA,mg/L,,,,,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RT. libellula,ARKIXb1993FramGrnld,Biota,Stressor,Concentration,,Fram Strait,"Ocean, sea, territorial waters","Water column, pelagic zone",Not reported,Greenland Sea,79,0,0,m,Combined from a line of 8 sampling points between long -10 and 10 in the Fram Strait.,1997,Trace metals in field samples of zooplankton from the Fram Strait and the Greenland Sea,Primary,Crustaceans,Themisto libellula,Whole body,Adult,Not reported,Trace metals in zooplankton from Fram Strait and Greenland Sea - ARK IX/Ib cruise,1993-03-01,1993-04-30,NA,Not relevant,NA,Carl von Ossietzky Universität Oldenburg,SZ,2025-10-30,Cruise ARK IX/Ib of RV 'Polarstern' to the Fram Strait and the Greenland Sea in March and April 1993. Samples collected mainly along transects on 24 stations at 79°N and 75°N. Zooplankton collected with vertically towed bongo net from about 1500 m depth to surface and oblique rectangular midwater trawl (RMT 1 + 8) from 1000 m depth to surface. Both coordinates and and sampling dates are reported with only rough precision.,mg/kg (dry),23,28.3,17.7,mg/L,NA,mg/L,NA
