group_id,ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,dip_p,cum_pct,tier,flag_multimodal,flag_outliers,notebook,decision,lump_into,notes
G001-Wfw-Rwc-C,Aquatic,Freshwater,,,,"River, stream, canal","Water column, pelagic zone",mg/L,,1,41831,1,0,0.4366,top90,TRUE,FALSE,Freshwater,,,"distinct diff between road traff, poll monitoring and measured monitoring distributions"
G002-Wsd-Cwb-Md,Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Water benthos,mg/kg (dry),,2,25024,2,0,0.6977,top90,TRUE,FALSE,Aquatic Sediment,,,"most signal in aqfac, but lots of variation and big right tail"
G003-Wfw-Lwc-C,Aquatic,Freshwater,,,,"Lake, pond, pool, reservoir","Water column, pelagic zone",mg/L,,3,6847,1,0,0.7692,top90,TRUE,FALSE,Freshwater,,,
G004-Wmw-Cwc-C,Aquatic,Marine/Salt Water,,,,"Coastal, fjord","Water column, pelagic zone",mg/L,,4,4969,1,0,0.8211,top90,TRUE,FALSE,Marine and Brackish Water,keep,,
G005-Bl-Cnr-M-edu-Tst-Mw,Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Blue mussel,5,3048,1,0,0.8529,top90,TRUE,TRUE,Molluscs,keep,,
G006-Bf-Cnr-G-mor-Liv-Mw,Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Atlantic cod,6,2796,1,0.00197994067298823,0.8821,top90,TRUE,FALSE,Fish,,,
G007-Bl-Cwc-M-edu-Tst-Mw,Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord","Water column, pelagic zone",mg/kg (wet),Blue mussel,7,2450,2,0.6027390400639735,0.9076,top90,FALSE,FALSE,Molluscs,keep,,keep with other blue mussels
G008-Wsd-Rwb-Md,Aquatic,Aquatic Sediment,,,,"River, stream, canal",Water benthos,mg/kg (dry),,8,857,1,0.42516853897968976,0.9166,top95,FALSE,FALSE,Aquatic Sediment,,,much more variable than fjords
G009-Wsd-Lwb-Md,Aquatic,Aquatic Sediment,,,,"Lake, pond, pool, reservoir",Water benthos,mg/kg (dry),,9,573,1,0.6096603475729658,0.9225,top95,FALSE,FALSE,Aquatic Sediment,,,
G010-Bl-Cnr-N-lap-Tst-Md,Biota,"Biota, Aquatic",Molluscs,Nucella lapillus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (dry),Atlantic dog whelk,10,480,1,,0.9276,top95,FALSE,FALSE,Molluscs,,,
G011-Bc-Cnr-C-pag-Mus-Mw,Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Edible crab,11,337,1,0.9536289113861868,0.9311,top95,FALSE,FALSE,Crustaceans and Invertebrates,,,
G012-Bm-Cot-U-mar-Liv-Md,Biota,"Biota, Terrestrial",Mammals,Ursus maritimus,Liver,"Coastal, fjord",Other,mg/kg (dry),Polar bear,12,317,1,0.9518154053004008,0.9344,top95,FALSE,FALSE,Birds and Mammals,,,
G013-Wsd-Cwc-Md,Aquatic,Aquatic Sediment,,,,"Coastal, fjord","Water column, pelagic zone",mg/kg (dry),,13,314,1,0.2913586432578572,0.9377,top95,FALSE,FALSE,Aquatic Sediment,keep,,
G014-Bc-Cnr-C-pag-Tst-Mw,Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Edible crab,14,314,1,0.9679895045501452,0.9409,top95,FALSE,FALSE,Crustaceans and Invertebrates,,,
G015-Wsw-Dnr-C,Aquatic,Stormwater,,,,"Drainage, sewer, artificial water",Not reported,mg/L,,15,309,1,0.3079948049052825,0.9442,top95,FALSE,FALSE,Other Waters,,,
G016-Wsd-Owb-Md,Aquatic,Aquatic Sediment,,,,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,16,247,3,0.8282696533746096,0.9467,top95,FALSE,FALSE,Aquatic Sediment,keep,,
G017-Bf-Cnr-G-mor-Liv-Md,Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Not reported,mg/kg (dry),Atlantic cod,17,218,1,0.7996466995814271,0.949,top95,FALSE,FALSE,Fish,,,
G018-Bf-Cnr-C-rup-Wbd-Mw,Biota,"Biota, Aquatic",Fish,Ctenolabrus rupestris,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Goldsinny wrasse,18,192,1,0,0.951,top95,TRUE,FALSE,Fish,,,
G019-Wsd-Cot-Md,Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Other,mg/kg (dry),,19,164,2,0.06947521764156273,0.9527,top99,FALSE,TRUE,Aquatic Sediment,keep,,
G020-Www-Pnr-C,Aquatic,Wastewater,,,,WWTP,Not reported,mg/L,,20,143,1,0.0086533277737949,0.9542,top99,TRUE,TRUE,Other Waters,,,
G021-Bl-Cnr-P-vul-Tst-Mw,Biota,"Biota, Aquatic",Molluscs,Patella vulgata,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Common limpet,21,143,1,0.03226310618134487,0.9557,top99,TRUE,FALSE,Molluscs,,,
G022-Bc-Owc-P-bor-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),Northern shrimp,22,133,1,,0.9571,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G023-Bc-Cwb-G-oce-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Gammarus oceanicus,Whole body,"Coastal, fjord",Water benthos,mg/kg (dry),Oceanic scud,23,132,1,,0.9585,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G024-Bc-Owc-C-hyp-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Calanus hyperboreus,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,24,122,2,,0.9598,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G025-Bb-Onr-S-mol-Egg-Mw,Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Egg,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Common eider,25,120,1,0.9878036780259294,0.961,top99,FALSE,FALSE,Birds and Mammals,,,
G026-Bb-Onr-S-mol-Blo-Mw,Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Blood,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Common eider,26,119,1,0.7033089450321222,0.9623,top99,FALSE,FALSE,Birds and Mammals,,,
G027-Wfw-Rot-C,Aquatic,Freshwater,,,,"River, stream, canal",Other,mg/L,,27,106,2,,0.9634,top99,FALSE,FALSE,Freshwater,,,
G028-Bf-Onr-G-mor-Liv-Mw,Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Atlantic cod,28,92,1,0.9465973061967636,0.9643,top99,FALSE,FALSE,Fish,,,
G029-Bm-Cnv-P-vit-Liv-C,Biota,"Biota, Aquatic",Mammals,Phoca vitulina,Liver,"Coastal, fjord",Not relevant,mg/L,Harbor seal,29,79,1,,0.9651,top99,FALSE,FALSE,Birds and Mammals,,,
G030-Bc-Owc-T-aby-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Themisto abyssorum,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,30,78,2,,0.966,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G031-Bf-Rnr-S-tru-Gil-Md,Biota,"Biota, Aquatic",Fish,Salmo trutta,Gill,"River, stream, canal",Not reported,mg/kg (dry),River trout,31,78,1,0.23403923536254,0.9668,top99,FALSE,FALSE,Fish,,,
G032-Bc-Owc-C-fin-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Calanus finmarchicus,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,32,76,2,,0.9676,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G033-Ba-Cnr-A-nod-Sti-Mw,Biota,"Biota, Aquatic",Algae,Ascophyllum nodosum,Shoot tip,"Coastal, fjord",Not reported,mg/kg (wet),Egg wrack,33,70,1,0.6694242236440893,0.9683,top99,FALSE,FALSE,Algae and Plants,,,
G034-Wsd-Rwc-Md,Aquatic,Aquatic Sediment,,,,"River, stream, canal","Water column, pelagic zone",mg/kg (dry),,34,69,1,0.9131838989971878,0.969,top99,FALSE,FALSE,Aquatic Sediment,,,
G035-Bf-Lnr-C-lav-Mus-Mw,Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Common whitefish,35,69,1,0.2710902470900214,0.9697,top99,FALSE,FALSE,Fish,,,
G036-Ba-Cnr-F-ves-Sti-Mw,Biota,"Biota, Aquatic",Algae,Fucus vesiculosus,Shoot tip,"Coastal, fjord",Not reported,mg/kg (wet),Bladder wrack,36,68,1,0.8915247142754268,0.9704,top99,FALSE,TRUE,Algae and Plants,,,
G037-Bc-Oot-C-pag-Bmt-Md,Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Brown meat,"Ocean, sea, territorial waters",Other,mg/kg (dry),Edible crab,37,64,1,,0.9711,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G038-Bc-Owc-T-lib-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Themisto libellula,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,38,63,1,,0.9718,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G039-Bi-Cwb-A-rub-Bwa-Md,Biota,"Biota, Aquatic",Invertebrates,Asterias rubens,Body wall,"Coastal, fjord",Water benthos,mg/kg (dry),European starfish,39,60,1,0.14813079489359926,0.9724,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G040-Bi-Cwb-A-rub-Pyl-Md,Biota,"Biota, Aquatic",Invertebrates,Asterias rubens,Pyloric caeca,"Coastal, fjord",Water benthos,mg/kg (dry),European starfish,40,60,1,0.7809997975270189,0.973,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G041-Bf-Cnr-P-fle-Liv-Mw,Biota,"Biota, Aquatic",Fish,Platichthys flesus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),European flounder,41,56,1,1.1059095216481296e-5,0.9736,top99,TRUE,FALSE,Fish,,,
G042-Bf-Lnr-C-lav-Liv-Mw,Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Common whitefish,42,51,1,0.9857599225227286,0.9741,top99,FALSE,FALSE,Fish,,,
G043-Bf-Oot-G-mor-Mus-Md,Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Ocean, sea, territorial waters",Other,mg/kg (dry),Atlantic cod,43,51,1,0.44957525137160503,0.9747,top99,FALSE,TRUE,Fish,,,
G044-Bl-Cnr-M-mod-Tst-Mw,Biota,"Biota, Aquatic",Molluscs,Modiolus modiolus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Northern horsemussel,44,51,1,0.22415895943344588,0.9752,top99,FALSE,FALSE,Molluscs,,,
G045-Bf-Rnr-S-sal-Gil-Md,Biota,"Biota, Aquatic",Fish,Salmo salar,Gill,"River, stream, canal",Not reported,mg/kg (dry),Atlantic salmon,45,50,1,0.7285306746432971,0.9757,top99,FALSE,FALSE,Fish,,,
G046-Wbw-Uwb-Md,Aquatic,Brackish/Transitional Water,,,,Estuary,Water benthos,mg/kg (dry),,46,44,1,0.6580099438924973,0.9762,top99,FALSE,FALSE,Marine and Brackish Water,,,
G047-Bf-Cnr-G-mor-Mus-Mw,Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Atlantic cod,47,44,1,0.7079142608551925,0.9766,top99,FALSE,FALSE,Fish,,,
G048-Bf-Lnr-P-flu-Mus-Mw,Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),European perch,48,44,1,0.23780300610131025,0.9771,top99,FALSE,FALSE,Fish,,,
G049-Bf-Owc-R-hip-Mus-Mw,Biota,"Biota, Aquatic",Fish,Reinhardtius hippoglossoides,Muscle,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),Greenland flounder,49,43,1,,0.9776,top99,FALSE,FALSE,Fish,,,
G050-Bc-Owc-M-lon-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Metridia longa,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,50,42,2,,0.978,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G051-Br-Cnr-Poly-Wbd-Mw,Biota,"Biota, Aquatic",Worms,Polychaeta,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Polychaetes,51,42,1,0.9773112465453538,0.9784,top99,FALSE,TRUE,Crustaceans and Invertebrates,,,
G052-Bc-Owc-C-bor-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Conchoecia borealis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,52,41,1,,0.9789,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G053-Bc-Owc-H-gla-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Hymenodora glacialis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),Northern ambereye,53,41,1,,0.9793,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G054-Bf-Lnr-S-tru-Mus-Mw,Biota,"Biota, Aquatic",Fish,Salmo trutta,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),River trout,54,40,1,0.9769539716368624,0.9797,top99,FALSE,TRUE,Fish,,,
G055-Bl-Cwb-N-lap-Tst-Md,Biota,"Biota, Aquatic",Molluscs,Nucella lapillus,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),Atlantic dog whelk,55,39,1,,0.9801,top99,FALSE,FALSE,Molluscs,,,
G056-Bf-Lnr-E-luc-Mus-Mw,Biota,"Biota, Aquatic",Fish,Esox lucius,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Northern pike,56,38,1,0.7135722668783263,0.9805,top99,FALSE,TRUE,Fish,,,
G057-Bl-Cwb-L-rud-Tst-Md,Biota,"Biota, Aquatic",Molluscs,Littorina rudis,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),,57,38,1,,0.9809,top99,FALSE,FALSE,Molluscs,,,
G058-Bf-Lnr-S-alp-Liv-Mw,Biota,"Biota, Aquatic",Fish,Salvelinus alpinus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Arctic char,58,36,1,0.3768373373137238,0.9813,top99,FALSE,FALSE,Fish,,,
G059-Bm-Rnr-V-vul-Liv-Mw,Biota,"Biota, Terrestrial",Mammals,Vulpes vulpes,Liver,"River, stream, canal",Not reported,mg/kg (wet),Red fox,59,36,1,0.4049718251042793,0.9817,top99,FALSE,FALSE,Birds and Mammals,,,
G060-Bf-Rnr-S-tru-Wbd-Mw,Biota,"Biota, Aquatic",Fish,Salmo trutta,Whole body,"River, stream, canal",Not reported,mg/kg (wet),River trout,60,34,1,0.00164936551586547,0.982,top99,TRUE,TRUE,Fish,,,
G061-Bl-Cnv-M-edu-Tst-Md,Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Not relevant,mg/kg (dry),Blue mussel,61,30,1,,0.9823,top99,FALSE,FALSE,Molluscs,,,
G062-Bb-Mot-R-tri-Mus-Md,Biota,"Biota, Terrestrial",Birds,Rissa tridactyla,Muscle,Bare land and lichen/moss,Other,mg/kg (dry),Black-legged kittiwake,62,30,1,,0.9826,top99,FALSE,FALSE,Birds and Mammals,,,
G063-Bf-Lnr-E-luc-Liv-Mw,Biota,"Biota, Aquatic",Fish,Esox lucius,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Northern pike,63,29,1,0.7915895824894317,0.9829,top99,FALSE,FALSE,Fish,,,
G064-Bi-Cnv-S-dro-Gon-Md,Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus droebachiensis,Gonad,"Coastal, fjord",Not relevant,mg/kg (dry),Green sea urchin,64,29,1,,0.9832,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G246-Bm-Ows-P-gro-Kid-Mw,Biota,"Biota, Aquatic",Mammals,Pagophilus groenlandicus,Kidney,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),Harp seal,65,29,1,,0.9835,top99,FALSE,FALSE,,,,
G247-Bm-Ows-P-gro-Liv-Mw,Biota,"Biota, Aquatic",Mammals,Pagophilus groenlandicus,Liver,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),Harp seal,66,29,1,,0.9838,top99,FALSE,FALSE,,,,
G248-Bm-Ows-P-gro-Mus-Mw,Biota,"Biota, Aquatic",Mammals,Pagophilus groenlandicus,Muscle,"Ocean, sea, territorial waters",Water surface,mg/kg (wet),Harp seal,67,29,1,,0.9841,top99,FALSE,FALSE,,,,
G065-Bl-Cnr-L-lit-Tst-Mw,Biota,"Biota, Aquatic",Molluscs,Littorina littorea,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Common periwinkle,68,28,1,0.47214139094460217,0.9844,top99,FALSE,FALSE,Molluscs,,,
G066-Bb-Mot-R-tri-Liv-Md,Biota,"Biota, Terrestrial",Birds,Rissa tridactyla,Liver,Bare land and lichen/moss,Other,mg/kg (dry),Black-legged kittiwake,69,28,1,,0.9847,top99,FALSE,FALSE,Birds and Mammals,,,
G067-Bc-Cnr-Euph-Wbd-Mw,Biota,"Biota, Aquatic",Crustaceans,Euphausiacea,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Krill,70,27,1,0.3108263779842544,0.985,top99,FALSE,TRUE,Crustaceans and Invertebrates,,,
G068-Bc-Owc-E-ham-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Eukrohnia hamata,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),Arrow worm,71,26,1,,0.9853,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G069-Bc-Cnr-I-set-Wbd-Mw,Biota,"Biota, Aquatic",Crustaceans,Isobactrus setosus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),,72,26,1,0.818749070364907,0.9856,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G070-Bm-Mot-O-rmd-Lun-Mw,Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Lung,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,73,26,1,,0.9858,top99,FALSE,FALSE,Birds and Mammals,,,
G071-Bf-Lnr-P-flu-Liv-Mw,Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),European perch,74,25,1,0.6912115858066854,0.9861,top99,FALSE,FALSE,Fish,,,
G072-Bm-Mot-O-rmd-Kid-Mw,Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Kidney,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,75,25,1,,0.9863,top99,FALSE,FALSE,Birds and Mammals,,,
G073-Bc-Owc-M-nor-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Meganyctiphanes norvegica,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),Nordic krill,76,24,2,,0.9866,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G074-Br-Cot-A-vir-Wbd-Md,Biota,"Biota, Aquatic",Worms,Alitta virens,Whole body,"Coastal, fjord",Other,mg/kg (dry),Clam worm,77,24,1,,0.9868,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
G075-Eso-Rws-Md,Terrestrial,Soil O Horizon (Organic),,,,"River, stream, canal",Water surface,mg/kg (dry),,78,24,1,,0.9871,top99,FALSE,FALSE,Terrestrial Soil,,,
G076-Bc-Owc-E-gla-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Euchaeta glacialis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,79,23,1,,0.9873,top99,FALSE,FALSE,Crustaceans and Invertebrates,,,
