ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,group_id
Aquatic,Freshwater,,,,"River, stream, canal","Water column, pelagic zone",mg/L,G001-Wfw-Rwc-C
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Water benthos,mg/kg (dry),G002-Wsd-Cwb-Md
Aquatic,Freshwater,,,,"Lake, pond, pool, reservoir","Water column, pelagic zone",mg/L,G003-Wfw-Lwc-C
Aquatic,Marine/Salt Water,,,,"Coastal, fjord","Water column, pelagic zone",mg/L,G004-Wmw-Cwc-C
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G005-Bl-Cnr-M-edu-Tst-Mw
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G006-Bf-Cnr-G-mor-Liv-Mw
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord","Water column, pelagic zone",mg/kg (wet),G007-Bl-Cwc-M-edu-Tst-Mw
Aquatic,Aquatic Sediment,,,,"River, stream, canal",Water benthos,mg/kg (dry),G008-Wsd-Rwb-Md
Aquatic,Aquatic Sediment,,,,"Lake, pond, pool, reservoir",Water benthos,mg/kg (dry),G009-Wsd-Lwb-Md
Biota,"Biota, Aquatic",Molluscs,Nucella lapillus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (dry),G010-Bl-Cnr-N-lap-Tst-Md
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G011-Bc-Cnr-C-pag-Mus-Mw
Biota,"Biota, Terrestrial",Mammals,Ursus maritimus,Liver,"Coastal, fjord",Other,mg/kg (dry),G012-Bm-Cot-U-mar-Liv-Md
Aquatic,Aquatic Sediment,,,,"Coastal, fjord","Water column, pelagic zone",mg/kg (dry),G013-Wsd-Cwc-Md
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G014-Bc-Cnr-C-pag-Tst-Mw
Aquatic,Stormwater,,,,"Drainage, sewer, artificial water",Not reported,mg/L,G015-Wsw-Dnr-C
Aquatic,Aquatic Sediment,,,,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G016-Wsd-Owb-Md
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Not reported,mg/kg (dry),G017-Bf-Cnr-G-mor-Liv-Md
Biota,"Biota, Aquatic",Fish,Ctenolabrus rupestris,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G018-Bf-Cnr-C-rup-Wbd-Mw
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Other,mg/kg (dry),G019-Wsd-Cot-Md
Aquatic,Wastewater,,,,WWTP,Not reported,mg/L,G020-Www-Pnr-C
Biota,"Biota, Aquatic",Molluscs,Patella vulgata,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G021-Bl-Cnr-P-vul-Tst-Mw
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G022-Bc-Owc-P-bor-Wbd-Md
Biota,"Biota, Aquatic",Crustaceans,Gammarus oceanicus,Whole body,"Coastal, fjord",Water benthos,mg/kg (dry),G023-Bc-Cwb-G-oce-Wbd-Md
Biota,"Biota, Aquatic",Crustaceans,Calanus hyperboreus,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G024-Bc-Owc-C-hyp-Wbd-Md
Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Egg,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G025-Bb-Onr-S-mol-Egg-Mw
Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Blood,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G026-Bb-Onr-S-mol-Blo-Mw
Aquatic,Freshwater,,,,"River, stream, canal",Other,mg/L,G027-Wfw-Rot-C
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G028-Bf-Onr-G-mor-Liv-Mw
Biota,"Biota, Aquatic",Mammals,Phoca vitulina,Liver,"Coastal, fjord",Not relevant,mg/L,G029-Bm-Cnv-P-vit-Liv-C
Biota,"Biota, Aquatic",Crustaceans,Themisto abyssorum,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G030-Bc-Owc-T-aby-Wbd-Md
Biota,"Biota, Aquatic",Fish,Salmo trutta,Gill,"River, stream, canal",Not reported,mg/kg (dry),G031-Bf-Rnr-S-tru-Gil-Md
Biota,"Biota, Aquatic",Crustaceans,Calanus finmarchicus,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G032-Bc-Owc-C-fin-Wbd-Md
Biota,"Biota, Aquatic",Algae,Ascophyllum nodosum,Shoot tip,"Coastal, fjord",Not reported,mg/kg (wet),G033-Ba-Cnr-A-nod-Sti-Mw
Aquatic,Aquatic Sediment,,,,"River, stream, canal","Water column, pelagic zone",mg/kg (dry),G034-Wsd-Rwc-Md
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G035-Bf-Lnr-C-lav-Mus-Mw
