Paper ID,Title,Objectives,Domain,Stressors,Review Protocol,Compartments & Flows,N Studies,Domain Rationale,Species,Internal vs External,Sources vs Behaviour,Evidence Assessment
80,The effects of gene × environment interactions on silver nanoparticle toxicity in the respiratory system: An adverse outcome pathway,Use AgNP to interrogate the AEP-AOP framework by organizing and integrating data to evaluate G × E effects on AgNP toxicity,"Respiratory system with acute, subacute, and subchronic exposures",Silver nanoparticles (AgNP),"Systematic literature review, focusing on in vitro and in vivo studies that assayed genetic and acquired factors on AgNP toxicity",Integrating dosimetric data for intracellular uptake and/or localization of Ag mass in cell cultures and lungs,Not specified,Evaluate G × E effects on AgNP toxicity in the respiratory system,Mice and rats,Both,Behaviour only,Statistical significance and color-coded KER to assess the strength of evidence
17,Application of a combined aggregate exposure pathway and adverse outcome pathway (AEP-AOP) approach to inform a cumulative risk assessment: A case study with phthalates,Demonstrate the integration of AEP and AOP frameworks for cumulative risk assessment of phthalates,Data from over 25 countries from 2004 to 2016,"Phthalates, specifically DEHP and DnBP","Databases like PubMed, ProQuest Environmental Science Collection, and Science Direct with specific search terms related to phthalates and their synonyms",AEP networks to capture co-occurrence data and predict target site exposures,>100,Ubiquity of phthalates in the environment and their association with disruption of male sexual development,Humans,Both,Both,"WoE approach, considering all exposure sources relevant to a given target"
20,Assessment of human exposure to cadmium and its nephrotoxicity in the Chinese population,"Evaluate the profile of Cd in the environment and the Chinese population, and to explore the association of Cd exposure with renal function",Chinese population to December 2023,Cadmium (Cd),"'Cadmium' as the keyword and searched PubMed, Web of Science, CNKI, and Wanfang","5 key exposure states: source, exposure medium, external exposure, internal exposure, and target site exposure",220,Understand Cd exposure and nephrotoxicity in the Chinese population,Humans,Both,Both,Systematic review and meta-analysis to assess the strength of evidence
4,A proposal for creating a taxonomy of chemical interactions using concepts from the aggregate exposure and adverse outcome pathways,Propose a taxonomy for organizing data on chemical interactions using the AEP and AOP frameworks,Not specified,Chemical interactions,Not specified,Interactions into four top-level categories based on the location in the continuum where a chemical interaction occurs,Not specified,Address the entire source–exposure–response continuum,Not specified,Both,Behaviour only,Not specified
28,Completing the Link between Exposure Science and Toxicology for Improved Environmental Health Decision Making: The Aggregate Exposure Pathway Framework,Propose the aggregate exposure pathway (AEP) concept as a framework for exposure science,Not specified,Chemicals,Not specified,Key events (KEs) and key event relationships (KERs),Not specified,Integrate exposure science with toxicology,Not specified,Both,Both,Not specified
1,A Case Study Application of the Aggregate Exposure Pathway (AEP) and Adverse Outcome Pathway (AOP) Frameworks to Facilitate the Integration of Human Health and Ecological End Points for Cumulative Risk Assessment (CRA),Demonstrate the application of the AEP-AOP construct for cross-species data integration,Not specified,Perchlorate anion (ClO4−),Not specified,AEP network to represent the movement of ClO4− in the environment,Not specified,Availability of dose-response data and evidence for the presence of the NIS inhibition AOP,12 species,Both,Both,Availability and quality of data
3,A Model for Risk-Based Screening and Prioritization of Human Exposure to Chemicals from Near-Field Sources,Introduce the RAIDAR-ICE model for screening and prioritization of chemicals based on exposure and risk,"Near-field environments, particularly indoor settings",Neutral organic chemicals,Not specified,"Compartments into indoor air, polyurethane foam, carpet, vinyl floor, and organic films on surfaces",37 chemicals,Evaluate human exposure due to indoor use and direct application of chemicals,Humans (exposure focus),Both,Behaviour only,Not specified
5,A Quantitative Source-to-Outcome Case Study To Demonstrate the Integration of Human Health and Ecological End Points Using the Aggregate Exposure Pathway and Adverse Outcome Pathway Frameworks,Demonstrate a quantitative approach for implementing the AEP framework and linking it to AOPs,Hypothetical contaminated site,ClO4− contamination,Published pharmacokinetic models and dose-response data for a multispecies AOP network,Six interacting environmental compartments,Not specified,A hypothetical contaminated site,"Humans, fishes, and small herbivorous mammals",Both,Behaviour only,Published dose-response data and pharmacokinetic models
11,Aerosol Toxicokinetics: A Framework for Unraveling Toxicological Dynamics from Air to the Body,Introduce a concept of aerosol toxicokinetics to elucidate variations of aerosol toxicity in the atmosphere and the body,Not specified,Aerosol components,Not specified,"Compartments and flows based on the processes of absorption, distribution, metabolism, and excretion",Not specified,Not specified,Not specified,Both,Behaviour only,Not specified
46,Human biomonitoring and toxicokinetics as key building blocks for next generation risk assessment,"Show how HBM and toxicokinetics/PBK modelling are interlinked, evaluate their potential in risk assessment, and make recommendations for their integration",Not specified,"Chemicals from various routes and sources, including consumer products, diet, and indoor/outdoor environments",Not specified,Not specified,Not specified,Not specified,Humans,Both,Both,Not specified
13,Aggregate exposure pathways for microplastics (mpAEP): An evidence-based framework to identify research and regulatory needs,"Develop an AEP framework for microplastics, assess WoE, demonstrate usefulness by case studies, and propose applications","Changjiang Estuary and East China Sea, and the Oslo Fjord","Microplastic particles at the micrometer scale, including synthetic and cellulosic microplastic fibers","Keywords like 'microplastic', 'Changjiang Estuary/Yangtze River Estuary', and 'East China Sea' in Google Scholar and Baidu Scholar","Key exposure states (KES) such as source, exposure medium, external exposure, internal exposure, and target site exposure",20,The availability of data to support the development and assessment of the AEPs,Fish and mussels,Both,Both,"WoE assessment based on criteria like essentiality, theoretical plausibility, empirical support, and quantitative understanding"
14,Aggregate exposure pathways in support of risk assessment,Integrate the AOP and AEP frameworks to improve risk assessment,Not specified,Both chemical and non-chemical stressors,Not specified,AEP framework to organize exposure information across different media,Not specified,Integrate exposure and outcome pathways for risk assessment,Not specified,Both,Both,Not specified
