"scope","region","source_category","medium","total_kg_yr","sd_total_kg_yr","n_years","n_facilities","year_min","year_max","mean_kg_yr","sd_kg_yr","n_rows","n_dropped"
"National",NA,"Land-based industry","Water",13203.537655138947,14457.746818243633,36,135,1985,2023,150.56298878207224,1574.359418554366,3157,1
"National",NA,"Waste water treatment","Water",5172.666428652174,1518.122205245258,23,69,2002,2024,121.52331752706844,265.3682533121148,979,0
"National",NA,"Land-based industry","Air",3261.124392639511,1354.549695653444,36,87,1985,2023,76.5821775179533,377.0091286307592,1533,1
"National",NA,"Offshore oil and gas","Water",675.0304544285714,1041.48112249783,28,35,1997,2024,22.23629732235294,162.8405582390552,850,0
"National",NA,"Landfills","Water",402.02937013270713,134.3334879664389,14,148,2011,2024,3.0655834323844773,15.107713424246228,1836,2
"Fylke","Østfold","Land-based industry","Water",6117.9588205882355,3085.443145961409,34,15,1991,2024,679.7732022875817,2125.0784478632763,306,3
"Fylke","Vestland","Land-based industry","Water",3113.3772635,13507.279843319997,36,28,1985,2023,168.03835305247375,2991.9623448511857,667,1
"Fylke","Agder","Land-based industry","Air",2064.2064944444446,1553.3113513276664,36,8,1985,2023,424.63676457142856,1031.1990559572703,175,0
"Fylke","Nordland","Land-based industry","Water",1507.8653731875,1714.123555814806,32,7,1985,2023,299.69994995031055,884.2027700637633,161,5
"Fylke","Agder","Land-based industry","Water",1487.8816994444444,1316.5153623930723,36,9,1985,2023,253.85659327014218,730.6171477658502,211,0
"Fylke","Akershus","Waste water treatment","Water",1143.369761478261,609.090847437642,23,8,2002,2024,194.79632973333332,383.59761365330235,135,0
"Fylke","Oslo","Waste water treatment","Water",1104.0608023636364,525.5021987389504,22,1,2003,2024,1104.0608023636364,525.5021987389504,22,0
"Fylke","Vestland","Waste water treatment","Water",891.3142855384615,1540.196122177291,13,9,2005,2024,146.67197103797469,311.87646151425025,79,6
"Fylke","Trøndelag","Waste water treatment","Water",822.5297290588236,303.6770995772245,17,6,2005,2024,245.31588410526317,240.5784958604235,57,0
