year,nace,industry,contents,norway_raw,hammerfest_raw,norway,hammerfest,hammerfest_share_pct,source_table
2015,00-99,All industries,Employed persons by place of work,2597063,5745,2597063,5745,0.221,SSB 07984
2016,00-99,All industries,Employed persons by place of work,2613653,5758,2613653,5758,0.22,SSB 07984
2017,00-99,All industries,Employed persons by place of work,2647297,5875,2647297,5875,0.222,SSB 07984
2018,00-99,All industries,Employed persons by place of work,2683447,5880,2683447,5880,0.219,SSB 07984
2019,00-99,All industries,Employed persons by place of work,2710435,5789,2710435,5789,0.214,SSB 07984
2020,00-99,All industries,Employed persons by place of work,2681541,6037,2681541,6037,0.225,SSB 07984
2021,00-99,All industries,Employed persons by place of work,2762175,6310,2762175,6310,0.228,SSB 07984
2022,00-99,All industries,Employed persons by place of work,2818122,6105,2818122,6105,0.217,SSB 07984
2023,00-99,All industries,Employed persons by place of work,2845307,6085,2845307,6085,0.214,SSB 07984
2024,00-99,All industries,Employed persons by place of work,2863316,6236,2863316,6236,0.218,SSB 07984
2025,00-99,All industries,Employed persons by place of work,2872855,6521,2872855,6521,0.227,SSB 07984
2015,05-09,Mining and quarrying,Employed persons by place of work,60013,572,60013,572,0.953,SSB 07984
2016,05-09,Mining and quarrying,Employed persons by place of work,52995,554,52995,554,1.045,SSB 07984
2017,05-09,Mining and quarrying,Employed persons by place of work,53231,627,53231,627,1.178,SSB 07984
2018,05-09,Mining and quarrying,Employed persons by place of work,54352,663,54352,663,1.22,SSB 07984
2019,05-09,Mining and quarrying,Employed persons by place of work,58755,575,58755,575,0.979,SSB 07984
2020,05-09,Mining and quarrying,Employed persons by place of work,58754,543,58754,543,0.924,SSB 07984
2021,05-09,Mining and quarrying,Employed persons by place of work,59596,704,59596,704,1.181,SSB 07984
2022,05-09,Mining and quarrying,Employed persons by place of work,61306,594,61306,594,0.969,SSB 07984
2023,05-09,Mining and quarrying,Employed persons by place of work,63743,651,63743,651,1.021,SSB 07984
2024,05-09,Mining and quarrying,Employed persons by place of work,66266,770,66266,770,1.162,SSB 07984
2025,05-09,Mining and quarrying,Employed persons by place of work,67241,850,67241,850,1.264,SSB 07984
2015,10-33,Manufacturing,Employed persons by place of work,215650,304,215650,304,0.141,SSB 07984
2016,10-33,Manufacturing,Employed persons by place of work,208203,268,208203,268,0.129,SSB 07984
2017,10-33,Manufacturing,Employed persons by place of work,207180,251,207180,251,0.121,SSB 07984
2018,10-33,Manufacturing,Employed persons by place of work,208825,242,208825,242,0.116,SSB 07984
2019,10-33,Manufacturing,Employed persons by place of work,210775,281,210775,281,0.133,SSB 07984
2020,10-33,Manufacturing,Employed persons by place of work,206844,270,206844,270,0.131,SSB 07984
2021,10-33,Manufacturing,Employed persons by place of work,209741,329,209741,329,0.157,SSB 07984
2022,10-33,Manufacturing,Employed persons by place of work,213648,322,213648,322,0.151,SSB 07984
2023,10-33,Manufacturing,Employed persons by place of work,215337,316,215337,316,0.147,SSB 07984
2024,10-33,Manufacturing,Employed persons by place of work,217339,293,217339,293,0.135,SSB 07984
2025,10-33,Manufacturing,Employed persons by place of work,220880,269,220880,269,0.122,SSB 07984
2015,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,29580,99,29580,99,0.335,SSB 07984
2016,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,30412,106,30412,106,0.349,SSB 07984
2017,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,30490,99,30490,99,0.325,SSB 07984
2018,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,31308,89,31308,89,0.284,SSB 07984
2019,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,32121,87,32121,87,0.271,SSB 07984
2020,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,32754,95,32754,95,0.29,SSB 07984
2021,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,33594,95,33594,95,0.283,SSB 07984
2022,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,34931,97,34931,97,0.278,SSB 07984
2023,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,36257,100,36257,100,0.276,SSB 07984
2024,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,37222,98,37222,98,0.263,SSB 07984
2025,35-39,"Electricity, water supply, sewerage, waste",Employed persons by place of work,37502,110,37502,110,0.293,SSB 07984
2015,06,Extraction of oil and natural gas,Employed persons by place of work,25471,458,25471,458,1.798,SSB 08536
2016,06,Extraction of oil and natural gas,Employed persons by place of work,24051,457,24051,457,1.9,SSB 08536
2017,06,Extraction of oil and natural gas,Employed persons by place of work,23276,478,23276,478,2.054,SSB 08536
2018,06,Extraction of oil and natural gas,Employed persons by place of work,23387,509,23387,509,2.176,SSB 08536
2019,06,Extraction of oil and natural gas,Employed persons by place of work,23788,450,23788,450,1.892,SSB 08536
2020,06,Extraction of oil and natural gas,Employed persons by place of work,23928,:,23928,NA,NA,SSB 08536
2021,06,Extraction of oil and natural gas,Employed persons by place of work,23843,:,23843,NA,NA,SSB 08536
2022,06,Extraction of oil and natural gas,Employed persons by place of work,24567,:,24567,NA,NA,SSB 08536
2023,06,Extraction of oil and natural gas,Employed persons by place of work,26055,:,26055,NA,NA,SSB 08536
2024,06,Extraction of oil and natural gas,Employed persons by place of work,26938,:,26938,NA,NA,SSB 08536
2025,06,Extraction of oil and natural gas,Employed persons by place of work,27239,:,27239,NA,NA,SSB 08536
2015,07,Mining of metal ores,Employed persons by place of work,569,0,569,0,0,SSB 08536
2016,07,Mining of metal ores,Employed persons by place of work,601,0,601,0,0,SSB 08536
2017,07,Mining of metal ores,Employed persons by place of work,589,0,589,0,0,SSB 08536
2018,07,Mining of metal ores,Employed persons by place of work,613,0,613,0,0,SSB 08536
2019,07,Mining of metal ores,Employed persons by place of work,678,0,678,0,0,SSB 08536
2020,07,Mining of metal ores,Employed persons by place of work,:,:,NA,NA,NA,SSB 08536
2021,07,Mining of metal ores,Employed persons by place of work,:,:,NA,NA,NA,SSB 08536
2022,07,Mining of metal ores,Employed persons by place of work,:,:,NA,NA,NA,SSB 08536
2023,07,Mining of metal ores,Employed persons by place of work,:,:,NA,NA,NA,SSB 08536
2024,07,Mining of metal ores,Employed persons by place of work,:,:,NA,NA,NA,SSB 08536
2025,07,Mining of metal ores,Employed persons by place of work,:,:,NA,NA,NA,SSB 08536
2015,08,Other mining and quarrying,Employed persons by place of work,3527,0,3527,0,0,SSB 08536
2016,08,Other mining and quarrying,Employed persons by place of work,3574,0,3574,0,0,SSB 08536
2017,08,Other mining and quarrying,Employed persons by place of work,3591,0,3591,0,0,SSB 08536
2018,08,Other mining and quarrying,Employed persons by place of work,3703,0,3703,0,0,SSB 08536
2019,08,Other mining and quarrying,Employed persons by place of work,3697,0,3697,0,0,SSB 08536
2020,08,Other mining and quarrying,Employed persons by place of work,3677,:,3677,NA,NA,SSB 08536
2021,08,Other mining and quarrying,Employed persons by place of work,3697,:,3697,NA,NA,SSB 08536
2022,08,Other mining and quarrying,Employed persons by place of work,3616,0,3616,0,0,SSB 08536
2023,08,Other mining and quarrying,Employed persons by place of work,3517,0,3517,0,0,SSB 08536
2024,08,Other mining and quarrying,Employed persons by place of work,3625,:,3625,NA,NA,SSB 08536
2025,08,Other mining and quarrying,Employed persons by place of work,3476,0,3476,0,0,SSB 08536
2015,09,Mining support service activities,Employed persons by place of work,30231,114,30231,114,0.377,SSB 08536
2016,09,Mining support service activities,Employed persons by place of work,24697,99,24697,99,0.401,SSB 08536
2017,09,Mining support service activities,Employed persons by place of work,25657,149,25657,149,0.581,SSB 08536
2018,09,Mining support service activities,Employed persons by place of work,26569,154,26569,154,0.58,SSB 08536
2019,09,Mining support service activities,Employed persons by place of work,30491,126,30491,126,0.413,SSB 08536
2020,09,Mining support service activities,Employed persons by place of work,30389,100,30389,100,0.329,SSB 08536
2021,09,Mining support service activities,Employed persons by place of work,31295,228,31295,228,0.729,SSB 08536
2022,09,Mining support service activities,Employed persons by place of work,32294,118,32294,118,0.365,SSB 08536
2023,09,Mining support service activities,Employed persons by place of work,33255,135,33255,135,0.406,SSB 08536
2024,09,Mining support service activities,Employed persons by place of work,34889,207,34889,207,0.593,SSB 08536
2025,09,Mining support service activities,Employed persons by place of work,35699,:,35699,NA,NA,SSB 08536
