nace_section,section_label,divisions,norway,hammerfest,hammerfest_share_of_national_pct,source_table,basis
A,"Agriculture, forestry and fishing","01, 02, 03",65711,290,0.441,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
B,Mining and quarrying,"05, 06, 07, 08, 09",67243,654,0.973,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
C,Manufacturing,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33",220872,265,0.12,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
D,"Electricity, gas, steam and air conditioning supply",35,18462,53,0.287,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
E,"Water supply; sewerage, waste management and remediation","36, 37, 38, 39",19041,57,0.299,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
F,Construction,"41, 42, 43",232947,417,0.179,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
G,Wholesale and retail trade; repair of motor vehicles,"45, 46, 47",355140,555,0.156,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
H,Transportation and storage,"49, 50, 51, 52, 53",137307,407,0.296,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
I,Accommodation and food service activities,"55, 56",107324,254,0.237,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
J,Information and communication,"58, 59, 60, 61, 62, 63",116162,37,0.032,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
K,Financial and insurance activities,"64, 65, 66",53129,29,0.055,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
L,Real estate activities,68,28819,40,0.139,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
M,"Professional, scientific and technical activities","69, 70, 71, 72, 73, 74, 75",167217,116,0.069,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
N,Administrative and support service activities,"77, 78, 79, 80, 81, 82",127381,282,0.221,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
O,Public administration and defence; social security,84,184576,356,0.193,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
P,Education,85,231943,435,0.188,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
Q,Human health and social work activities,"86, 87, 88",597562,1710,0.286,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
R,"Arts, entertainment and recreation","90, 91, 92, 93",64741,98,0.151,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
S,Other service activities,"94, 95, 96",57955,86,0.148,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
T,Activities of households as employers,97,672,0,0,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
U,Activities of extraterritorial organisations and bodies,99,356,0,0,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
TOTAL,All industries,00-99,2872855,6160,0.214,SSB 08536,"Employed persons by place of residence, 4th quarter 2025, both sexes"
