ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,cum_pct,tier,flag_multimodal,flag_outliers,decision,lump_into,notes
Aquatic,Freshwater,,,,"River, stream, canal","Water column, pelagic zone",mg/L,,1,41831,1,0.4373,top90,TRUE,FALSE,own_notebook,"distinct diff between road traff, poll monitoring and measured monitoring distributions",
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Water benthos,mg/kg (dry),,2,25024,2,0.6989,top90,TRUE,FALSE,own_notebook,"most signal in aqfac, but lots of variation and big right tail",
Aquatic,Freshwater,,,,"Lake, pond, pool, reservoir","Water column, pelagic zone",mg/L,,3,6847,1,0.7704,top90,TRUE,FALSE,own_notebook,,
Aquatic,Marine/Salt Water,,,,"Coastal, fjord","Water column, pelagic zone",mg/L,,4,4969,1,0.8224,top90,TRUE,FALSE,own_notebook,,
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Blue mussel,5,3048,1,0.8542,top90,TRUE,TRUE,own_notebook,,
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Atlantic cod,6,2796,1,0.8835,top90,TRUE,FALSE,own_notebook,,
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord","Water column, pelagic zone",mg/kg (wet),Blue mussel,7,2450,2,0.9091,top90,FALSE,FALSE,lump,,keep with other blue mussels
Aquatic,Aquatic Sediment,,,,"River, stream, canal",Water benthos,mg/kg (dry),,8,857,1,0.918,top95,FALSE,FALSE,own_notebook,,much more variable than fjords
Aquatic,Aquatic Sediment,,,,"Lake, pond, pool, reservoir",Water benthos,mg/kg (dry),,9,573,1,0.924,top95,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Nucella lapillus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (dry),Atlantic dog whelk,10,480,1,0.929,top95,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Edible crab,11,337,1,0.9326,top95,FALSE,TRUE,,,
Biota,"Biota, Terrestrial",Mammals,Ursus maritimus,Liver,"Coastal, fjord",Other,mg/kg (dry),Polar bear,12,317,1,0.9359,top95,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Coastal, fjord","Water column, pelagic zone",mg/kg (dry),,13,314,1,0.9392,top95,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Edible crab,14,314,1,0.9424,top95,FALSE,FALSE,,,
Aquatic,Stormwater,,,,"Drainage, sewer, artificial water",Not reported,mg/L,,15,309,1,0.9457,top95,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),,16,247,3,0.9483,top95,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Not reported,mg/kg (dry),Atlantic cod,17,218,1,0.9505,top95,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Ctenolabrus rupestris,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Goldsinny wrasse,18,192,1,0.9525,top99,TRUE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Other,mg/kg (dry),,19,164,2,0.9543,top99,FALSE,TRUE,,,
Aquatic,Wastewater,,,,WWTP,Not reported,mg/L,,20,143,1,0.9558,top99,TRUE,TRUE,,,
Biota,"Biota, Aquatic",Molluscs,Patella vulgata,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Common limpet,21,143,1,0.9572,top99,TRUE,TRUE,,,
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),Northern shrimp,22,133,1,0.9586,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Gammarus oceanicus,Whole body,"Coastal, fjord",Water benthos,mg/kg (dry),Oceanic scud,23,132,1,0.96,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Calanus hyperboreus,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,24,122,2,0.9613,top99,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Egg,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Common eider,25,120,1,0.9625,top99,FALSE,FALSE,,,
Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Blood,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Common eider,26,119,1,0.9638,top99,FALSE,FALSE,,,
Aquatic,Freshwater,,,,"River, stream, canal",Other,mg/L,,27,106,2,0.9649,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),Atlantic cod,28,92,1,0.9659,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Phoca vitulina,Liver,"Coastal, fjord",Not relevant,mg/L,Harbor seal,29,79,1,0.9667,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Themisto abyssorum,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,30,78,2,0.9675,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salmo trutta,Gill,"River, stream, canal",Not reported,mg/kg (dry),River trout,31,78,1,0.9683,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Calanus finmarchicus,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,32,76,2,0.9691,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Algae,Ascophyllum nodosum,Shoot tip,"Coastal, fjord",Not reported,mg/kg (wet),Egg wrack,33,70,1,0.9698,top99,FALSE,FALSE,,,
Aquatic,Aquatic Sediment,,,,"River, stream, canal","Water column, pelagic zone",mg/kg (dry),,34,69,1,0.9706,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Common whitefish,35,69,1,0.9713,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Algae,Fucus vesiculosus,Shoot tip,"Coastal, fjord",Not reported,mg/kg (wet),Bladder wrack,36,68,1,0.972,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Brown meat,"Ocean, sea, territorial waters",Other,mg/kg (dry),Edible crab,37,64,1,0.9727,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Themisto libellula,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,38,63,1,0.9733,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Asterias rubens,Body wall,"Coastal, fjord",Water benthos,mg/kg (dry),European starfish,39,60,1,0.974,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Invertebrates,Asterias rubens,Pyloric caeca,"Coastal, fjord",Water benthos,mg/kg (dry),European starfish,40,60,1,0.9746,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Platichthys flesus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),European flounder,41,56,1,0.9752,top99,TRUE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Common whitefish,42,51,1,0.9757,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Ocean, sea, territorial waters",Other,mg/kg (dry),Atlantic cod,43,51,1,0.9762,top99,FALSE,TRUE,,,
Biota,"Biota, Aquatic",Molluscs,Modiolus modiolus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),Northern horsemussel,44,51,1,0.9768,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salmo salar,Gill,"River, stream, canal",Not reported,mg/kg (dry),Atlantic salmon,45,50,1,0.9773,top99,FALSE,FALSE,,,
Aquatic,Brackish/Transitional Water,,,,Estuary,Water benthos,mg/kg (dry),,46,44,1,0.9777,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Atlantic cod,47,44,1,0.9782,top99,FALSE,FALSE,,,
