ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,group_id
Aquatic,Freshwater,,,,"River, stream, canal","Water column, pelagic zone",mg/L,G001
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Water benthos,mg/kg (dry),G002
Aquatic,Freshwater,,,,"Lake, pond, pool, reservoir","Water column, pelagic zone",mg/L,G003
Aquatic,Marine/Salt Water,,,,"Coastal, fjord","Water column, pelagic zone",mg/L,G004
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G005
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G006
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord","Water column, pelagic zone",mg/kg (wet),G007
Aquatic,Aquatic Sediment,,,,"River, stream, canal",Water benthos,mg/kg (dry),G008
Aquatic,Aquatic Sediment,,,,"Lake, pond, pool, reservoir",Water benthos,mg/kg (dry),G009
Biota,"Biota, Aquatic",Molluscs,Nucella lapillus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (dry),G010
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G011
Biota,"Biota, Terrestrial",Mammals,Ursus maritimus,Liver,"Coastal, fjord",Other,mg/kg (dry),G012
Aquatic,Aquatic Sediment,,,,"Coastal, fjord","Water column, pelagic zone",mg/kg (dry),G013
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G014
Aquatic,Stormwater,,,,"Drainage, sewer, artificial water",Not reported,mg/L,G015
Aquatic,Aquatic Sediment,,,,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G016
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Coastal, fjord",Not reported,mg/kg (dry),G017
Biota,"Biota, Aquatic",Fish,Ctenolabrus rupestris,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G018
Aquatic,Aquatic Sediment,,,,"Coastal, fjord",Other,mg/kg (dry),G019
Aquatic,Wastewater,,,,WWTP,Not reported,mg/L,G020
Biota,"Biota, Aquatic",Molluscs,Patella vulgata,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G021
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G022
Biota,"Biota, Aquatic",Crustaceans,Gammarus oceanicus,Whole body,"Coastal, fjord",Water benthos,mg/kg (dry),G023
Biota,"Biota, Aquatic",Crustaceans,Calanus hyperboreus,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G024
Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Egg,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G025
Biota,"Biota, Terrestrial",Birds,Somateria mollissima,Blood,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G026
Aquatic,Freshwater,,,,"River, stream, canal",Other,mg/L,G027
Biota,"Biota, Aquatic",Fish,Gadus morhua,Liver,"Ocean, sea, territorial waters",Not reported,mg/kg (wet),G028
Biota,"Biota, Aquatic",Mammals,Phoca vitulina,Liver,"Coastal, fjord",Not relevant,mg/L,G029
Biota,"Biota, Aquatic",Crustaceans,Themisto abyssorum,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G030
Biota,"Biota, Aquatic",Fish,Salmo trutta,Gill,"River, stream, canal",Not reported,mg/kg (dry),G031
Biota,"Biota, Aquatic",Crustaceans,Calanus finmarchicus,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G032
Biota,"Biota, Aquatic",Algae,Ascophyllum nodosum,Shoot tip,"Coastal, fjord",Not reported,mg/kg (wet),G033
Aquatic,Aquatic Sediment,,,,"River, stream, canal","Water column, pelagic zone",mg/kg (dry),G034
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G035
Biota,"Biota, Aquatic",Algae,Fucus vesiculosus,Shoot tip,"Coastal, fjord",Not reported,mg/kg (wet),G036
Biota,"Biota, Aquatic",Crustaceans,Cancer pagurus,Brown meat,"Ocean, sea, territorial waters",Other,mg/kg (dry),G037
Biota,"Biota, Aquatic",Crustaceans,Themisto libellula,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G038
Biota,"Biota, Aquatic",Invertebrates,Asterias rubens,Body wall,"Coastal, fjord",Water benthos,mg/kg (dry),G039
Biota,"Biota, Aquatic",Invertebrates,Asterias rubens,Pyloric caeca,"Coastal, fjord",Water benthos,mg/kg (dry),G040
Biota,"Biota, Aquatic",Fish,Platichthys flesus,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G041
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G042
Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Ocean, sea, territorial waters",Other,mg/kg (dry),G043
Biota,"Biota, Aquatic",Molluscs,Modiolus modiolus,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G044
Biota,"Biota, Aquatic",Fish,Salmo salar,Gill,"River, stream, canal",Not reported,mg/kg (dry),G045
Aquatic,Brackish/Transitional Water,,,,Estuary,Water benthos,mg/kg (dry),G046
Biota,"Biota, Aquatic",Fish,Gadus morhua,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G047
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G048
Biota,"Biota, Aquatic",Fish,Reinhardtius hippoglossoides,Muscle,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (wet),G049
Biota,"Biota, Aquatic",Crustaceans,Metridia longa,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G050
Biota,"Biota, Aquatic",Worms,Polychaeta,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G051
Biota,"Biota, Aquatic",Crustaceans,Conchoecia borealis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G052
Biota,"Biota, Aquatic",Crustaceans,Hymenodora glacialis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G053
Biota,"Biota, Aquatic",Fish,Salmo trutta,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G054
Biota,"Biota, Aquatic",Molluscs,Nucella lapillus,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),G055
Biota,"Biota, Aquatic",Fish,Esox lucius,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G056
Biota,"Biota, Aquatic",Molluscs,Littorina rudis,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),G057
Biota,"Biota, Aquatic",Fish,Salvelinus alpinus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G058
Biota,"Biota, Terrestrial",Mammals,Vulpes vulpes,Liver,"River, stream, canal",Not reported,mg/kg (wet),G059
Biota,"Biota, Aquatic",Fish,Salmo trutta,Whole body,"River, stream, canal",Not reported,mg/kg (wet),G060
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Not relevant,mg/kg (dry),G061
Biota,"Biota, Terrestrial",Birds,Rissa tridactyla,Muscle,Bare land and lichen/moss,Other,mg/kg (dry),G062
Biota,"Biota, Aquatic",Fish,Esox lucius,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G063
Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus droebachiensis,Gonad,"Coastal, fjord",Not relevant,mg/kg (dry),G064
Biota,"Biota, Aquatic",Molluscs,Littorina littorea,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G065
Biota,"Biota, Terrestrial",Birds,Rissa tridactyla,Liver,Bare land and lichen/moss,Other,mg/kg (dry),G066
Biota,"Biota, Aquatic",Crustaceans,Euphausiacea,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G067
Biota,"Biota, Aquatic",Crustaceans,Eukrohnia hamata,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G068
Biota,"Biota, Aquatic",Crustaceans,Isobactrus setosus,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G069
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Lung,Bare land and lichen/moss,Other,mg/kg (wet),G070
Biota,"Biota, Aquatic",Fish,Perca fluviatilis,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G071
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Kidney,Bare land and lichen/moss,Other,mg/kg (wet),G072
Biota,"Biota, Aquatic",Crustaceans,Meganyctiphanes norvegica,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G073
Biota,"Biota, Aquatic",Worms,Alitta virens,Whole body,"Coastal, fjord",Other,mg/kg (dry),G074
Terrestrial,Soil O Horizon (Organic),,,,"River, stream, canal",Water surface,mg/kg (dry),G075
Biota,"Biota, Aquatic",Crustaceans,Euchaeta glacialis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G076
Biota,"Biota, Aquatic",Crustaceans,Euchaeta norvegica,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G077
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Liver,Bare land and lichen/moss,Other,mg/kg (wet),G078
Biota,"Biota, Aquatic",Fish,Salmo trutta,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G079
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Muscle,Bare land and lichen/moss,Other,mg/kg (wet),G080
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Skin,Bare land and lichen/moss,Other,mg/kg (wet),G081
Biota,"Biota, Aquatic",Fish,Clupea harengus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G082
Biota,"Biota, Aquatic",Fish,Limanda limanda,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G083
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G084
Biota,"Biota, Aquatic",Fish,Blicca bjoerkna,Gill,"River, stream, canal",Not reported,mg/kg (dry),G085
Biota,"Biota, Aquatic",Fish,Lota lota,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G086
Biota,"Biota, Aquatic",Fish,Reinhardtius hippoglossoides,Whole body,,,mg/kg (wet),G087
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),G088
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),G089
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),G090
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G091
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G092
Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus droebachiensis,Total soft tissues minus gonads,"Coastal, fjord",Not relevant,mg/kg (dry),G093
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Whole body,,,mg/kg (wet),G094
Biota,"Biota, Aquatic",Fish,Salvelinus alpinus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G095
Aquatic,Aquatic Sediment,,,,"Drainage, sewer, artificial water",Water surface,mg/kg (dry),G096
Biota,"Biota, Aquatic",Crustaceans,Sabinea sarsi,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G097
Biota,"Biota, Aquatic",Molluscs,Mya arenaria,Total soft tissues,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G098
