ISO_ID,PROTOCOL_ID,CAMPAIGN_NAME,PROTOCOL_CATEGORY,PROTOCOL_NAME,PROTOCOL_COMMENT
NS-ISO 5667-6:2014-1,1,,Sampling Protocol,Grab sampling,Ferskvann (elver): VolumprÃ¸vetaker (Tilbaketrukket) - VannundersÃ¸kelse - PrÃ¸vetaking - Del 6: Veiledning i prÃ¸vetaking fra elver og bekker  (ISO 5667-6:2014). Tilbaketrukket. Erstattet av NS-EN ISO 5667-6:2016. ID: NS-ISO 5667-6:2014-1
NS-EN ISO 5667-4:2016A,2,,Sampling Protocol,Grab sampling,Ferskvann (innsjÃ¸er): VolumprÃ¸vetaker - PrÃ¸vetaking - Del 4: Veiledning i prÃ¸vetaking fra naturlige og kunstige innsjÃ¸er (ISO 5667-4:2016). ID: NS-ISO 5667-4:2016A
NS-ISO 5667-4A,3,,Sampling Protocol,Grab sampling,Ferskvann (innsjÃ¸er): VolumprÃ¸vetaker (Tilbaketrukket) - PrÃ¸vetaking - Del 4: Veiledning i prÃ¸vetaking fra naturlige og kunstige innsjÃ¸er (ISO 5667-4:1987; Tilbaketrukket. Erstattet av ISO 5667-4:2016). ID: NS-ISO 5667-4A
NS-ISO 5667-6A,4,,Sampling Protocol,Grab sampling,Ferskvann (elver): VolumprÃ¸vetaker (Tilbaketrukket) - PrÃ¸vetaking - Del 6: Veiledning i prÃ¸vetaking fra elver og bekker (ISO 5667-6: 2005; Tilbaketrukket. Erstattet av ISO 5667-6:2014). ID: NS-ISO 5667-6A
NS-EN ISO 5667-6:2016,5,,Sampling Protocol,Grab sampling,Ferskvann (elver og bekker) - PrÃ¸vetaking â€” Del 6: Veiledning i prÃ¸vetaking fra elver og bekker (ISO 5667-6:2014). ID: NS-EN ISO 5667-6:2016
ISO 17294-2,6,,Analytical Protocol,Inductively coupled plasma mass spectrometry,ICP-MS (ISO 17294-2; Tilbaketrukket) - Bruk av induktivt koplet plasmamassespektrometri (ICP-MS) - Del 2: Bestemmelse av 62 grunnstoffer (ISO 17294-2:2003). Tilbaketrukket. Erstattet av NS-EN ISO 17294-2:2016. ID: NS-EN ISO 17294-2
NS 4773,7,,Analytical Protocol,Atomic absorption spectroscopy,"AAS flamme (NS 4773) - Atomabsorpsjonsspektrometri i flamme - Spesielle retningslinjer for aluminium, bly, jern, kadmium, kobber, kobolt, krom, mangan, nikkel og sink. ID: NS 4773"
NS-EN ISO 17294-2,8,,Analytical Protocol,Atomic absorption spectroscopy,"AAS grafittovn (NS 4781; Tilbaketrukket) - Metaller i vann, slam og sedimenter - Bestemmelse ved flammelÃ¸s atomabsorpsjonsspektrometri - Elektrotermisk atomisering i grafittovn - Spesielle retninglinjer for aluminium, bly, jern, kadmium, kobber, kobolt, krom, mangan og nikkel. Tilbaketrukket. Erstattet av NS-EN ISO 15586. ID: NS 4781"
ISO 11885,9,,Analytical Protocol,Inductively coupled plasma optical emission spectroscopy,ICP-AES (ISO 11885; Tilbaketrukket) - Bestemmelse av 33 grunnstoffer ved induktivt koblet plasma-atomemisjonsspektrometri (ISO 11885:1996). Tilbaketrukket. Erstattet av NS-EN ISO 11885:2009. ID: NS-EN ISO 11885
UKJENT,10,,Analytical Protocol,Not reported,Ukjent metode - Ukjent metode. ID: UKJENT
NS-EN ISO 15586,11,,Analytical Protocol,Atomic absorption spectroscopy,AAS grafittovn (ISO 15586) - Bestemmelse av sporelementer med atomabsorpsjonsspektrometri i grafittovn (ISO 15586:2003). ID: NS-EN ISO 15586
NS-EN ISO 11885:2009,12,,Analytical Protocol,Inductively coupled plasma optical emission spectroscopy,ICP-OES (ISO 11885) - Bestemmelse av utvalgte elementer ved induktivt koblet plasma-optisk emisjonsspektrometrisk analyse (ISO 11885:2007). ID: NS-EN ISO 11885:2009
NS-EN ISO 17294-2:2016,13,,Analytical Protocol,Inductively coupled plasma mass spectrometry,ICP-MS (ISO 17294-2:2016; Tilbaketrukket) - Bruk av induktivt koplet plasmamassespektrometri (ICP-MS) - Del 2: Bestemmelse av utvalgte elementer inkludert uranisotoper (ISO 17294-2:2016). Tilbaketrukket. Erstattet av NS-EN ISO 17294-2:2023. ID: NS-EN ISO 17294-2:2016
NS-EN ISO 17294-2:2023,14,,Analytical Protocol,Inductively coupled plasma mass spectrometry,"ICP-MS (ISO 17294-2:2023) - Bruk av induktivt koblet plasmamassespektrometri (ICP-MS) - Del 2: Bestemmelse av utvalgte elementer inkludert uraniumisotoper (ISO 17294-2:2023, korrigert versjon 2024-02). ID: NS-EN ISO 17294-2:2023"
NS-EN ISO 11885,15,,Analytical Protocol,Inductively coupled plasma optical emission spectroscopy,Bestemmelse av 33 grunnstoffer ved induktivt koblet plasma-atomemisjonsspektrometri (ISO 11885:1996). Tilbaketrukket. Erstattet av NS-EN ISO 11885:2009.
