scientific_name,common_name,db,date_retrieved
Phoca vitulina,Harbor seal,ncbi,2026-01-09
Conchoecia borealis,NA,ncbi,2026-01-09
Calanus finmarchicus,NA,ncbi,2026-01-09
Calanus glacialis,NA,ncbi,2026-01-09
Calanus hyperboreus,NA,ncbi,2026-01-09
Euchaeta barbata,NA,ncbi,2026-01-09
Euchaeta glacialis,NA,ncbi,2026-01-09
Eukrohnia hamata,NA,ncbi,2026-01-09
Euchaeta norvegica,NA,ncbi,2026-01-09
Hymenodora glacialis,NA,ncbi,2026-01-09
Metridia longa,NA,ncbi,2026-01-09
Meganyctiphanes norvegica,NA,ncbi,2026-01-09
Themisto abyssorum,NA,ncbi,2026-01-09
Thysanoessa inermis,NA,ncbi,2026-01-09
Themisto libellula,NA,ncbi,2026-01-09
Mya arenaria,NA,ncbi,2026-01-09
Astarte borealis,NA,ncbi,2026-01-09
Pagophilus groenlandicus,Harp seal,ncbi,2026-01-09
Cystophora cristata,Hooded seal,ncbi,2026-01-09
Salmo trutta,River trout,ncbi,2026-01-09
Asterias rubens,European starfish,ncbi,2026-01-09
Gammarus oceanicus,NA,ncbi,2026-01-09
Littorina rudis,NA,ncbi,2026-01-09
Nucella lapillus,NA,ncbi,2026-01-09
Mytilus edulis,Blue mussel,ncbi,2026-01-09
Arenicola marina,Lugworm,ncbi,2026-01-09
Pandalus borealis,Northern shrimp,ncbi,2026-01-09
Eukronia hamata,NA,ncbi,2026-01-09
Sabinea sarsi,NA,ncbi,2026-01-09
Phoca groenlandica,Harp seal,ncbi,2026-01-09
Ursus maritimus,Polar bear,ncbi,2026-01-09
Rissa tridactyla,Black-legged kittiwake,ncbi,2026-01-09
Reinhardtius hippoglossoides,Greenland flounder,ncbi,2026-01-09
Salmo salar,Atlantic salmon,ncbi,2026-01-09
Cancer pagurus,Edible crab,ncbi,2026-01-09
Gadus morhua,Atlantic cod,ncbi,2026-01-09
Hippoglossus hippoglossus,Atlantic halibut,ncbi,2026-01-09
Alitta virens,NA,ncbi,2026-01-09
Strongylocentrotus droebachiensis,Green sea urchin,ncbi,2026-01-09
Fucus vesiculosus,NA,ncbi,2026-01-09
Hippasteria phrygiana,NA,ncbi,2026-01-09
Urasterias lincki,NA,ncbi,2026-01-09
Pteraster pulvillus,NA,ncbi,2026-01-09
Gorgonocephalus arcticus,NA,ncbi,2026-01-09
Pteraster obscurus,NA,ncbi,2026-01-09
Strongylocentrotus pallidus,Pale sea urchin,ncbi,2026-01-09
Gorgonocephalus lamarckii,NA,ncbi,2026-01-09
Ophiopleura borealis,NA,ncbi,2026-01-09
Ophiura sarsii,NA,ncbi,2026-01-09
Pontaster tenuispinus,NA,ncbi,2026-01-09
Heliometra glacialis,NA,ncbi,2026-01-09
Ctenodiscus crispatus,NA,ncbi,2026-01-09
Icasterias panopla,NA,ncbi,2026-01-09
Crossaster papposus,NA,ncbi,2026-01-09
Sander lucioperca,Pikeperch,ncbi,2026-01-09
Carcinus maenas,Green crab,ncbi,2026-01-09
Lithodidae,Stone and king crabs,ncbi,2026-01-09
Astacus astacus,Noble crayfish,ncbi,2026-01-09
Littorina littorea,NA,ncbi,2026-01-09
Modiolus modiolus,Northern horsemussel,ncbi,2026-01-09
Patella vulgata,Common limpet,ncbi,2026-01-09
Acesta excavata,NA,ncbi,2026-01-09
Littorina,NA,ncbi,2026-01-09
Palaemon adspersus,NA,ncbi,2026-01-09
Lumbricus,NA,ncbi,2026-01-09
Eisenia hortensis,NA,ncbi,2026-01-09
Erginus,NA,ncbi,2026-01-09
Lepetella,NA,ncbi,2026-01-09
Bunndyr,NA,ncbi,2026-01-09
Mysis relicta,NA,ncbi,2026-01-09
Zooplankton epilimnion,NA,ncbi,2026-01-09
Somateria mollissima,Common eider,ncbi,2026-01-09
Gulosus aristotelis,NA,ncbi,2026-01-09
Larus argentatus,Herring gull,ncbi,2026-01-09
Turdus pilaris,NA,ncbi,2026-01-09
Balaenoptera physalus,Fin whale,ncbi,2026-01-09
Phocoena phocoena,Harbor porpoise,ncbi,2026-01-09
Megaptera novaeangliae,Humpback whale,ncbi,2026-01-09
Orcinus orca,Killer whale,ncbi,2026-01-09
Physeter macrocephalus,Sperm whale,ncbi,2026-01-09
Salvelinus alpinus,Arctic char,ncbi,2026-01-09
Coregonus lavaretus,Common whitefish,ncbi,2026-01-09
Thymallus thymallus,Grayling,ncbi,2026-01-09
Leuciscus idus,Ide,ncbi,2026-01-09
Blicca bjoerkna,White bream,ncbi,2026-01-09
Rutilus rutilus,Roach minnow,ncbi,2026-01-09
Esox lucius,Northern pike,ncbi,2026-01-09
Perca fluviatilis,European perch,ncbi,2026-01-09
Abramis brama,Common bream,ncbi,2026-01-09
Polychaeta,Polychaetes,ncbi,2026-01-09
Gastropoda,Gastropods,ncbi,2026-01-09
Euphausiacea,Krill,ncbi,2026-01-09
Leuciscus cephalus,European chub,ncbi,2026-01-09
Ctenolabrus rupestris,Goldsinny wrasse,ncbi,2026-01-09
Symphodus melops,Corkwing wrasse,ncbi,2026-01-09
Isobactrus setosus,NA,ncbi,2026-01-09
Labrus bergylta,Ballan wrasse,ncbi,2026-01-09
Centrolabrus exoletus,Rock cook,ncbi,2026-01-09
Labrus mixtus,Cuckoo wrasse,ncbi,2026-01-09
Gymnocephalus cernuus,Ruffe,ncbi,2026-01-09
Chironomidae,Nonbiting midges,ncbi,2026-01-09
Trisopterus minutus,Poor cod,ncbi,2026-01-09
Insecta,Insects,ncbi,2026-01-09
Buccinum undatum,Waved whelk,ncbi,2026-01-09
Ascophyllum nodosum,NA,ncbi,2026-01-09
Actinopterygii,Ray-finned fishes,ncbi,2026-01-09
Gadidae,Cods,ncbi,2026-01-09
Limanda limanda,Common dab,ncbi,2026-01-09
Melanogrammus aeglefinus,Haddock,ncbi,2026-01-09
Pollachius pollachius,Pollack,ncbi,2026-01-09
Merlangius merlangus,Whiting,ncbi,2026-01-09
Platichthys flesus,European flounder,ncbi,2026-01-09
Lota lota,Burbot,ncbi,2026-01-09
Lamna nasus,NA,ncbi,2026-01-09
Pleuronectes platessa,European plaice,ncbi,2026-01-09
Capreolus capreolus,Western roe deer,ncbi,2026-01-09
Vulpes vulpes,Red fox,ncbi,2026-01-09
Squalus acanthias,Spiny dogfish,ncbi,2026-01-09
Brosme brosme,NA,ncbi,2026-01-09
Molva molva,Ling,ncbi,2026-01-09
Clupea harengus,Atlantic herring,ncbi,2026-01-09
Lagenorhynchus albirostris,White-beaked dolphin,ncbi,2026-01-09
Somniosus microcephalus,Greenland sleeper shark,ncbi,2026-01-09
Nephrops norvegicus,Norway lobster,ncbi,2026-01-09
Fontinalis antipyretica,NA,ncbi,2026-01-09
Hylocomium splendens,NA,ncbi,2026-01-09
Odobenus rosmarus rosmarus,Atlantic walrus,ncbi,2026-01-12
Odobenus rosmarus divergens,Pacific walrus,ncbi,2026-01-12
