SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME_SHORT
ARKIXb1993FramGrnld_FS,Copper,01/03/1993,"Biota, Aquatic",C. glacialis,,4,95% Confidence Interval,4.5,3.5,mg/kg (dry),8,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb1993,E01_Trawl_ARKIXb1993,F01_Trawl_ARKIXb1993,A01_Trawl_ARKIXb1993,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. glacialis,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_FS,Copper,01/03/1993,"Biota, Aquatic",C. finmarchicus,,4.5,95% Confidence Interval,4.7,4.3,mg/kg (dry),28,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb1994,E01_Trawl_ARKIXb1994,F01_Trawl_ARKIXb1994,A01_Trawl_ARKIXb1994,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. finmarchicus,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_FS,Copper,01/03/1993,"Biota, Aquatic",C. hyperboreus,,5.6,95% Confidence Interval,6.8,4.4,mg/kg (dry),27,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb1995,E01_Trawl_ARKIXb1995,F01_Trawl_ARKIXb1995,A01_Trawl_ARKIXb1995,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. hyperboreus,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_FS,Copper,01/03/1993,"Biota, Aquatic",M. longa,,7.5,95% Confidence Interval,10,5,mg/kg (dry),9,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb1996,E01_Trawl_ARKIXb1996,F01_Trawl_ARKIXb1996,A01_Trawl_ARKIXb1996,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RM. longa,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_FS,Copper,01/03/1993,"Biota, Aquatic",H. glacialis,,12.4,95% Confidence Interval,18.1,6.7,mg/kg (dry),12,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb1997,E01_Trawl_ARKIXb1997,F01_Trawl_ARKIXb1997,A01_Trawl_ARKIXb1997,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RH. glacialis,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_FS,Copper,01/03/1993,"Biota, Aquatic",T. abyssorum,,21.8,95% Confidence Interval,24.3,19.3,mg/kg (dry),26,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb1998,E01_Trawl_ARKIXb1998,F01_Trawl_ARKIXb1998,A01_Trawl_ARKIXb1998,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RT. abyssorum,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_FS,Copper,01/03/1993,"Biota, Aquatic",T. libellula,,23,95% Confidence Interval,28.3,17.7,mg/kg (dry),14,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb1999,E01_Trawl_ARKIXb1999,F01_Trawl_ARKIXb1999,A01_Trawl_ARKIXb1999,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RT. libellula,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_FS,Copper,01/03/1993,"Biota, Aquatic",C. borealis,,43,95% Confidence Interval,50.1,35.9,mg/kg (dry),7,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2000,E01_Trawl_ARKIXb2000,F01_Trawl_ARKIXb2000,A01_Trawl_ARKIXb2000,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. borealis,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_GS,Copper,01/03/1993,"Biota, Aquatic",E. hamata,,3.2,95% Confidence Interval,3.5,2.9,mg/kg (dry),26,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2001,E01_Trawl_ARKIXb2001,F01_Trawl_ARKIXb2001,A01_Trawl_ARKIXb2001,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RE. hamata,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_GS,Copper,01/03/1993,"Biota, Aquatic",C. finmarchicus,,3.8,95% Confidence Interval,4.1,2.5,mg/kg (dry),35,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2002,E01_Trawl_ARKIXb2002,F01_Trawl_ARKIXb2002,A01_Trawl_ARKIXb2002,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RC. finmarchicus,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_GS,Copper,01/03/1993,"Biota, Aquatic",C. hyperboreus,,4.4,95% Confidence Interval,4.6,4.2,mg/kg (dry),84,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2003,E01_Trawl_ARKIXb2003,F01_Trawl_ARKIXb2003,A01_Trawl_ARKIXb2003,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RC. hyperboreus,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_GS,Copper,01/03/1993,"Biota, Aquatic",E. barbata,,4.5,95% Confidence Interval,5.4,3.6,mg/kg (dry),11,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2004,E01_Trawl_ARKIXb2004,F01_Trawl_ARKIXb2004,A01_Trawl_ARKIXb2004,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RE. barbata,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_GS,Copper,01/03/1993,"Biota, Aquatic",E. norvegica,,4.5,95% Confidence Interval,5.1,3.9,mg/kg (dry),19,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2005,E01_Trawl_ARKIXb2005,F01_Trawl_ARKIXb2005,A01_Trawl_ARKIXb2005,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RE. norvegica,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_GS,Copper,01/03/1993,"Biota, Aquatic",E. glacialis,,4.7,95% Confidence Interval,5.2,4.2,mg/kg (dry),23,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2006,E01_Trawl_ARKIXb2006,F01_Trawl_ARKIXb2006,A01_Trawl_ARKIXb2006,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RE. glacialis,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_GS,Copper,01/03/1993,"Biota, Aquatic",M. longa,,5.9,95% Confidence Interval,6.3,5.5,mg/kg (dry),23,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2007,E01_Trawl_ARKIXb2007,F01_Trawl_ARKIXb2007,A01_Trawl_ARKIXb2007,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RM. longa,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
ARKIXb1993FramGrnld_GS,Copper,01/03/1993,"Biota, Aquatic",H. glacialis,,15.6,95% Confidence Interval,18.6,12.6,mg/kg (dry),29,NA,mg/L,NA,mg/L,S01_Trawl_ARKIXb2008,E01_Trawl_ARKIXb2008,F01_Trawl_ARKIXb2008,A01_Trawl_ARKIXb2008,1997RitterhoffTraceMetalsIn,ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RH. glacialis,Biota,Stressor,Concentration,,ARKIXb1993FramGrnld
