"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp liver","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp liver male","Mammals","Pagophilus groenlandicus","Liver","Adult","Male",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp kidney","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp kidney male","Mammals","Pagophilus groenlandicus","Kidney","Adult","Male",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp muscle","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp muscle male","Mammals","Pagophilus groenlandicus","Muscle","Adult","Male",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded liver","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded liver male","Mammals","Cystophora cristata","Liver","Adult","Male",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded kidney","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded kidney male","Mammals","Cystophora cristata","Kidney","Adult","Male",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded muscle","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded muscle male","Mammals","Cystophora cristata","Muscle","Adult","Male",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp liver","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp liver female","Mammals","Pagophilus groenlandicus","Liver","Adult","Female",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp kidney","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp kidney female","Mammals","Pagophilus groenlandicus","Kidney","Adult","Female",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp muscle","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp muscle female","Mammals","Pagophilus groenlandicus","Muscle","Adult","Female",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded liver","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded liver female","Mammals","Cystophora cristata","Liver","Adult","Female",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded kidney","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded kidney female","Mammals","Cystophora cristata","Kidney","Adult","Female",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded muscle","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded muscle female","Mammals","Cystophora cristata","Muscle","Adult","Female",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp liver","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp liver juvenile","Mammals","Pagophilus groenlandicus","Liver","Juvenile","Not reported",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp kidney","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp kidney juvenile","Mammals","Pagophilus groenlandicus","Kidney","Juvenile","Not reported",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rharp muscle","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","harp muscle juvenile","Mammals","Pagophilus groenlandicus","Muscle","Juvenile","Not reported",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded liver","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded liver juvenile","Mammals","Cystophora cristata","Liver","Juvenile","Not reported",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded kidney","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded kidney juvenile","Mammals","Cystophora cristata","Kidney","Juvenile","Not reported",NA
"GreenlandSeals1985_GS1985-Copper-BiotaAquatic-1985-01-01-Rhooded muscle","GreenlandSeals1985_GS1985","Copper","Biota","Biota, Aquatic","Internal","01/01/1985","hooded muscle juvenile","Mammals","Cystophora cristata","Muscle","Juvenile","Not reported",NA
