SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT
GlommaCu1990-95_1,Copper,07/06/1990,Brackish/Transitional Water,1,,118,Not Reported,,,mg/kg (dry),1,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_1-Copper-BrackishTran-1990-06-07-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_2,Copper,07/06/1990,Brackish/Transitional Water,1,,117,Not Reported,,,mg/kg (dry),2,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_2-Copper-BrackishTran-1990-06-07-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_3,Copper,07/06/1990,Brackish/Transitional Water,1,,107,Not Reported,,,mg/kg (dry),3,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_3-Copper-BrackishTran-1990-06-07-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_4,Copper,07/06/1990,Brackish/Transitional Water,1,,120,Not Reported,,,mg/kg (dry),4,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_4-Copper-BrackishTran-1990-06-07-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_1,Copper,02/07/1990,Brackish/Transitional Water,1,,119,Not Reported,,,mg/kg (dry),5,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_1-Copper-BrackishTran-1990-07-02-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_2,Copper,02/07/1990,Brackish/Transitional Water,1,,123,Not Reported,,,mg/kg (dry),6,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_2-Copper-BrackishTran-1990-07-02-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_3,Copper,02/07/1990,Brackish/Transitional Water,1,,153,Not Reported,,,mg/kg (dry),7,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_3-Copper-BrackishTran-1990-07-02-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_4,Copper,02/07/1990,Brackish/Transitional Water,1,,324,Not Reported,,,mg/kg (dry),8,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_4-Copper-BrackishTran-1990-07-02-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_1,Copper,01/08/1990,Brackish/Transitional Water,1,,636,Not Reported,,,mg/kg (dry),9,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_1-Copper-BrackishTran-1990-08-01-R 1,Aquatic,Stressor,Concentration,
GlommaCu1990-95_2,Copper,01/08/1990,Brackish/Transitional Water,1,,179,Not Reported,,,mg/kg (dry),10,,,,,S01_PointSampling_GlommaCu19,E01_AcidDigestion_GlommaCu19,E01_AcidDigestion_GlommaCu19,A01_AtomicAbsorptio_GlommaCu19,2002HellandTransportAndSedimentation,GlommaCu1990-95_2-Copper-BrackishTran-1990-08-01-R 1,Aquatic,Stressor,Concentration,
