SAMPLE_ID,SITE_CODE,PARAMETER_NAME,ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,MEASURED_CATEGORY,SAMPLING_DATE,SUBSAMPLE,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SAMPLE_SPECIES_LIFESTAGE,SAMPLE_SPECIES_GENDER,BIOTA_COMMENT
SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RBlack starfish caeca,SorfjordStarfish2000_S1,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Black starfish caeca,Invertebrates,Asterias rubens,Pyloric caeca,Not reported,Not reported,
SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) caeca,SorfjordStarfish2000_S1,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Red starfish (sal 22-26%) caeca,Invertebrates,Asterias rubens,Pyloric caeca,Not reported,Not reported,
SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) caeca,SorfjordStarfish2000_S1,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Red starfish (sal 30%) caeca,Invertebrates,Asterias rubens,Pyloric caeca,Not reported,Not reported,
SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RBlack starfish wall,SorfjordStarfish2000_S1,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Black starfish wall,Invertebrates,Asterias rubens,Body wall,Not reported,Not reported,
SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) wall,SorfjordStarfish2000_S1,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Red starfish (sal 22-26%) wall,Invertebrates,Asterias rubens,Body wall,Not reported,Not reported,
SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) wall,SorfjordStarfish2000_S1,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Red starfish (sal 30%) wall,Invertebrates,Asterias rubens,Body wall,Not reported,Not reported,
SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RBlack starfish caeca,SorfjordStarfish2000_S2,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Black starfish caeca,Invertebrates,Asterias rubens,Pyloric caeca,Not reported,Not reported,
SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) caeca,SorfjordStarfish2000_S2,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Red starfish (sal 22-26%) caeca,Invertebrates,Asterias rubens,Pyloric caeca,Not reported,Not reported,
SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) caeca,SorfjordStarfish2000_S2,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Red starfish (sal 30%) caeca,Invertebrates,Asterias rubens,Pyloric caeca,Not reported,Not reported,
SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RBlack starfish wall,SorfjordStarfish2000_S2,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Black starfish wall,Invertebrates,Asterias rubens,Body wall,Not reported,Not reported,
SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) wall,SorfjordStarfish2000_S2,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Red starfish (sal 22-26%) wall,Invertebrates,Asterias rubens,Body wall,Not reported,Not reported,
SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) wall,SorfjordStarfish2000_S2,Copper,Biota,"Biota, Aquatic",Internal,31/05/2000,Red starfish (sal 30%) wall,Invertebrates,Asterias rubens,Body wall,Not reported,Not reported,
