"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus","BarentsSea1994_Site1","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Gammarus oceanicus","Crustaceans","Gammarus oceanicus","Whole body","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RLittorina rudis","BarentsSea1994_Site1","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Littorina rudis","Molluscs","Littorina rudis","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RNucella lapillus","BarentsSea1994_Site1","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Nucella lapillus","Molluscs","Nucella lapillus","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RMytilus edulis","BarentsSea1994_Site1","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Mytilus edulis","Molluscs","Mytilus edulis","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RArenicola marina","BarentsSea1994_Site1","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Arenicola marina","Worms","Arenicola marina","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus","BarentsSea1994_Site2","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Gammarus oceanicus","Crustaceans","Gammarus oceanicus","Whole body","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RLittorina rudis","BarentsSea1994_Site2","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Littorina rudis","Molluscs","Littorina rudis","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RNucella lapillus","BarentsSea1994_Site2","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Nucella lapillus","Molluscs","Nucella lapillus","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RMytilus edulis","BarentsSea1994_Site2","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Mytilus edulis","Molluscs","Mytilus edulis","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RArenicola marina","BarentsSea1994_Site2","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Arenicola marina","Worms","Arenicola marina","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus","BarentsSea1994_Site3","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Gammarus oceanicus","Crustaceans","Gammarus oceanicus","Whole body","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RLittorina rudis","BarentsSea1994_Site3","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Littorina rudis","Molluscs","Littorina rudis","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RNucella lapillus","BarentsSea1994_Site3","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Nucella lapillus","Molluscs","Nucella lapillus","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RMytilus edulis","BarentsSea1994_Site3","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Mytilus edulis","Molluscs","Mytilus edulis","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
"BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RArenicola marina","BarentsSea1994_Site3","Copper","Biota","Biota, Aquatic","Internal","01/07/1994","Arenicola marina","Worms","Arenicola marina","Total Soft Tissues","Adult","Not reported","No explicit reporting of lifestage, but assuming adults given species group."
