SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE
BarentsSea1994_Site1,Copper,01/07/1994,"Biota, Aquatic",Arenicola marina,,6.8,95% Confidence Interval,8.6,5,mg/kg (dry),10,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RArenicola marina,Biota,Stressor,Concentration
BarentsSea1994_Site2,Copper,01/07/1994,"Biota, Aquatic",Arenicola marina,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RArenicola marina,Biota,Stressor,Concentration
BarentsSea1994_Site3,Copper,01/07/1994,"Biota, Aquatic",Arenicola marina,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RArenicola marina,Biota,Stressor,Concentration
BarentsSea1994_Site1,Copper,01/07/1994,"Biota, Aquatic",Gammarus oceanicus,,14,95% Confidence Interval,16,12,mg/kg (dry),57,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus,Biota,Stressor,Concentration
BarentsSea1994_Site2,Copper,01/07/1994,"Biota, Aquatic",Gammarus oceanicus,,20,95% Confidence Interval,22,18,mg/kg (dry),55,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus,Biota,Stressor,Concentration
BarentsSea1994_Site3,Copper,01/07/1994,"Biota, Aquatic",Gammarus oceanicus,,28,95% Confidence Interval,25,31,mg/kg (dry),20,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus,Biota,Stressor,Concentration
BarentsSea1994_Site1,Copper,01/07/1994,"Biota, Aquatic",Littorina rudis,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RLittorina rudis,Biota,Stressor,Concentration
BarentsSea1994_Site2,Copper,01/07/1994,"Biota, Aquatic",Littorina rudis,,39,95% Confidence Interval,47,31,mg/kg (dry),19,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RLittorina rudis,Biota,Stressor,Concentration
BarentsSea1994_Site3,Copper,01/07/1994,"Biota, Aquatic",Littorina rudis,,32,95% Confidence Interval,24,40,mg/kg (dry),19,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RLittorina rudis,Biota,Stressor,Concentration
BarentsSea1994_Site1,Copper,01/07/1994,"Biota, Aquatic",Mytilus edulis,,NA,95% Confidence Interval,NA,NA,mg/kg (dry),0,NA,mg/L,NA,mg/L,,,,,2003ZaukeHeavyMetalsOf,BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RMytilus edulis,Biota,Stressor,Concentration
