"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"BarentsSea1994_Site1","Dalniye Zelentsy site 1","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Gammarus oceanicus","BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus"
"BarentsSea1994_Site1","Dalniye Zelentsy site 1","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Littorina rudis","BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RLittorina rudis"
"BarentsSea1994_Site1","Dalniye Zelentsy site 1","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Nucella lapillus","BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RNucella lapillus"
"BarentsSea1994_Site1","Dalniye Zelentsy site 1","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Mytilus edulis","BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RMytilus edulis"
"BarentsSea1994_Site1","Dalniye Zelentsy site 1","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Arenicola marina","BarentsSea1994_Site1-Copper-BiotaAquatic-1994-07-01-RArenicola marina"
"BarentsSea1994_Site2","Dalniye Zelentsy site 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Gammarus oceanicus","BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus"
"BarentsSea1994_Site2","Dalniye Zelentsy site 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Littorina rudis","BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RLittorina rudis"
"BarentsSea1994_Site2","Dalniye Zelentsy site 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Nucella lapillus","BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RNucella lapillus"
"BarentsSea1994_Site2","Dalniye Zelentsy site 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Mytilus edulis","BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RMytilus edulis"
"BarentsSea1994_Site2","Dalniye Zelentsy site 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Arenicola marina","BarentsSea1994_Site2-Copper-BiotaAquatic-1994-07-01-RArenicola marina"
"BarentsSea1994_Site3","Hornoya","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Gammarus oceanicus","BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RGammarus oceanicus"
"BarentsSea1994_Site3","Hornoya","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Littorina rudis","BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RLittorina rudis"
"BarentsSea1994_Site3","Hornoya","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Nucella lapillus","BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RNucella lapillus"
"BarentsSea1994_Site3","Hornoya","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Mytilus edulis","BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RMytilus edulis"
"BarentsSea1994_Site3","Hornoya","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-07-01","Arenicola marina","BarentsSea1994_Site3-Copper-BiotaAquatic-1994-07-01-RArenicola marina"
