"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"Trondheim2016_LARA","Ladehammeren","Copper","Stressor","Aquatic","Wastewater","External","2016-10-01","wastewater in","Trondheim2016_LARA-Copper-Wastewater-2016-10-01-Rwastewater in"
"Trondheim2016_LARA","Ladehammeren","Copper","Stressor","Aquatic","Wastewater","External","2016-10-01","wastewater out","Trondheim2016_LARA-Copper-Wastewater-2016-10-01-Rwastewater out"
"Trondheim2016_LARA","Ladehammeren","Copper","Stressor","Aquatic","Wastewater","External Media","2016-10-01","wastewater in","Trondheim2016_LARA-Copper-Wastewater-2016-10-01-Rwastewater in"
"Trondheim2016_LARA","Ladehammeren","Copper","Stressor","Aquatic","Wastewater","External Media","2016-10-01","wastewater out","Trondheim2016_LARA-Copper-Wastewater-2016-10-01-Rwastewater out"
"Trondheim2016_HØRA","Høvringen","Copper","Stressor","Aquatic","Wastewater","External","2016-10-01","wastewater in","Trondheim2016_HØRA-Copper-Wastewater-2016-10-01-Rwastewater in"
"Trondheim2016_HØRA","Høvringen","Copper","Stressor","Aquatic","Wastewater","External","2016-10-01","wastewater out","Trondheim2016_HØRA-Copper-Wastewater-2016-10-01-Rwastewater out"
"Trondheim2016_HØRA","Høvringen","Copper","Stressor","Aquatic","Wastewater","External Media","2016-10-01","wastewater in","Trondheim2016_HØRA-Copper-Wastewater-2016-10-01-Rwastewater in"
"Trondheim2016_HØRA","Høvringen","Copper","Stressor","Aquatic","Wastewater","External Media","2016-10-01","wastewater out","Trondheim2016_HØRA-Copper-Wastewater-2016-10-01-Rwastewater out"
"Trondheim2016_HØRA","Høvringen","Copper","Stressor","Aquatic","Aquatic Sediment","External Media","2016-10-01","wastewater in","Trondheim2016_HØRA-Copper-AquaticSedim-2016-10-01-Rwastewater in"
"Trondheim2016_HØRA","Høvringen","Copper","Stressor","Aquatic","Aquatic Sediment","External Media","2016-10-01","wastewater out","Trondheim2016_HØRA-Copper-AquaticSedim-2016-10-01-Rwastewater out"
