"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"Flekkefjord2018_S1-Copper-BiotaAquatic-2018-06-27-R5m","Flekkefjord2018_S1","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S1-Copper-BiotaAquatic-2018-06-27-R15m","Flekkefjord2018_S1","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S2-Copper-BiotaAquatic-2018-06-27-R5m","Flekkefjord2018_S2","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S2-Copper-BiotaAquatic-2018-06-27-R15m","Flekkefjord2018_S2","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S3-Copper-BiotaAquatic-2018-06-27-R5m","Flekkefjord2018_S3","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S3-Copper-BiotaAquatic-2018-06-27-R15m","Flekkefjord2018_S3","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S4-Copper-BiotaAquatic-2018-06-27-R5m","Flekkefjord2018_S4","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S4-Copper-BiotaAquatic-2018-06-27-R15m","Flekkefjord2018_S4","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S5-Copper-BiotaAquatic-2018-06-27-R5m","Flekkefjord2018_S5","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S5-Copper-BiotaAquatic-2018-06-27-R15m","Flekkefjord2018_S5","Copper","Biota","Biota, Aquatic","Internal","2018-06-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S1-Copper-BiotaAquatic-2018-07-27-R5m","Flekkefjord2018_S1","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S1-Copper-BiotaAquatic-2018-07-27-R15m","Flekkefjord2018_S1","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S2-Copper-BiotaAquatic-2018-07-27-R5m","Flekkefjord2018_S2","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S2-Copper-BiotaAquatic-2018-07-27-R15m","Flekkefjord2018_S2","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S3-Copper-BiotaAquatic-2018-07-27-R5m","Flekkefjord2018_S3","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S3-Copper-BiotaAquatic-2018-07-27-R15m","Flekkefjord2018_S3","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S4-Copper-BiotaAquatic-2018-07-27-R5m","Flekkefjord2018_S4","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S4-Copper-BiotaAquatic-2018-07-27-R15m","Flekkefjord2018_S4","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S5-Copper-BiotaAquatic-2018-07-27-R5m","Flekkefjord2018_S5","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S5-Copper-BiotaAquatic-2018-07-27-R15m","Flekkefjord2018_S5","Copper","Biota","Biota, Aquatic","Internal","2018-07-27","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S1-Copper-BiotaAquatic-2018-10-10-R5m","Flekkefjord2018_S1","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S1-Copper-BiotaAquatic-2018-10-10-R15m","Flekkefjord2018_S1","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S2-Copper-BiotaAquatic-2018-10-10-R5m","Flekkefjord2018_S2","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S2-Copper-BiotaAquatic-2018-10-10-R15m","Flekkefjord2018_S2","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S3-Copper-BiotaAquatic-2018-10-10-R5m","Flekkefjord2018_S3","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S3-Copper-BiotaAquatic-2018-10-10-R15m","Flekkefjord2018_S3","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S4-Copper-BiotaAquatic-2018-10-10-R5m","Flekkefjord2018_S4","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S4-Copper-BiotaAquatic-2018-10-10-R15m","Flekkefjord2018_S4","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","15m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"Flekkefjord2018_S5-Copper-BiotaAquatic-2018-10-10-R5m","Flekkefjord2018_S5","Copper","Biota","Biota, Aquatic","Internal","2018-10-10","5m","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
