SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT
Flekkefjord2018_S1,Copper,27/06/2018,"Biota, Aquatic",5m,,2.6,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-06-27-R5m,Biota,Stressor,Concentration,caged exposure monitoring day t=0
Flekkefjord2018_S1,Copper,27/06/2018,"Biota, Aquatic",15m,,3.01,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-06-27-R15m,Biota,Stressor,Concentration,caged exposure monitoring day t=0
Flekkefjord2018_S1,Copper,27/07/2018,"Biota, Aquatic",5m,,1.13,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-07-27-R5m,Biota,Stressor,Concentration,caged exposure monitoring day t=30
Flekkefjord2018_S1,Copper,27/07/2018,"Biota, Aquatic",15m,,2.78,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-07-27-R15m,Biota,Stressor,Concentration,caged exposure monitoring day t=30
Flekkefjord2018_S1,Copper,10/10/2018,"Biota, Aquatic",5m,,2.5,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-10-10-R5m,Biota,Stressor,Concentration,caged exposure monitoring day t=135
Flekkefjord2018_S1,Copper,10/10/2018,"Biota, Aquatic",15m,,5.83,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-10-10-R15m,Biota,Stressor,Concentration,caged exposure monitoring day t=135
Flekkefjord2018_S1,Copper,15/11/2018,"Biota, Aquatic",5m,,2.49,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-11-15-R5m,Biota,Stressor,Concentration,caged exposure monitoring day t=166
Flekkefjord2018_S1,Copper,15/11/2018,"Biota, Aquatic",15m,,2.14,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-11-15-R15m,Biota,Stressor,Concentration,caged exposure monitoring day t=166
Flekkefjord2018_S1,Copper,15/12/2018,"Biota, Aquatic",5m,,2.45,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-12-15-R5m,Biota,Stressor,Concentration,caged exposure monitoring day t=196
Flekkefjord2018_S1,Copper,15/12/2018,"Biota, Aquatic",15m,,2.82,Not Reported,,,mg/kg (wet),50,,,,,S01_CagedOrganismDe_Flekkefjor,F01_AcidFrac_Flekkefjor,E01_MicrowaveAcid_Flekkefjor,A01_ICPMS_Flekkefjor,UnknownReference,Flekkefjord2018_S1-Copper-BiotaAquatic-2018-12-15-R15m,Biota,Stressor,Concentration,caged exposure monitoring day t=196
