Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Distribution pattern of mercury in northern Barents Sea and Eurasian Basin surface sediment,"Kohler, SG; Kull, LM; Heimbürger-Boavida, LE; De Freitas, TR; Sanchez, N; Ndungu, K; Ardelan, M","Marine sediment is a significant sink for the global pollutant mercury. In a rapidly changing Arctic region, mercury (Hg) bioaccumulation in the marine ecosystem remains a prominent environmental issue. Here, we report surface sediment (0-2 cm) concentrations of Hg and other toxic elements of interest (Cr, Ni, Zn, Cu, As, Cd, Pb) in the northern Barents Sea and Eurasian Basin. We observed average Hg concentrations of 65 +/- 23 ng/g with the highest concentration of 116 ng/g in the Eurasian Basin. Our calculated enrichment factors suggest low anthropogenic enrichment for mercury, chromium, nickel, and copper. Mercury and trace element geographic patterns are best explained by the origin and transportation of fine grain sediment towards the Eurasian Basin, with scavenging by both particulate organic carbon and metal oxides as significant delivery mechanisms.",2022,,MARINE POLLUTION BULLETIN,185,,,WOS:000882414500005,10.1016/j.marpolbul.2022.114272,,#1,Kohler 2022,,marine; primary source; sediment
Natural copper-binding ligands in the Arctic Ocean. The influence of the Transpolar Drift (GEOTRACES GN04),"Arnone, V; Santana-Casiano, JM; González-Dávila, M; Planquette, H; Sarthou, G; Gerringa, LJA; González, AG","The Arctic Ocean is a unique biogeochemical environment characterized by low salinity surface waters, extensive sea-ice coverage, high riverine inputs, large shelf extension and the long residence time of deep waters. These characteristics determine the distribution of dissolved bio-essential trace metals, such as copper (Cu), and the dissolved organic-binding ligands capable of complexing it. This work reports the concentrations and conditional stability constants of dissolved Cu-binding ligands (L-Cu and log K-Cu2+L(cond)) measured in samples from the Polarstern (PS94) expedition, as part of the international GEOTRACES program (cruise GN04). Full-depth profile stations from the Barents Sea, Nansen Basin, Amundsen Basin and Makarov Basin were analysed by competitive ligand exchange-adsorptive cathodic stripping voltammetry (CLE-AdCSV). The basins and water masses presented a wide range of L-Cu concentrations (range: 1.40 - 7.91 nM) and log K-Cu2+L(cond) values (range: 13.83 - 16.01). The highest variability of Cu-binding ligand concentrations was observed in surface waters (<= 200 m), and mean concentrations increased from the Barents Sea and Nansen Basin (2.15 +/- 0.31 nM and 1.93 +/- 0.35 nM, respectively) to the Amundsen (3.84 +/- 1.69 nM) and Makarov Basins (4.40 +/- 2.03 nM). The influence of the Transpolar Drift (TDP) flow path was observed in the Amundsen and Makarov Basins, especially on Cu-binding ligand concentrations (L-Cu range: 3.96 - 7.91 nM). In contrast, deep waters (>200 m) showed no significant differences between basins and water masses in terms of L-Cu concentrations (range: 1.45 - 2.78 nM) and log K-Cu2+L(cond) (range: 14.02 - 15.46). The presence of strong Cu-binding ligands (log K-Cu2+L(cond)>13) in surface waters stabilises the excess of dissolved copper (dCu) transported in the TPD and favours its export to the Fram Strait and Nordic Seas.",2023,,FRONTIERS IN MARINE SCIENCE,10,,,WOS:001130472300001,10.3389/fmars.2023.1306278,,#2,Arnone 2023,,Cu environmental chemistry; marine; primary source
"Trace elements in marine particulate and surface sediments of Kongsfjorden, Svalbard Islands","Ardini, F; Bazzano, A; Rivaro, P; Soggia, F; Terol, A; Grotti, M","To investigate the occurrence and possible sources of trace metals in the marine environment of Kongsfjorden (Svalbard Islands, Norwegian Arctic), suspended particulate matter and surface sediments have been collected in July 2014 and analysed for major and trace elements. The sampling stations were chosen to be representative of different glacial runoff, anthropic impact and possible influence of Atlantic waters. It was found that Al, Ca, Co, Fe, K, Mg, Ti and V enter the fjord by the natural input of lithogenic particles from the glaciers, whereas Cd, Cr, Cu, Mo, Ni and Zn of anthropogenic origin are mainly introduced through the intrusion of Atlantic waters. The study of metal availability in surface sediments indicated that the labile fraction, leachable in weak acidic conditions, represents only a minor portion (< 14 %) of the total element concentration, except for Cd, Cu and Mn.",2016,,RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI,27,,183-190,WOS:000382669200019,10.1007/s12210-016-0524-8,,#3,Ardini 2016,,marine; primary source; sediment
Distribution of copper-binding ligands in Fram Strait and influences from the Greenland Shelf (GEOTRACES GN05),"Arnone, V; Santana-Casiano, JM; González-Dávila, M; Sarthou, G; Krisch, S; Lodeiro, P; Achterberg, EP; González, AG","The Fram Strait represents the major gateway of Arctic Ocean waters towards the Nordic Seas and North Atlantic Ocean and is a key region to study the impact of climate change on biogeochemical cycles. In the region, in-formation about trace metal speciation, such as copper, is scarce. This manuscript presents the concentrations and conditional stability constants of copper-binding ligands (LCu and log KcondCu2+L) in the water column of Fram Strait and the Greenland shelf (GEOTRACES cruise GN05). Cu-binding ligands were analysed by Competitive Ligand Exchange-Adsorptive Cathodic Stripping Voltammetry (CLE-ACSV) using salicylaldoxime (SA) as competitive ligand. Based on water masses and the hydrodynamic influences, three provinces were considered (coast, shelf, and Fram Strait) and differences were observed between regions and water masses. The strongest variability was observed in surface waters, with increasing LCu concentrations (mean values: Fram Strait = 2.6 +/- 1.0 nM; shelf = 5.2 +/- 1.3 nM; coast = 6.4 +/- 0.8 nM) and decreasing log KcondCu2+L values (mean values: Fram Strait = 15.7 +/- 0.3; shelf = 15.2 +/- 0.3; coast = 14.8 +/- 0.3) towards the west. The surface LCu concentrations obtained above the Greenland shelf indicate a supply from the coastal environment to the Polar Surface Water (PSW) which is an addition to the ligand exported from the central Arctic to Fram Strait. The significant differences (in terms of LCu and log Kcond Cu2+L) between shelf and coastal samples were explained considering the processes which modify ligand concentrations and binding strengths, such as biological activity in sea-ice, phytoplankton bloom in surface waters, bacterial degradation, and meltwater discharge from 79NG glacier terminus. Overall, the ligand concentration exceeded those of dissolved Cu (dCu) and kept the free copper (Cu2+) concentrations at femtomolar levels (0.13-21.13 fM). This indicates that Cu2+ toxicity limits were not reached and dCu levels were stabilized in surface waters by organic complexes, which favoured its transport to the Nordic Seas and North Atlantic Ocean and the development of microorganism.",2024,,SCIENCE OF THE TOTAL ENVIRONMENT,909,,,WOS:001146811900001,10.1016/j.scitotenv.2023.168162,,#6,Arnone 2024,,Cu environmental chemistry; biota; primary source
"Geochemistry and distribution of Metals in the Sediments of Kongsfjorden, Svalbard, Arctic","Sagar, MKV; Kannan, VM; Gopikrishna, VG; Krishnan, KP; Mohan, M","The arctic regions are facing serious environmental threats related to global warming. The marine geochemistry and metal sequestration in the marine sediments imply the present as well as past cli-matic conditions and elemental distribution, along with its dynamics. Various geochemical parameters were measured in the twelve sediment samples from Kongsfjorden. These were dominated by sand in the inner fjord and clay in the outer fjord area. The geochemical parameters such as organic carbon (OC) (mean 1.29%), inorganic carbon (CaCO3) (mean 10.16%), total nitrogen (TN) (mean 0.19%) and total phosphorus (TP) (mean 0.08%) show higher concentrations in the surface sediments of outer fjord regions. The concentrations of heavy metals are higher in the outer fjord regions and lower in the inner fjord regions. The various sediment quality-based indices analyses, such as the Enrichment Factor (EF) and geo-accumulation index, revealed high enrichment of heavy metals like Cu, Pb, Zn in the Kongsfjorden region, which is exposed to impending pollution from various sources. The modified PERI index values indicated that outer fjord region was under the level of considerable risk. (C) 2021 Elsevier B.V. All rights reserved.",2021,,REGIONAL STUDIES IN MARINE SCIENCE,44,,,WOS:000663076000015,10.1016/j.rsma.2021.101729,,#8,Sagar 2021,,marine; primary source; sediment
Recolonization and recovery of an Arctic benthic community subject to mine-tailings deposits,"Trannum, HC; Pedersen, KB; Renaud, PE; Christensen, GN; Evenset, A","Deposition of large volumes of mine tailings takes place in several Norwegian fjords, but the impacts on marine ecosystems have received relatively little scientific attention. At a 40 + -year old tailing deposition area for a copper mine in the Arctic fjord Repparfjorden, we investigated both short-term colonization of mine tailings-contaminated sediments through a field experiment, and the present faunal state in the old deposit area. Copper-concentrations at the old deposition site were still high (up to 291 mg/kg dry weight (dw)), and exceeded the Norwegian environmental-quality threshold (84 mg/kg dw). Furthermore, copper was identified as a sig-nificant structuring factor for the fauna in the fjord, although faunal diversity was relatively high and the community not severely disturbed. In the colonization experiment, experimental boxes filled with defaunated sediment capped with mine tailings were subject to colonization for 15 months. Benthic macrofaunal commu-nities were successfully established in all boxes, but the boxes with tailings showed lower species richness, abundance and biomass than the controls. Mine tailings continue to have local impacts on seafloor communities decades after deposition, and even low levels of metal-rich sediments can affect faunal recruitment. These results have implications for submarine deposition of mining waste and the impacts they have on coastal ecosystems.",2023,,JOURNAL OF SEA RESEARCH,191,,,WOS:000916929400001,10.1016/j.seares.2022.102327,,#10,Trannum 2023,,biota; marine; primary source; sediment
The Transpolar Drift as a Source of Riverine and Shelf-Derived Trace Elements to the Central Arctic Ocean,"Charette, MA; Kipp, LE; Jensen, LT; Dabrowski, JS; Whitmore, LM; Fitzsimmons, JN; Williford, T; Ulfsbo, A; Jones, E; Bundy, RM; Vivancos, SM; Pahnke, K; John, SG; Xiang, Y; Hatta, M; Petrova, M; Heimbürger-Boavida, L; Bauch, D; Newton, R; Pasqualini, A; Agather, AM; Amon, RMW; Anderson, RF; Andersson, PS; Benner, R; Bowman, KL; Edwards, RL; Gdaniec, S; Gerringa, LJA; González, AG; Granskog, M; Haley, B; Hammerschmidt, CR; Hansell, DA; Henderson, PB; Kadko, DC; Kaiser, K; Laan, P; Lam, PJ; Lamborg, CH; Levier, M; Li, XL; Margolin, AR; Measures, C; Middag, R; Millero, FJ; Moore, WS; Paffrath, R; Planquette, H; Rabe, B; Reader, H; Rember, R; Rijkenberg, MJA; Roy-Barman, M; van der Loeff, MR; Saito, M; Schauer, U; Schlosser, P; Sherrell, RM; Shiller, AM; Slagter, H; Sonke, JE; Stedmon, C; Woosley, RJ; Valk, O; van Ooijen, J; Zhang, RF","A major surface circulation feature of the Arctic Ocean is the Transpolar Drift (TPD), a current that transports river-influenced shelf water from the Laptev and East Siberian Seas toward the center of the basin and Fram Strait. In 2015, the international GEOTRACES program included a high-resolution pan-Arctic survey of carbon, nutrients, and a suite of trace elements and isotopes (TEIs). The cruises bisected the TPD at two locations in the central basin, which were defined by maxima in meteoric water and dissolved organic carbon concentrations that spanned 600 km horizontally and similar to 25-50 m vertically. Dissolved TEIs such as Fe, Co, Ni, Cu, Hg, Nd, and Th, which are generally particle-reactive but can be complexed by organic matter, were observed at concentrations much higher than expected for the open ocean setting. Other trace element concentrations such as Al, V, Ga, and Pb were lower than expected due to scavenging over the productive East Siberian and Laptev shelf seas. Using a combination of radionuclide tracers and ice drift modeling, the transport rate for the core of the TPD was estimated at 0.9 +/- 0.4 Sv (10(6) m(3)s(-1)). This rate was used to derive the mass flux for TEIs that were enriched in the TPD, revealing the importance of lateral transport in supplying materials beneath the ice to the central Arctic Ocean and potentially to the North Atlantic Ocean via Fram Strait. Continued intensification of the Arctic hydrologic cycle and permafrost degradation will likely lead to an increase in the flux of TEIs into the Arctic Ocean.Plain Language Summary A major feature of the Arctic Ocean circulation is the Transpolar Drift (TPD), a surface current that carries ice and continental shelf-derived materials from Siberia across the North Pole to the North Atlantic Ocean. In 2015, an international team of oceanographers conducted a survey of trace elements in the Arctic Ocean, traversing the TPD. Near the North Pole, they observed much higher concentrations of trace elements in surface waters than in regions on either side of the current. These trace elements originated from land, and their journey across the Arctic Ocean is made possible by chemical reactions with dissolved organic matter that originates mainly in Arctic rivers. This study reveals the importance of rivers and shelf processes combined with strong ocean currents in supplying trace elements to the central Arctic Ocean and onward to the Atlantic. These trace element inputs are expected to increase as a result of permafrost thawing and increased river runoff in the Arctic, which is warming at a rate much faster than anywhere else on Earth. Since many of the trace elements are essential building blocks for ocean life, these processes could lead to significant changes in the marine ecosystems and fisheries of the Arctic Ocean.",2020,,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,125,5,,WOS:000548601000017,10.1029/2019JC015920,,#12,Charette 2020,,Cu environmental chemistry; freshwater; marine; primary source
"History of heavy metal accumulation in the Svalbard area: Distribution, origin and transport pathways","Zaborska, A; Beszczynska-Möller, A; Wlodarska-Kowalczuk, M","In this study temporal changes of Pb, Zn, Cd and Cu concentrations were studied in 19 dated sediment cores collected from Svalbard fjords and the Barents Sea. The main aim was to study spatial and historical variations in heavy metal concentrations, deposition rates and sources in the context of different metal transport pathways. Metal concentrations ranged from 5.7 to 45.8 mg kg(-1) for Pb, from 13.4 to 54.5 mg kg(-1) for Cu, from 0.01 to 0.90 mg kg(-1) for Cd and from 55.6 to 130.4 mg kg(-1) for Zn. Some fjords were unpolluted by heavy metals while in others a clear signal of metal enrichment was found (outer Kongsfjorden, Hornsund, Adventfjorden). Large-scale processes such as atmospheric and oceanic transport were found to be important drivers of heavy metal contaminant distribution. The significance of global drivers varied among the fjords, due to coupling with local processes. Outer fjord parts, the most impacted by oceanic transport, were characterized by the excess Pb-206/Pb-207 values of similar to 1.17, while the inner basins were characterized by the excess (206)pb/Pb-207 of similar to 1.14 suggesting possible different importance of Pb sources (marine currents and atmospheric transport). (C) 2017 Elsevier Ltd. All rights reserved.",2017,,ENVIRONMENTAL POLLUTION,231,,437-450,WOS:000414881000044,10.1016/j.envpol.2017.08.042,,#14,Zaborska 2017,"Sam Welch (2025-07-08 20:04:40)(Select): Good question. I think just a mistake on my part.; PIERRE  BLEVIN (2025-07-04 19:50:10)(Screen): Why tagged as ""terrestrial""?; ",marine; primary source; sediment
"Anthropogenic and natural sources of particulate trace elements in the coastal marine environment of Kongsfjorden, Svalbard","Bazzano, A; Rivaro, P; Soggia, F; Ardini, F; Grotti, M","Suspended particulate matter collected from the coastal marine environment of Kongsflorden (Svalbard Islands, Norwegian Arctic) has been investigated in order to determine its elemental composition and to assess the natural and anthropogenic sources of particulate trace elements. For this purpose, two surveys were carried out in June and September 2012, measuring hydrographic, biological and chemical parameters along the water column at representative sites. The sources of trace elements were evaluated by measuring (208)pb/(207)pb and (206)pb/(207)pb isotope ratios and comparing them with the isotopic signature of the atmospheric particulate and marine sediments collected in the same area.It was found that natural input from the glaciers is the major source for Al, Co, Fe, K, Ti and V, whereas Ba, Cr, Cu, Mn, Mo, Ni, Pb and Zn of anthropogenic origin are mainly introduced into the fjord through the intrusion of Atlantic waters. The influence of the glacial runoff decreased with the distance from the front and it was higher at the end of the summer season than in late spring. On the other hand, the effect of the Atlantic waters was more relevant in the bottom layer at the entrance of the fjord, especially during the summer season. (C) 2014 Elsevier B.V. All rights reserved.",2014,,MARINE CHEMISTRY,163,,28-35,WOS:000337872000004,10.1016/j.marchem.2014.04.001,,#16,Bazzano 2014,,marine; primary source; sediment
"The impact of submarine copper mine tailing disposal from the 1970s on Repparfjorden, northern Norway","Sternal, B; Junttila, J; Skirbekk, K; Forwick, M; Carroll, J; Pedersen, KB","We investigate the state of sedimentological environment and contaminant status of Repparfjorden (N Norway) impacted by submarine disposal of mine tailings during the 1970s using sedimentological and geochemical properties of seventeen sediment cores. The impact of tailings disposal is mainly restricted to the inner fjord where the discharge occurred. Sediment cores retrieved from the inner fjord contain layers of mine tailings up to 9-cm thick, 3-9 cm below the seafloor. Spreading of the tailing-related metal Cu and particles is limited to the inner fjord and to a 2 cm layer in one core from the outer fjord. Two interrelated factors, fjord morphology and sedimentation rate, controlled the distribution of contaminant-laden tailings in the fjord. The mobility of Cu from buried contaminated sediments to the sediment-water interface in the inner fjord indicates that benthic communities have been continuously exposed to elevated Cu concentrations for nearly four decades.",2017,,MARINE POLLUTION BULLETIN,120,01-Feb,136-153,WOS:000407539300027,10.1016/j.marpolbul.2017.04.054,,#17,Sternal 2017,,marine; primary source; sediment
