"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"ARKIXb1993FramGrnld_FS","Fram Strait","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","C. glacialis","ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. glacialis"
"ARKIXb1993FramGrnld_FS","Fram Strait","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","C. finmarchicus","ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. finmarchicus"
"ARKIXb1993FramGrnld_FS","Fram Strait","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","C. hyperboreus","ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. hyperboreus"
"ARKIXb1993FramGrnld_FS","Fram Strait","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","M. longa","ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RM. longa"
"ARKIXb1993FramGrnld_FS","Fram Strait","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","H. glacialis","ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RH. glacialis"
"ARKIXb1993FramGrnld_FS","Fram Strait","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","T. abyssorum","ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RT. abyssorum"
"ARKIXb1993FramGrnld_FS","Fram Strait","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","T. libellula","ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RT. libellula"
"ARKIXb1993FramGrnld_FS","Fram Strait","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","C. borealis","ARKIXb1993FramGrnld_FS-Copper-BiotaAquatic-1993-03-01-RC. borealis"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","E. hamata","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RE. hamata"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","C. finmarchicus","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RC. finmarchicus"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","C. hyperboreus","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RC. hyperboreus"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","E. barbata","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RE. barbata"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","E. norvegica","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RE. norvegica"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","E. glacialis","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RE. glacialis"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","M. longa","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RM. longa"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","H. glacialis","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RH. glacialis"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","T. abyssorum","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RT. abyssorum"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","T. libellula","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RT. libellula"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","M. norvegica","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RM. norvegica"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","T. inermis","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RT. inermis"
"ARKIXb1993FramGrnld_GS","Greenland Sea","Copper","Stressor","Biota","Biota, Aquatic","Internal","1993-03-01","C. borealis","ARKIXb1993FramGrnld_GS-Copper-BiotaAquatic-1993-03-01-RC. borealis"
