"criterion_id","criterion_title","required_recommended","relevant_data","score","limitations"
"RB1","Sample Medium/Matrix","Required","1 compartment: Biota (Biota, Aquatic)

4 biota samples. Species (2): Mya arenaria, Astarte borealis. Tissue types: Total soft tissues. Life stages: Adult. Genders: Not reported

4 protocols:
Sampling Protocol - Grab: (Mussels were collected by means of a dredge fitted with a 5-mm mesh net. Then, mussels of size between 30-40 mm were selected and left for 24 hours in sea water for depuration. The uppermost 5-cm layer of sediments was collected by means of a Petterson grab sampler, and kept frozen until analysis.)
Fractionation Protocol - Not reported
Extraction Protocol - Acid digestion: (Total metals: Aliquots of 1.00 g of oven-dried (80°C, 16 h) and homogenized sediment samples were wet digested with a mixture of HClO4:HF (1:5) in teflon bombs at 140°C for 4 hr. Soft tissue of mussels was separated from the shells, lyophilized and homogenized. Successively, aliquots of 1.00 g were wet digested in glass vessels with 6 ml of HNO3 conc., followed by 4 ml of HClO4 conc.)
Extraction Protocol - Sequential extraction: (A 4-step extraction procedure adapted from Förstner and Wittmann was used: (a) 0.11 M acetic acid to isolate metals adsorbed to surfaces of sediment particles; (b) 0.05 M hydroxylamine hydrochloride for metals associated with manganese and iron hydroxides; (c) 1.0 M ammonium acetate after digestion with 5 ml of 8.8 M hydrogen peroxide for metals complexed with organic substances; (d) mixture of HF:HClO4 (5:1) for metals incorporated in crystal lattice of clay minerals.)","1",""
"RB2","Collection Method/Sample Type","Recommended","1 protocol:
Sampling Protocol - Grab: (Mussels were collected by means of a dredge fitted with a 5-mm mesh net. Then, mussels of size between 30-40 mm were selected and left for 24 hours in sea water for depuration. The uppermost 5-cm layer of sediments was collected by means of a Petterson grab sampler, and kept frozen until analysis.)","1",""
"RB3","Sample Handling","Recommended","3 protocols:
Sampling Protocol - Grab: (Mussels were collected by means of a dredge fitted with a 5-mm mesh net. Then, mussels of size between 30-40 mm were selected and left for 24 hours in sea water for depuration. The uppermost 5-cm layer of sediments was collected by means of a Petterson grab sampler, and kept frozen until analysis.)
Extraction Protocol - Acid digestion: (Total metals: Aliquots of 1.00 g of oven-dried (80°C, 16 h) and homogenized sediment samples were wet digested with a mixture of HClO4:HF (1:5) in teflon bombs at 140°C for 4 hr. Soft tissue of mussels was separated from the shells, lyophilized and homogenized. Successively, aliquots of 1.00 g were wet digested in glass vessels with 6 ml of HNO3 conc., followed by 4 ml of HClO4 conc.)
Extraction Protocol - Sequential extraction: (A 4-step extraction procedure adapted from Förstner and Wittmann was used: (a) 0.11 M acetic acid to isolate metals adsorbed to surfaces of sediment particles; (b) 0.05 M hydroxylamine hydrochloride for metals associated with manganese and iron hydroxides; (c) 1.0 M ammonium acetate after digestion with 5 ml of 8.8 M hydrogen peroxide for metals complexed with organic substances; (d) mixture of HF:HClO4 (5:1) for metals incorporated in crystal lattice of clay minerals.)","1",""
"RB4","Site Location","Required","2 sites. Countries (2): Norway, Poland. Areas (2): Norwegian Sea, Baltic Sea. Distinct features: Types: Ocean, sea, territorial waters, Subtypes: Water benthos. Lowest coordinate precision: 2","2","Yes; however, the coordinates reported for the Baltic sea site are wrong and instead point to Ukraine."
"RB5","Date and Time","Required","01/01/1999 (n=1)","4","No; 01.01.1999 is a guess from the paper being published in 1999."
"RB6","Analyte(s) Measured","Required","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Concentrations were measured using a model Video 11E Thermo Jarrel Ash atomic absorption spectrometer using either air-acetylene flame or a model CTF 188 furnace for atomization. Smith-Heftjer or D2 background correction was applied throughout the measurements. IAEA-140/TM (sea plant homogenate) and IAEA-SD-M-2/TM (marine bottom sediment) standards were analyzed. Recovery was between 93% (Fe) and 103% (Cd).)","1","Yes. "
"RB7","Limit of Detection and/or Limit of Quantification","Required","Relevant data not found","4",""
"RB8","Accreditation/Quality Management System","Required","Relevant data not collected by app. Please complete manually.","4",""
"RB9","Method","Required","5 protocols:
Sampling Protocol - Grab: (Mussels were collected by means of a dredge fitted with a 5-mm mesh net. Then, mussels of size between 30-40 mm were selected and left for 24 hours in sea water for depuration. The uppermost 5-cm layer of sediments was collected by means of a Petterson grab sampler, and kept frozen until analysis.)
Fractionation Protocol - Not reported
Extraction Protocol - Acid digestion: (Total metals: Aliquots of 1.00 g of oven-dried (80°C, 16 h) and homogenized sediment samples were wet digested with a mixture of HClO4:HF (1:5) in teflon bombs at 140°C for 4 hr. Soft tissue of mussels was separated from the shells, lyophilized and homogenized. Successively, aliquots of 1.00 g were wet digested in glass vessels with 6 ml of HNO3 conc., followed by 4 ml of HClO4 conc.)
Extraction Protocol - Sequential extraction: (A 4-step extraction procedure adapted from Förstner and Wittmann was used: (a) 0.11 M acetic acid to isolate metals adsorbed to surfaces of sediment particles; (b) 0.05 M hydroxylamine hydrochloride for metals associated with manganese and iron hydroxides; (c) 1.0 M ammonium acetate after digestion with 5 ml of 8.8 M hydrogen peroxide for metals complexed with organic substances; (d) mixture of HF:HClO4 (5:1) for metals incorporated in crystal lattice of clay minerals.)
Analytical Protocol - Atomic absorption spectroscopy: (Concentrations were measured using a model Video 11E Thermo Jarrel Ash atomic absorption spectrometer using either air-acetylene flame or a model CTF 188 furnace for atomization. Smith-Heftjer or D2 background correction was applied throughout the measurements. IAEA-140/TM (sea plant homogenate) and IAEA-SD-M-2/TM (marine bottom sediment) standards were analyzed. Recovery was between 93% (Fe) and 103% (Cd).)","1",""
"RB10","Lab Blank Contamination","Recommended","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Concentrations were measured using a model Video 11E Thermo Jarrel Ash atomic absorption spectrometer using either air-acetylene flame or a model CTF 188 furnace for atomization. Smith-Heftjer or D2 background correction was applied throughout the measurements. IAEA-140/TM (sea plant homogenate) and IAEA-SD-M-2/TM (marine bottom sediment) standards were analyzed. Recovery was between 93% (Fe) and 103% (Cd).)","4","Yes; ""Appropriate blanks were also analysed in series
with samples. Metal contents in blanks ranged from about 10% (Cd in soft tissue) to 0.1% (Fe in sediments)
of concentrations measured in samples. The metal concentrations measured experimentally in the samples
were then corrected for blank concentrations."""
"RB11","Recovery/Accuracy","Recommended","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Concentrations were measured using a model Video 11E Thermo Jarrel Ash atomic absorption spectrometer using either air-acetylene flame or a model CTF 188 furnace for atomization. Smith-Heftjer or D2 background correction was applied throughout the measurements. IAEA-140/TM (sea plant homogenate) and IAEA-SD-M-2/TM (marine bottom sediment) standards were analyzed. Recovery was between 93% (Fe) and 103% (Cd).)","1","Yes; "" Recovery of metals in the standards was between 93% (Fe) and 103% (Cd) of the declared values."""
"RB12","Reproducibility/Precision","Recommended","1 protocol:
Analytical Protocol - Atomic absorption spectroscopy: (Concentrations were measured using a model Video 11E Thermo Jarrel Ash atomic absorption spectrometer using either air-acetylene flame or a model CTF 188 furnace for atomization. Smith-Heftjer or D2 background correction was applied throughout the measurements. IAEA-140/TM (sea plant homogenate) and IAEA-SD-M-2/TM (marine bottom sediment) standards were analyzed. Recovery was between 93% (Fe) and 103% (Cd).)","4",""
