"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"GlommaCu1990-95_1","Glomma estuary station 1","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-06-07","1","GlommaCu1990-95_1-Copper-BrackishTran-1990-06-07-R 1"
"GlommaCu1990-95_2","Glomma estuary station 2","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-06-07","1","GlommaCu1990-95_2-Copper-BrackishTran-1990-06-07-R 1"
"GlommaCu1990-95_3","Glomma estuary station 3","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-06-07","1","GlommaCu1990-95_3-Copper-BrackishTran-1990-06-07-R 1"
"GlommaCu1990-95_4","Glomma estuary station 4","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-06-07","1","GlommaCu1990-95_4-Copper-BrackishTran-1990-06-07-R 1"
"GlommaCu1990-95_1","Glomma estuary station 1","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-07-02","1","GlommaCu1990-95_1-Copper-BrackishTran-1990-07-02-R 1"
"GlommaCu1990-95_2","Glomma estuary station 2","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-07-02","1","GlommaCu1990-95_2-Copper-BrackishTran-1990-07-02-R 1"
"GlommaCu1990-95_3","Glomma estuary station 3","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-07-02","1","GlommaCu1990-95_3-Copper-BrackishTran-1990-07-02-R 1"
"GlommaCu1990-95_4","Glomma estuary station 4","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-07-02","1","GlommaCu1990-95_4-Copper-BrackishTran-1990-07-02-R 1"
"GlommaCu1990-95_1","Glomma estuary station 1","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-08-01","1","GlommaCu1990-95_1-Copper-BrackishTran-1990-08-01-R 1"
"GlommaCu1990-95_2","Glomma estuary station 2","Copper","Stressor","Aquatic","Brackish/Transitional Water","External","1990-08-01","1","GlommaCu1990-95_2-Copper-BrackishTran-1990-08-01-R 1"
