SITE_CODE,PARAMETER_ME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,SD,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIOTION_PROTOCOL,ALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME_SHORT
SorfjordStarfish2000_S1,Copper,31/05/2000,Aquatic Sediment,Sediment,,100,Standard Deviation,39,139,61,μg/kg (dry),6,,μg/kg (dry),,μg/kg (dry),S01_Core_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RSediment,Aquatic,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,Aquatic Sediment,Sediment,,22,Standard Deviation,3,25,19,μg/kg (dry),6,,μg/kg (dry),,μg/kg (dry),S01_Core_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-AquaticSedim-2000-05-31-Rsediment,Aquatic,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S3,Copper,31/05/2000,Aquatic Sediment,Sediment,,79,Standard Deviation,20,99,59,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S01_Core_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S3-Copper-AquaticSedim-2000-05-31-Rsediment,Aquatic,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S4,Copper,31/05/2000,Aquatic Sediment,Sediment,,8,Standard Deviation,4,12,4,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S01_Core_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S4-Copper-AquaticSedim-2000-05-31-Rsediment,Aquatic,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S1,Copper,31/05/2000,"Biota, Aquatic",Black starfish caeca,,35.9,Standard Deviation,16.3,52.2,19.6,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RBlack starfish caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S1,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) caeca,,53.6,Standard Deviation,18.8,72.4,34.8,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S1,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) caeca,,49.4,Standard Deviation,15.5,64.9,33.9,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Black starfish caeca,,92.3,Standard Deviation,65.2,157.5,27.1,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RBlack starfish caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S1,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) wall,,52.9,Standard Deviation,24.8,77.7,28.1,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S1,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) wall,,51.5,Standard Deviation,13.7,65.2,37.8,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S3,Copper,31/05/2000,"Biota, Aquatic",Black starfish caeca,,18.7,Standard Deviation,7.2,25.9,11.5,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RBlack starfish caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) caeca,,35,Standard Deviation,37,72,-2,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 30%) caeca,,67.5,Standard Deviation,67.5,135,0,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%) caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S4,Copper,31/05/2000,"Biota, Aquatic",Black starfish caeca,,23.9,Standard Deviation,10.9,34.8,13,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RBlack starfish caeca,Biota,Stressor,Concentration,,SorfjordStarfish2000
SorfjordStarfish2000_S2,Copper,31/05/2000,"Biota, Aquatic",Red starfish (sal 22-26%) wall,,40.7,Standard Deviation,21.8,62.5,18.9,μg/kg (dry),5,,μg/kg (dry),,μg/kg (dry),S02_Point_SorfjordSt,E01_Microwave_SorfjordSt,F01_AcidEx_SorfjordSt,A02_GFAAS_SorfjordSt,2003CoteurFieldContaminationOf,SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%) wall,Biota,Stressor,Concentration,,SorfjordStarfish2000
