"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Black starfish","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RBlack starfish"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 22-26%)","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 22-26%)"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 30%)","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 30%)"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Black starfish","SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RBlack starfish"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Red starfish (sal 22-26%)","SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%)"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Red starfish (sal 30%)","SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%)"
"SorfjordStarfish2000_S2","Station S2 - Apold","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Black starfish","SorfjordStarfish2000_S2-Copper-AquaticSedim-2000-05-31-RBlack starfish"
"SorfjordStarfish2000_S2","Station S2 - Apold","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 22-26%)","SorfjordStarfish2000_S2-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 22-26%)"
"SorfjordStarfish2000_S2","Station S2 - Apold","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 30%)","SorfjordStarfish2000_S2-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 30%)"
"SorfjordStarfish2000_S2","Station S2 - Apold","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Black starfish","SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RBlack starfish"
"SorfjordStarfish2000_S2","Station S2 - Apold","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Red starfish (sal 22-26%)","SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%)"
"SorfjordStarfish2000_S2","Station S2 - Apold","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Red starfish (sal 30%)","SorfjordStarfish2000_S2-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%)"
"SorfjordStarfish2000_S3","Station S3 - Hovland","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Black starfish","SorfjordStarfish2000_S3-Copper-AquaticSedim-2000-05-31-RBlack starfish"
"SorfjordStarfish2000_S3","Station S3 - Hovland","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 22-26%)","SorfjordStarfish2000_S3-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 22-26%)"
"SorfjordStarfish2000_S3","Station S3 - Hovland","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 30%)","SorfjordStarfish2000_S3-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 30%)"
"SorfjordStarfish2000_S3","Station S3 - Hovland","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Black starfish","SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RBlack starfish"
"SorfjordStarfish2000_S3","Station S3 - Hovland","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Red starfish (sal 22-26%)","SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%)"
"SorfjordStarfish2000_S3","Station S3 - Hovland","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Red starfish (sal 30%)","SorfjordStarfish2000_S3-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%)"
"SorfjordStarfish2000_S4","Station S4 - Reference site in Hardangerfjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Black starfish","SorfjordStarfish2000_S4-Copper-AquaticSedim-2000-05-31-RBlack starfish"
"SorfjordStarfish2000_S4","Station S4 - Reference site in Hardangerfjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 22-26%)","SorfjordStarfish2000_S4-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 22-26%)"
"SorfjordStarfish2000_S4","Station S4 - Reference site in Hardangerfjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 30%)","SorfjordStarfish2000_S4-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 30%)"
"SorfjordStarfish2000_S4","Station S4 - Reference site in Hardangerfjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Black starfish","SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RBlack starfish"
"SorfjordStarfish2000_S4","Station S4 - Reference site in Hardangerfjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Red starfish (sal 22-26%)","SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 22-26%)"
"SorfjordStarfish2000_S4","Station S4 - Reference site in Hardangerfjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Red starfish (sal 30%)","SorfjordStarfish2000_S4-Copper-BiotaAquatic-2000-05-31-RRed starfish (sal 30%)"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Black starfish caeca","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RBlack starfish caeca"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 22-26%) caeca","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 22-26%) caeca"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 30%) caeca","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 30%) caeca"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Black starfish wall","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RBlack starfish wall"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 22-26%) wall","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 22-26%) wall"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Aquatic","Aquatic Sediment","External","2000-05-31","Red starfish (sal 30%) wall","SorfjordStarfish2000_S1-Copper-AquaticSedim-2000-05-31-RRed starfish (sal 30%) wall"
"SorfjordStarfish2000_S1","Station S1 - Head of fjord near Odda","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-05-31","Black starfish caeca","SorfjordStarfish2000_S1-Copper-BiotaAquatic-2000-05-31-RBlack starfish caeca"
