"criterion_id","criterion_title","required_recommended","relevant_data","score","limitations"
"RB1","Sample Medium/Matrix","Required","1 compartment: Biota (Biota, Aquatic)

8 biota samples. Species: Nucella lapillus. Tissue types: Total soft tissues. Life stages: Adult. Genders: Not reported

3 protocols:
Sampling Protocol - Point sampling: (Different sizes of dogwhelk Nucella lapillus were collected from eight locations. Non-tagged snails (n > 60) were collected at each study site for metal and biochemical analyses. After field collection, all non-tagged samples were immediately kept at -25°C)
Fractionation Protocol - Acid extractable: (Remaining homogenate was dried at 60°C for at least 96h until constant mass achieved. Homogenates were then digested in concentrated nitric acid for 24h at room temperature followed by boiling for at least 2h until clear solution obtained)
Extraction Protocol - Acid digestion: (Remaining homogenate was dried at 60°C for at least 96h until constant mass achieved. Homogenates were then digested in concentrated nitric acid for 24h at room temperature followed by boiling for at least 2h until clear solution obtained)","1",""
"RB2","Collection Method/Sample Type","Recommended","1 protocol:
Sampling Protocol - Point sampling: (Different sizes of dogwhelk Nucella lapillus were collected from eight locations. Non-tagged snails (n > 60) were collected at each study site for metal and biochemical analyses. After field collection, all non-tagged samples were immediately kept at -25°C)","4","Moderate detail on collection."
"RB3","Sample Handling","Recommended","2 protocols:
Sampling Protocol - Point sampling: (Different sizes of dogwhelk Nucella lapillus were collected from eight locations. Non-tagged snails (n > 60) were collected at each study site for metal and biochemical analyses. After field collection, all non-tagged samples were immediately kept at -25°C)
Extraction Protocol - Acid digestion: (Remaining homogenate was dried at 60°C for at least 96h until constant mass achieved. Homogenates were then digested in concentrated nitric acid for 24h at room temperature followed by boiling for at least 2h until clear solution obtained)","2","General detail on handling."
"RB4","Site Location","Required","8 sites. Countries: Iceland. Areas: North Atlantic Ocean. Distinct features: Types: Coastal, fjord, Subtypes: Not reported. Lowest coordinate precision: 0","2","Yes, although with low-quality maps and no coordinates."
"RB5","Date and Time","Required","1999-08-31 (n=1)","2","""Late august 1999""."
"RB6","Analyte(s) Measured","Required","1 protocol:
Analytical Protocol - Inductively coupled plasma optical emission spectroscopy: (Concentrations of trace metals (Cd, Cr, Cu, Mn, Ni, Pb and Zn) were determined using inductively coupled plasma-atomic emission spectrometer (ICP-AES, Perkin Elmer Optima 3300RL). Accuracy regularly checked by including standard reference material (dogfish muscle, DORM-2, from National Research Council, Canada) within batches. Agreement considered good, within 14%)","1","Yes."
"RB7","Limit of Detection and/or Limit of Quantification","Required","Relevant data not found","4","Only for lead."
"RB8","Accreditation/Quality Management System","Required","Relevant data not collected by app. Please complete manually.","4","Justification: No lab accreditation reported."
"RB9","Method","Required","4 protocols:
Sampling Protocol - Point sampling: (Different sizes of dogwhelk Nucella lapillus were collected from eight locations. Non-tagged snails (n > 60) were collected at each study site for metal and biochemical analyses. After field collection, all non-tagged samples were immediately kept at -25°C)
Fractionation Protocol - Acid extractable: (Remaining homogenate was dried at 60°C for at least 96h until constant mass achieved. Homogenates were then digested in concentrated nitric acid for 24h at room temperature followed by boiling for at least 2h until clear solution obtained)
Extraction Protocol - Acid digestion: (Remaining homogenate was dried at 60°C for at least 96h until constant mass achieved. Homogenates were then digested in concentrated nitric acid for 24h at room temperature followed by boiling for at least 2h until clear solution obtained)
Analytical Protocol - Inductively coupled plasma optical emission spectroscopy: (Concentrations of trace metals (Cd, Cr, Cu, Mn, Ni, Pb and Zn) were determined using inductively coupled plasma-atomic emission spectrometer (ICP-AES, Perkin Elmer Optima 3300RL). Accuracy regularly checked by including standard reference material (dogfish muscle, DORM-2, from National Research Council, Canada) within batches. Agreement considered good, within 14%)","1","Methods generally well described."
"RB10","Lab Blank Contamination","Recommended","1 protocol:
Analytical Protocol - Inductively coupled plasma optical emission spectroscopy: (Concentrations of trace metals (Cd, Cr, Cu, Mn, Ni, Pb and Zn) were determined using inductively coupled plasma-atomic emission spectrometer (ICP-AES, Perkin Elmer Optima 3300RL). Accuracy regularly checked by including standard reference material (dogfish muscle, DORM-2, from National Research Council, Canada) within batches. Agreement considered good, within 14%)","4","Blanks not reported."
"RB11","Recovery/Accuracy","Recommended","1 protocol:
Analytical Protocol - Inductively coupled plasma optical emission spectroscopy: (Concentrations of trace metals (Cd, Cr, Cu, Mn, Ni, Pb and Zn) were determined using inductively coupled plasma-atomic emission spectrometer (ICP-AES, Perkin Elmer Optima 3300RL). Accuracy regularly checked by including standard reference material (dogfish muscle, DORM-2, from National Research Council, Canada) within batches. Agreement considered good, within 14%)","1","SRMs used."
"RB12","Reproducibility/Precision","Recommended","1 protocol:
Analytical Protocol - Inductively coupled plasma optical emission spectroscopy: (Concentrations of trace metals (Cd, Cr, Cu, Mn, Ni, Pb and Zn) were determined using inductively coupled plasma-atomic emission spectrometer (ICP-AES, Perkin Elmer Optima 3300RL). Accuracy regularly checked by including standard reference material (dogfish muscle, DORM-2, from National Research Council, Canada) within batches. Agreement considered good, within 14%)","4","No use of lab replicates and long-term control recoveries reported."
