"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"BarentsSeaMetals2000_Area2-Copper-BiotaAquatic-1994-01-01-R-1","BarentsSeaMetals2000_Area2","Copper","Biota","Biota, Aquatic","Internal","1994-01-01","1","Crustaceans","Pandalus borealis","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_Area3-Copper-BiotaAquatic-1994-01-01-R-1","BarentsSeaMetals2000_Area3","Copper","Biota","Biota, Aquatic","Internal","1994-01-01","1","Crustaceans","Pandalus borealis","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_Area5-Copper-BiotaAquatic-1991-01-01-R-1","BarentsSeaMetals2000_Area5","Copper","Biota","Biota, Aquatic","Internal","1991-01-01","1","Crustaceans","Pandalus borealis","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_Area1-Copper-BiotaAquatic-2000-01-01-R-1","BarentsSeaMetals2000_Area1","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","1","Crustaceans","Pandalus borealis","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_Area2-Copper-BiotaAquatic-2000-01-01-R-1","BarentsSeaMetals2000_Area2","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","1","Crustaceans","Pandalus borealis","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_Area3-Copper-BiotaAquatic-2000-01-01-R-1","BarentsSeaMetals2000_Area3","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","1","Crustaceans","Pandalus borealis","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-EukroniaHamata","BarentsSeaMetals2000_MergedAreas","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","Eukronia hamata","Crustaceans","Eukronia hamata","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-CalanusHyperboreus","BarentsSeaMetals2000_MergedAreas","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","Calanus hyperboreus","Crustaceans","Calanus hyperboreus","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-CalanusFinmarchicus","BarentsSeaMetals2000_MergedAreas","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","Calanus finmarchicus","Crustaceans","Calanus finmarchicus","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-MetridiaLonga","BarentsSeaMetals2000_MergedAreas","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","Metridia longa","Crustaceans","Metridia longa","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-EuchaetaNorvegica","BarentsSeaMetals2000_MergedAreas","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","Euchaeta norvegica","Crustaceans","Euchaeta norvegica","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-ThemistoAbyssorum","BarentsSeaMetals2000_MergedAreas","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","Themisto abyssorum","Crustaceans","Themisto abyssorum","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-MeganyctiphanesNorvegica","BarentsSeaMetals2000_MergedAreas","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","Meganyctiphanes norvegica","Crustaceans","Meganyctiphanes norvegica","Whole body","Not reported","Not reported",""
"BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-SabineaSarsi","BarentsSeaMetals2000_MergedAreas","Copper","Biota","Biota, Aquatic","Internal","2000-01-01","Sabinea sarsi","Crustaceans","Sabinea sarsi","Whole body","Not reported","Not reported",""
