"SITE_CODE","PARAMETER_NAME","SAMPLING_DATE","ENVIRON_COMPARTMENT_SUB","SUBSAMPLE","MEASURED_FLAG","MEASURED_VALUE","UNCERTAINTY_TYPE","UNCERTAINTY_UPPER","UNCERTAINTY_LOWER","MEASURED_UNIT","MEASURED_N","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","SAMPLING_PROTOCOL","EXTRACTION_PROTOCOL","FRACTIONATION_PROTOCOL","ANALYTICAL_PROTOCOL","REFERENCE_ID","SAMPLE_ID","CAMPAIGN_NAME_SHORT","ENVIRON_COMPARTMENT","PARAMETER_TYPE","MEASURED_TYPE","MEASUREMENT_COMMENT","CAMPAIGN_NAME","CAMPAIGN_START_DATE","CAMPAIGN_END_DATE","RELIABILITY_SCORE","RELIABILITY_EVAL_SYS","CONFIDENTIALITY_EXPIRY_DATE","ORGANISATION","ENTERED_BY","ENTERED_DATE","CAMPAIGN_COMMENT"
"BarentsSeaMetals2000_Area2","Copper","1994-01-01","Biota, Aquatic","1","",15,"Standard Deviation",19,11,"mg/kg (dry)",28,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_Area2-Copper-BiotaAquatic-1994-01-01-R-1","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_Area3","Copper","1994-01-01","Biota, Aquatic","1","",21,,24,18,"mg/kg (dry)",58,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_Area3-Copper-BiotaAquatic-1994-01-01-R-1","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_Area5","Copper","1991-01-01","Biota, Aquatic","1","",1,,,,"Other",,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_Area5-Copper-BiotaAquatic-1991-01-01-R-1","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_Area1","Copper","2000-01-01","Biota, Aquatic","1","",36,"Standard Deviation",42,30,"mg/kg (dry)",8,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_Area1-Copper-BiotaAquatic-2000-01-01-R-1","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_Area2","Copper","2000-01-01","Biota, Aquatic","1","",43,,46,40,"mg/kg (dry)",16,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_Area2-Copper-BiotaAquatic-2000-01-01-R-1","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_Area3","Copper","2000-01-01","Biota, Aquatic","1","",82,,96,68,"mg/kg (dry)",23,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_Area3-Copper-BiotaAquatic-2000-01-01-R-1","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_MergedAreas","Copper","2000-01-01","Biota, Aquatic","Eukronia hamata","",4,,5,3,"mg/kg (dry)",8,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-EukroniaHamata","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_MergedAreas","Copper","2000-01-01","Biota, Aquatic","Calanus hyperboreus","",6,,7,5,"mg/kg (dry)",11,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-CalanusHyperboreus","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_MergedAreas","Copper","2000-01-01","Biota, Aquatic","Calanus finmarchicus","",7,,8,6,"mg/kg (dry)",13,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-CalanusFinmarchicus","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_MergedAreas","Copper","2000-01-01","Biota, Aquatic","Metridia longa","",7,,8,6,"mg/kg (dry)",10,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-MetridiaLonga","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_MergedAreas","Copper","2000-01-01","Biota, Aquatic","Euchaeta norvegica","",9,,13,5,"mg/kg (dry)",4,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-EuchaetaNorvegica","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
"BarentsSeaMetals2000_MergedAreas","Copper","2000-01-01","Biota, Aquatic","Themisto abyssorum","",9,,12,6,"mg/kg (dry)",7,,"",,"","S01_PlanktonNetSamp_BarentsSea","E01_AcidDigestion_BarentsSea","E01_AcidDigestion_BarentsSea","A01_AtomicAbsorptio_BarentsSea","2006ZaukeHeavyMetalsIn","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-ThemistoAbyssorum","BarentsSeaMetals2000","Biota","Stressor","Concentration",,"Heavy Metals in Zooplankton and Decapod Crustaceans from the Barents Sea",,,,"Not relevant",,"Carl von Ossietzky Universität Oldenburg, ICBM","SAW",,"Study conducted over multiple cruises: cruise 217 (May/June 2000), cruise 116 (July 1991), and cruise 150 (August 1994) using RV Walther Herwig II and III in the Barents Sea and Norwegian Sea."
