"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"BarentsSeaMetals2000_Area2","Central Bank","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-01-01","1","BarentsSeaMetals2000_Area2-Copper-BiotaAquatic-1994-01-01-R-1"
"BarentsSeaMetals2000_Area3","Spitsbergen Bellsund Bank, Hornsund Bank and South Cape Bank","Copper","Stressor","Biota","Biota, Aquatic","Internal","1994-01-01","1","BarentsSeaMetals2000_Area3-Copper-BiotaAquatic-1994-01-01-R-1"
"BarentsSeaMetals2000_Area5","North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","1991-01-01","1","BarentsSeaMetals2000_Area5-Copper-BiotaAquatic-1991-01-01-R-1"
"BarentsSeaMetals2000_Area1","North Cape Bank","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","1","BarentsSeaMetals2000_Area1-Copper-BiotaAquatic-2000-01-01-R-1"
"BarentsSeaMetals2000_Area2","Central Bank","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","1","BarentsSeaMetals2000_Area2-Copper-BiotaAquatic-2000-01-01-R-1"
"BarentsSeaMetals2000_Area3","Spitsbergen Bellsund Bank, Hornsund Bank and South Cape Bank","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","1","BarentsSeaMetals2000_Area3-Copper-BiotaAquatic-2000-01-01-R-1"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","Eukronia hamata","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-EukroniaHamata"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","Calanus hyperboreus","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-CalanusHyperboreus"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","Calanus finmarchicus","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-CalanusFinmarchicus"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","Metridia longa","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-MetridiaLonga"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","Euchaeta norvegica","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-EuchaetaNorvegica"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","Themisto abyssorum","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-ThemistoAbyssorum"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","Meganyctiphanes norvegica","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-MeganyctiphanesNorvegica"
"BarentsSeaMetals2000_MergedAreas","Merged site represented North Cape, Central, South Cape, Spitsbergen Bellsund, Hornsund Banks and marine areas near Bear Island and North of Svalbard","Copper","Stressor","Biota","Biota, Aquatic","Internal","2000-01-01","Sabinea sarsi","BarentsSeaMetals2000_MergedAreas-Copper-BiotaAquatic-2000-01-01-R-SabineaSarsi"
