"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"PolarBear2005-08_CB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_CB","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_NB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_NB","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_SB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_SB","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_GB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_GB","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_LJS-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_LJS","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_WHB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_WHB","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_SHB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_SHB","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_BB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_BB","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_DS-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_DS","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
"PolarBear2005-08_EG-Copper-BiotaTerrest-2005-01-01-R-1","PolarBear2005-08_EG","Copper","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"Mammals","Ursus maritimus","Liver","Mixed","Mixed","Exact age/gender ratios reported in paper, but copper concentrations only reported by site."
