"SITE_CODE","PARAMETER_NAME","SAMPLING_DATE","ENVIRON_COMPARTMENT_SUB","SUBSAMPLE","MEASURED_FLAG","MEASURED_VALUE","UNCERTAINTY_TYPE","UNCERTAINTY_UPPER","UNCERTAINTY_LOWER","MEASURED_UNIT","MEASURED_N","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","SAMPLING_PROTOCOL","EXTRACTION_PROTOCOL","FRACTIONATION_PROTOCOL","ANALYTICAL_PROTOCOL","REFERENCE_ID","SAMPLE_ID","CAMPAIGN_NAME_SHORT","ENVIRON_COMPARTMENT","PARAMETER_TYPE","MEASURED_TYPE","MEASUREMENT_COMMENT","CAMPAIGN_NAME","CAMPAIGN_START_DATE","CAMPAIGN_END_DATE","RELIABILITY_SCORE","RELIABILITY_EVAL_SYS","CONFIDENTIALITY_EXPIRY_DATE","ORGANISATION","ENTERED_BY","ENTERED_DATE","CAMPAIGN_COMMENT"
"PolarBear2005-08_CB","Copper","01/01/2005","Biota, Terrestrial",1,,42,"Geometric Mean and Standard Deviation",55,33,"μg/g (dry)",18,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_CB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_NB","Copper","01/01/2005","Biota, Terrestrial",1,,35,"Geometric Mean and Standard Deviation",39,31,"μg/g (dry)",18,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_NB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_SB","Copper","01/01/2005","Biota, Terrestrial",1,,40,"Geometric Mean and Standard Deviation",50,32,"μg/g (dry)",20,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_SB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_GB","Copper","01/01/2005","Biota, Terrestrial",1,,25,"Geometric Mean and Standard Deviation",40,12,"μg/g (dry)",6,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_GB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_LJS","Copper","01/01/2005","Biota, Terrestrial",1,,36,"Geometric Mean and Standard Deviation",44,30,"μg/g (dry)",48,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_LJS-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_WHB","Copper","01/01/2005","Biota, Terrestrial",1,,42,"Geometric Mean and Standard Deviation",60,34,"μg/g (dry)",21,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_WHB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_SHB","Copper","01/01/2005","Biota, Terrestrial",1,,32,"Geometric Mean and Standard Deviation",40,27,"μg/g (dry)",25,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_SHB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_BB","Copper","01/01/2005","Biota, Terrestrial",1,,38,"Geometric Mean and Standard Deviation",50,28,"μg/g (dry)",34,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_BB-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_DS","Copper","01/01/2005","Biota, Terrestrial",1,,42,"Geometric Mean and Standard Deviation",70,30,"μg/g (dry)",32,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_DS-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
"PolarBear2005-08_EG","Copper","01/01/2005","Biota, Terrestrial",1,,30,"Geometric Mean and Standard Deviation",38,25,"μg/g (dry)",95,,,,,"S01_Other_PolarBears","E01_AcidDigestion_PolarBears","E01_AcidDigestion_PolarBears","A01_InductivelyCoup_PolarBears","2011RouttiSpatialAndTemporal","PolarBear2005-08_EG-Copper-BiotaTerrest-2005-01-01-R-1","PolarBears2005-08","Biota","Stressor","Concentration","Results reported only by rough sampling area, not by site or year. Geo. Mean + Standard Deviation given for each population in low-resolution graph. Values read off manually.","Polar bear trace element monitoring across Alaska, Canada and Greenland","01/01/2005","31/12/2008",,"Not relevant",,"Environment Canada NWRC","Sam Welch","11/12/2025","Collaborative study involving multiple institutions across circumpolar Arctic. Samples from native subsistence hunts from ten subpopulations."
