"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"PolarBear2005-08_CB","Chukchi/Bering Sea","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_CB-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_NB","Northern Beaufort Sea","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_NB-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_SB","Southern Beaufort Sea","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_SB-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_GB","Gulf of Boothia","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_GB-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_LJS","Lancaster/Jones Sound","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_LJS-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_WHB","Western Hudson Bay","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_WHB-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_SHB","Southern Hudson Bay","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_SHB-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_BB","Baffin Bay - N.E. Baffin Island","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_BB-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_DS","Davis Strait - S.E. Baffin Island","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_DS-Copper-BiotaTerrest-2005-01-01-R-1"
"PolarBear2005-08_EG","East Greenland/Scoresby Sound","Copper","Stressor","Biota","Biota, Terrestrial","Internal to Organism","2005-01-01",1,"PolarBear2005-08_EG-Copper-BiotaTerrest-2005-01-01-R-1"
