"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_COORDINATE_SYSTEM","LATITUDE","LONGITUDE","COUNTRY_ISO","OCEAN_IHO","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"PolarBear2005-08_CB","Chukchi/Bering Sea","Coastal, fjord","Other","WGS 84",66,-168,"United States","Chukchi Sea",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_NB","Northern Beaufort Sea","Coastal, fjord","Other","WGS 84",71,-121,"Canada","Beaufort Sea",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_SB","Southern Beaufort Sea","Coastal, fjord","Other","WGS 84",69,-129,"Canada","Beaufort Sea",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_GB","Gulf of Boothia","Coastal, fjord","Other","WGS 84",69,-91,"Canada","Arctic Ocean",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_LJS","Lancaster/Jones Sound","Coastal, fjord","Other","WGS 84",75,-92,"Canada","Arctic Ocean",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_WHB","Western Hudson Bay","Coastal, fjord","Other","WGS 84",61,-93,"Canada","Hudson Bay",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_SHB","Southern Hudson Bay","Coastal, fjord","Other","WGS 84",56,-79,"Canada","Hudson Bay",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_BB","Baffin Bay - N.E. Baffin Island","Coastal, fjord","Other","WGS 84",71,-72,"Canada","Baffin Bay",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_DS","Davis Strait - S.E. Baffin Island","Coastal, fjord","Other","WGS 84",62,-68,"Canada","Davis Strait",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
"PolarBear2005-08_EG","East Greenland/Scoresby Sound","Coastal, fjord","Other","WGS 84",71,-22,"Greenland","Greenland Sea",0,"m","Sam Welch","2025-12-11","Approximated from sampling bounding box reported in https://doi.org/10.1016/j.envint.2010.10.008"
