SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,CAMPAIGN_NAME_SHORT,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT
Repparfjorden2013-15_001,Copper,01/04/2013,Aquatic Sediment,1,,237.3,,,,mg/kg (dry),10,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_001-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_002,Copper,01/04/2013,Aquatic Sediment,1,,129.7,,,,mg/kg (dry),21,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_002-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_003,Copper,01/04/2013,Aquatic Sediment,1,,30.7,,,,mg/kg (dry),20,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_003-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_004,Copper,01/04/2013,Aquatic Sediment,1,,13.1,,,,mg/kg (dry),15,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_004-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_005,Copper,01/04/2013,Aquatic Sediment,1,,11.2,,,,mg/kg (dry),20,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_005-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_007,Copper,01/04/2013,Aquatic Sediment,1,,10.7,,,,mg/kg (dry),10,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_007-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_008,Copper,01/04/2013,Aquatic Sediment,1,,12.8,,,,mg/kg (dry),8,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_008-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_009,Copper,01/04/2013,Aquatic Sediment,1,,24.4,,,,mg/kg (dry),20,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_009-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_010,Copper,01/04/2013,Aquatic Sediment,1,,10.9,,,,mg/kg (dry),11,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_010-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
Repparfjorden2013-15_011,Copper,01/04/2013,Aquatic Sediment,1,,7.5,,,,mg/kg (dry),20,,,,,S01_Core_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_ICPOES_Repparfjor,2017SternalTheImpactOf,Repparfjorden2013-15_011-Copper-AquaticSedim-2013-04-01-R-1,Repparfjorden2013-15,Aquatic,Stressor,Concentration,
