"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"Repparfjorden2013-15_001","Core 001 - Repparfjorden inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_001-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_002","Core 002 - Repparfjorden inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_002-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_003","Core 003 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_003-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_004","Core 004 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_004-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_005","Core 005 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_005-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_007","Core 007 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_007-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_008","Core 008 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_008-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_009","Core 009 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_009-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_010","Core 010 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_010-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_011","Core 011 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_011-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_013","Core 013 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_013-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_1039","Core 1039 - Repparfjorden inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_1039-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_1065","Core 1065 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_1065-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_1075","Core 1075 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_1075-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_1079","Core 1079 - Repparfjorden inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_1079-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_1087","Core 1087 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_1087-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_1089","Core 1089 - Repparfjorden inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_1089-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_SEDkjerne","SED kjerne - Repparfjorden reference core (Christensen et al. 2011)","Copper","Stressor","Aquatic","Aquatic Sediment","External","2013-04-01","1","Repparfjorden2013-15_SEDkjerne-Copper-AquaticSedim-2013-04-01-R-1"
"Repparfjorden2013-15_001","Core 001 - Repparfjorden inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_001-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_002","Core 002 - Repparfjorden inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_002-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_003","Core 003 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_003-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_004","Core 004 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_004-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_005","Core 005 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_005-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_007","Core 007 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_007-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_008","Core 008 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_008-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_009","Core 009 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_009-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_010","Core 010 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_010-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_011","Core 011 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_011-Copper-AquaticSedim-2015-06-01-R-1"
"Repparfjorden2013-15_013","Core 013 - Repparfjorden outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-06-01","1","Repparfjorden2013-15_013-Copper-AquaticSedim-2015-06-01-R-1"
