"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_COORDINATE_SYSTEM","LATITUDE","LONGITUDE","COUNTRY_ISO","OCEAN_IHO","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"Repparfjorden2013-15_001","Core 001 - Repparfjorden inner fjord","Coastal, fjord","Water benthos","WGS 84",70.4603,24.2877,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-001-MC-MF-D. Sampling date 16.04.2013. Water depth 47 m. Inner fjord. Latitude 70°27.611' N, Longitude 024°17.516' E converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_002","Core 002 - Repparfjorden inner fjord","Coastal, fjord","Water benthos","WGS 84",70.4731,24.2956,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-002-MC-MF-D. Sampling date 16.04.2013. Water depth 63 m. Inner fjord. Latitude 70°28.383' N, Longitude 024°17.737' E converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_003","Core 003 - Repparfjorden outer fjord","Coastal, fjord","Water benthos","WGS 84",70.487,24.25,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-003-MC-MF-D. Sampling date 16.04.2013. Water depth 86 m. Outer fjord. Latitude 70°29.211' N, Longitude 024°16.537' E converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_004","Core 004 - Repparfjorden outer fjord","Coastal, fjord","Water benthos","WGS 84",70.4978,24.2499,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-004-MC-MF-D. Sampling date 16.04.2013. Water depth 59 m. Outer fjord. Latitude 70°29.867' N, Longitude 024°14.996' E converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_005","Core 005 - Repparfjorden outer fjord","Coastal, fjord","Water benthos","WGS 84",70.4898,24.234,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-005-MC-MF-D. Sampling date 16.04.2013. Water depth 53 m. Outer fjord. Latitude 70°29.388' N, Longitude 024°14.041' E converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_007","Core 007 - Repparfjorden outer fjord","Coastal, fjord","Water benthos","WGS 84",70.5007,24.203,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-007-MC-MF-E. Sampling date 16.04.2013. Water depth 60 m. Outer fjord. Latitude 70°30.042' N, Longitude 024°12.180' E converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_008","Core 008 - Repparfjorden outer fjord","Coastal, fjord","Water benthos","WGS 84",70.5071,24.2153,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-008-MC-MF-D. Sampling date 16.04.2013. Water depth 65 m. Outer fjord. Latitude 70°30.427' N, Longitude 024°12.916' E converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_009","Core 009 - Repparfjorden outer fjord","Coastal, fjord","Water benthos","WGS 84",70.5172,24.1684,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-009-MC-MF-D. Sampling date 16.04.2013. Water depth 83 m. Outer fjord. Latitude 70°31.028' N, Longitude 024°10.108' E converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_010","Core 010 - Repparfjorden outer fjord","Coastal, fjord","Water benthos","WGS 84",70.5092,24.156,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-010-MC-MF-D. Sampling date 16.04.2013. Water depth 83 m. Outer fjord. Latitude 70°31.028' N, Longitude 024°10.108' E - note: same as 009 in table, likely a transcription issue. Table shows 70°30.552' N, 024°09.357' E for 010. Converted from degree-minutes to decimal degrees."
"Repparfjorden2013-15_011","Core 011 - Repparfjorden outer fjord","Coastal, fjord","Water benthos","WGS 84",70.4992,24.1472,"Norway","Norwegian Sea",0,"m","Sam Welch (Test Data)","2026-08-28","Station HH13-011-MC-MF-D. Sampling date 16.04.2013. Water depth 74 m. Outer fjord. Latitude 70°29.954' N, Longitude 024°08.883' E converted from degree-minutes to decimal degrees."
