"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2012-09-01","crab","Crustaceans","Cancer pagurus","Brown meat","Not reported","Not reported",""
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2013-09-01","crab","Crustaceans","Cancer pagurus","Brown meat","Not reported","Not reported",""
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2014-09-01","crab","Crustaceans","Cancer pagurus","Brown meat","Not reported","Not reported",""
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2015-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2015-09-01","crab","Crustaceans","Cancer pagurus","Brown meat","Not reported","Not reported",""
"Mausund2012-2015_LOC2-Copper-BiotaAquatic-2015-09-01-R-1","Mausund2012-2015_LOC2","Copper","Biota","Biota, Aquatic","Internal","2015-09-01","crab","Crustaceans","Cancer pagurus","Brown meat","Not reported","Not reported",""
"Mausund2012-2015_LOC2-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015_LOC2","Copper","Biota","Biota, Aquatic","Internal","2014-09-01","crab","Crustaceans","Cancer pagurus","Brown meat","Not reported","Not reported",""
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2012-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC2-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015_LOC2","Copper","Biota","Biota, Aquatic","Internal","2012-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC3-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015_LOC3","Copper","Biota","Biota, Aquatic","Internal","2012-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC4-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015_LOC4","Copper","Biota","Biota, Aquatic","Internal","2012-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2013-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC2-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015_LOC2","Copper","Biota","Biota, Aquatic","Internal","2013-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC4-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015_LOC4","Copper","Biota","Biota, Aquatic","Internal","2013-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2014-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC2-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015_LOC2","Copper","Biota","Biota, Aquatic","Internal","2014-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC4-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015_LOC4","Copper","Biota","Biota, Aquatic","Internal","2014-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2015-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2015-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC5-Copper-BiotaAquatic-2015-09-01-R-1","Mausund2012-2015_LOC5","Copper","Biota","Biota, Aquatic","Internal","2015-09-01","cod","Fish","Gadus morhua","Muscle","Not reported","Not reported",""
"Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015_LOC1","Copper","Biota","Biota, Aquatic","Internal","2014-09-01","1","Fish","Hippoglossus hippoglossus","Muscle","Not reported","Not reported",""
