"criterion_id","criterion_title","required_recommended","relevant_data","score","limitations"
"RV1","Sample Medium/Matrix","Required","2 compartments: Biota (Biota, Aquatic); Aquatic (Aquatic Sediment)","1","Yes, appropriate tissue (whole body/brown meat) + sediment samples."
"RV2","Collection Method/Sample Type","Recommended","1 protocol:
Sampling Protocol - Other: (Halibut and cod were caught using lines and cod traps, and crab using crab pots in the selected locations. Cod, halibut, and crab were kept in sea water and brought alive to Mausund fieldstation, and euthanized at the field station, prior to sampling of the tissues.)","2","Insufficient detail on biota sampling."
"RV3","Study Area","Required","5 sites. Countries: Norway. Areas: Norwegian Sea. Lowest coordinate precision: 2","2","Site coordinates precise but measurements aggregated."
"RV4","Site Type","Recommended","5 sites. Distinct features: Types: Ocean, sea, territorial waters, Subtypes: Other","2","Rationale (investigate pollution from fish farms) was given. Sites selected as proximate to farm and as background."
"RV5","Sampling Timespan","Required","2012-09-01 to 2015-09-01 (n=4, 1095 days (to nearest day))","1","Sampling repeated yearly (unsymmetrically)"
"RV6","Sampling Frequency","Required","2012-09-01 to 2015-09-01 (n=4, 1095 days (to nearest day))","1",""
"RV7","Temporal Conditions","Recommended","Relevant data not collected by app. Please complete manually.","4","Aside from proximity to fish farm, no."
"RV8","Analyte","Required","1 protocol:
Fractionation Protocol - Acid extractable.: (Samples were extracted by HNO3. For sediments: Ultra Clave digestion of 300 mg using 50% HNO3 (50/50 HNO3/water).)","2","Acid extractables."
"RV9","Sensitivity/LOD/LOQ","Required","1 protocol:
Analytical Protocol - Inductively coupled plasma mass spectrometry: (Analyzed using inductively coupled plasma mass spectroscopy (ICP-MS) at the Norwegian University of Science and Technology (NTNU). For sediments, analyzed using ICP-MS for 59 elements, including the 15 elements B, Se, Cd, Sn, Cs, Hg, Pb, Al, Cr, Mn, Fe, Ni, Cu, Zn, and As.)","1","ICP-MS appropriate for matrices and analyte."
"RV10","Summary Statistics Type","Recommended","Uncertainty types: Standard Deviation, Not Reported, Not Relevant","2","Some values reported as individual readings, but other aggregated."
"RV11","Supporting Parameters","Recommended","1 protocol:
Fractionation Protocol - Acid extractable.: (Samples were extracted by HNO3. For sediments: Ultra Clave digestion of 300 mg using 50% HNO3 (50/50 HNO3/water).)","2",""
