"SITE_CODE","PARAMETER_NAME","SAMPLING_DATE","ENVIRON_COMPARTMENT_SUB","SUBSAMPLE","MEASURED_FLAG","MEASURED_VALUE","UNCERTAINTY_TYPE","UNCERTAINTY_UPPER","UNCERTAINTY_LOWER","MEASURED_UNIT","MEASURED_N","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","SAMPLING_PROTOCOL","EXTRACTION_PROTOCOL","FRACTIONATION_PROTOCOL","ANALYTICAL_PROTOCOL","REFERENCE_ID","SAMPLE_ID","CAMPAIGN_NAME_SHORT","ENVIRON_COMPARTMENT","PARAMETER_TYPE","MEASURED_TYPE","MEASUREMENT_COMMENT","CAMPAIGN_NAME","CAMPAIGN_START_DATE","CAMPAIGN_END_DATE","RELIABILITY_SCORE","RELIABILITY_EVAL_SYS","CONFIDENTIALITY_EXPIRY_DATE","ORGANISATION","ENTERED_BY","ENTERED_DATE","CAMPAIGN_COMMENT"
"Mausund2012-2015_LOC1","Copper","2012-09-01","Biota, Aquatic","crab","",24.4,"Standard Deviation",59.4,0,"μg/g (dry)",5,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2013-09-01","Biota, Aquatic","crab","",26,"Standard Deviation",46.5,5.5,"μg/g (dry)",10,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2014-09-01","Biota, Aquatic","crab","",18.4,"Standard Deviation",26.5,10.3,"μg/g (dry)",5,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2015-09-01","Biota, Aquatic","crab","",41.2,"Standard Deviation",86.5,0,"μg/g (dry)",20,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2015-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC2","Copper","2015-09-01","Biota, Aquatic","crab","",31.2,"Standard Deviation",56.5,5.9,"μg/g (dry)",5,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2015-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC2","Copper","2014-09-01","Biota, Aquatic","crab","",47,"Standard Deviation",109.4,0,"μg/g (dry)",19,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2014-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2012-09-01","Biota, Aquatic","cod","",7,"Standard Deviation",18.6,0,"μg/g (dry)",4,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC2","Copper","2012-09-01","Biota, Aquatic","cod","",4.9,"Standard Deviation",9.6,0.2,"μg/g (dry)",2,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC3","Copper","2012-09-01","Biota, Aquatic","cod","",0,"Not Reported",,,"Other",,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC3-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC4","Copper","2012-09-01","Biota, Aquatic","cod","",0,"Not Reported",,,"Other",,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC4-Copper-BiotaAquatic-2012-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
"Mausund2012-2015_LOC1","Copper","2013-09-01","Biota, Aquatic","cod","",0.7,"Not Relevant",,,"μg/g (dry)",1,,"",,"","S01_Other_Mausund201","E01_AcidDigestion_Mausund201","E01_AcidDigestion_Mausund201","A01_InductivelyCoup_Mausund201","2018ErvikToxicAndEssential","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2013-09-01-R-1","Mausund2012-2015","Biota","Stressor","Concentration",,"Toxic and essential elements in seafood from Mausund, Norway",,,,"Not relevant",,"Norwegian University of Science and Technology","SAW",,"Annual surveys conducted during the period 2012–2015 as part of student research projects at Byåsen Upper Secondary School, Trondheim, with additional sampling by teachers from NTNU postgraduate course in mid-October 2015. Samplings were conducted in the first half of September each year."
