"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2012-09-01","crab","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2012-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2013-09-01","crab","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2013-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2014-09-01","crab","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-09-01","crab","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2015-09-01-R-1"
"Mausund2012-2015_LOC2","Location 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-09-01","crab","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2015-09-01-R-1"
"Mausund2012-2015_LOC2","Location 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","2014-09-01","crab","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2014-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2012-09-01","cod","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2012-09-01-R-1"
"Mausund2012-2015_LOC2","Location 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","2012-09-01","cod","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2012-09-01-R-1"
"Mausund2012-2015_LOC3","Location 3","Copper","Stressor","Biota","Biota, Aquatic","Internal","2012-09-01","cod","Mausund2012-2015_LOC3-Copper-BiotaAquatic-2012-09-01-R-1"
"Mausund2012-2015_LOC4","Location 4","Copper","Stressor","Biota","Biota, Aquatic","Internal","2012-09-01","cod","Mausund2012-2015_LOC4-Copper-BiotaAquatic-2012-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2013-09-01","cod","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2013-09-01-R-1"
"Mausund2012-2015_LOC2","Location 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","2013-09-01","cod","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2013-09-01-R-1"
"Mausund2012-2015_LOC4","Location 4","Copper","Stressor","Biota","Biota, Aquatic","Internal","2013-09-01","cod","Mausund2012-2015_LOC4-Copper-BiotaAquatic-2013-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2014-09-01","cod","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1"
"Mausund2012-2015_LOC2","Location 2","Copper","Stressor","Biota","Biota, Aquatic","Internal","2014-09-01","cod","Mausund2012-2015_LOC2-Copper-BiotaAquatic-2014-09-01-R-1"
"Mausund2012-2015_LOC4","Location 4","Copper","Stressor","Biota","Biota, Aquatic","Internal","2014-09-01","cod","Mausund2012-2015_LOC4-Copper-BiotaAquatic-2014-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-09-01","cod","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2015-09-01-R-1"
"Mausund2012-2015_LOC5","Location 5","Copper","Stressor","Biota","Biota, Aquatic","Internal","2015-09-01","cod","Mausund2012-2015_LOC5-Copper-BiotaAquatic-2015-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Biota","Biota, Aquatic","Internal","2014-09-01","halibut","Mausund2012-2015_LOC1-Copper-BiotaAquatic-2014-09-01-R-1"
"Mausund2012-2015_LOC1","Location 1 - close to salmon farm","Copper","Stressor","Aquatic","Aquatic Sediment","External","2015-09-01","sediment","Mausund2012-2015_LOC1-Copper-AquaticSedim-2015-09-01-R-1"
