"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"Bokfjorden2016_St 2","Inner fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","06/11/2016","1","Bokfjorden2016_St 2-Copper-BiotaAquatic-2016-11-06-R 1"
"Bokfjorden2016_St 4","Inner fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","06/11/2016","1","Bokfjorden2016_St 4-Copper-BiotaAquatic-2016-11-06-R 1"
"Bokfjorden2016_St 5","Inner fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","06/11/2016","1","Bokfjorden2016_St 5-Copper-BiotaAquatic-2016-11-06-R 1"
"Bokfjorden2016_St 7","Inner fjord","Copper","Stressor","Biota","Biota, Aquatic","Internal","06/11/2016","1","Bokfjorden2016_St 7-Copper-BiotaAquatic-2016-11-06-R 1"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","1","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 1"
"Bokfjorden2016_St 2","Inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","1","Bokfjorden2016_St 2-Copper-AquaticSedim-2016-11-06-R 1"
"Bokfjorden2016_St 3","Inner fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","1","Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 1"
"Bokfjorden2016_St 4","Center fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","1","Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 1"
"Bokfjorden2016_St 5","Outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","1","Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 1"
"Bokfjorden2016_St 6","Outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","1","Bokfjorden2016_St 6-Copper-AquaticSedim-2016-11-06-R 1"
"Bokfjorden2016_St 7","Outer fjord","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","1","Bokfjorden2016_St 7-Copper-AquaticSedim-2016-11-06-R 1"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","2","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 2"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","3","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 3"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","4","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 4"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","5","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 5"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","6","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 6"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","7","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 7"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","8","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 8"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","9","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R 9"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","10","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R10"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","11","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R11"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","12","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R12"
"Bokfjorden2016_St 1","Source area","Copper","Stressor","Aquatic","Aquatic Sediment","External","06/11/2016","13","Bokfjorden2016_St 1-Copper-AquaticSedim-2016-11-06-R13"
