"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera","BlackAngel2017_Station 1","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Urchin viscera","Invertebrates","Strongylocentrotus droebachiensis","Total soft tissues minus gonads","Adult","Not reported",""
"BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads","BlackAngel2017_Station 1","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","urchin gonads","Invertebrates","Strongylocentrotus droebachiensis","Gonad","Adult","Not reported",""
"BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-Seaweed","BlackAngel2017_Station 1","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Seaweed","Algae","Fucus vesiculosus","Shoot tips","Adult","Not reported",""
"BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-Mussels","BlackAngel2017_Station 1","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Mussels","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera","BlackAngel2017_Station 2","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Urchin viscera","Invertebrates","Strongylocentrotus droebachiensis","Total soft tissues minus gonads","Adult","Not reported",""
"BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads","BlackAngel2017_Station 2","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","urchin gonads","Invertebrates","Strongylocentrotus droebachiensis","Gonad","Adult","Not reported",""
"BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-Seaweed","BlackAngel2017_Station 2","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Seaweed","Algae","Fucus vesiculosus","Shoot tips","Adult","Not reported",""
"BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-Mussels","BlackAngel2017_Station 2","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Mussels","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
"BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera","BlackAngel2017_Station 3","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Urchin viscera","Invertebrates","Strongylocentrotus droebachiensis","Total soft tissues minus gonads","Adult","Not reported",""
"BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads","BlackAngel2017_Station 3","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","urchin gonads","Invertebrates","Strongylocentrotus droebachiensis","Gonad","Adult","Not reported",""
"BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-Seaweed","BlackAngel2017_Station 3","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Seaweed","Algae","Fucus vesiculosus","Shoot tips","Adult","Not reported",""
"BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-Mussels","BlackAngel2017_Station 3","Copper","Biota","Biota, Aquatic","Internal","2017-08-01","Mussels","Molluscs","Mytilus edulis","Total soft tissues","Adult","Not reported",""
