SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,CAMPAIGN_NAME_SHORT,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,
BlackAngel2017_Station 1,Copper,01/08/2017,"Biota, Aquatic",Urchin viscera,,14.3,Standard Deviation,16.7,11.9,mg/kg (dry),9,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 1,Copper,01/08/2017,"Biota, Aquatic",urchin gonads,,10.2,Standard Deviation,13.9,6.5,mg/kg (dry),9,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 1,Copper,01/08/2017,"Biota, Aquatic",Seaweed,,2.04,Standard Deviation,2.44,1.64,mg/kg (dry),3,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-Seaweed,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 1,Copper,01/08/2017,"Biota, Aquatic",Mussels,,9.31,Not reported,,,mg/kg (dry),10,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-Mussels,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 2,Copper,01/08/2017,"Biota, Aquatic",Urchin viscera,,7.56,Standard Deviation,10.09,5.03,mg/kg (dry),9,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 2,Copper,01/08/2017,"Biota, Aquatic",urchin gonads,,5.67,Standard Deviation,8.28,3.06,mg/kg (dry),9,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 2,Copper,01/08/2017,"Biota, Aquatic",Seaweed,,2.41,Standard Deviation,3.15,1.67,mg/kg (dry),3,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-Seaweed,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 2,Copper,01/08/2017,"Biota, Aquatic",Mussels,,14.5,Not reported,,,mg/kg (dry),10,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-Mussels,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 3,Copper,01/08/2017,"Biota, Aquatic",Urchin viscera,,8.68,Standard Deviation,10.84,6.52,mg/kg (dry),1,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 3,Copper,01/08/2017,"Biota, Aquatic",urchin gonads,,5.21,Standard Deviation,6.65,3.77,mg/kg (dry),11,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 3,Copper,01/08/2017,"Biota, Aquatic",Seaweed,,3.22,Standard Deviation,4.11,2.33,mg/kg (dry),3,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-Seaweed,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 3,Copper,01/08/2017,"Biota, Aquatic",Mussels,,7.07,Not reported,,,mg/kg (dry),10,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-Mussels,BlackAngel2017,Biota,Stressor,Concentration,,
BlackAngel2017_Station 1,Copper,01/08/2017,Marine/Salt Water,1,< LOD,,Not relevant,,,µg/L,1,,,0.15,µg/L,S04_Dgt_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 1-Copper-MarineSaltWa-2017-08-01-R-1,BlackAngel2017,Aquatic,Stressor,Concentration,,!Labile fraction
BlackAngel2017_Station 2,Copper,01/08/2017,Marine/Salt Water,1,,0.305,Not relevant,,,µg/L,1,,,,,S04_Dgt_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 2-Copper-MarineSaltWa-2017-08-01-R-1,BlackAngel2017,Aquatic,Stressor,Concentration,,!Labile fraction
BlackAngel2017_Station 3,Copper,01/08/2017,Marine/Salt Water,1,< LOD,,Not relevant,,,µg/L,1,,,0.15,µg/L,S04_Dgt_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 3-Copper-MarineSaltWa-2017-08-01-R-1,BlackAngel2017,Aquatic,Stressor,Concentration,,!Labile fraction
BlackAngel2017_Station 1,Copper,01/08/2017,Aquatic Sediment,1,,75.4,Not relevant,,,mg/kg (dry),1,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 1-Copper-AquaticSedim-2017-08-01-R-1,BlackAngel2017,Aquatic,Stressor,Concentration,,
BlackAngel2017_Station 2,Copper,01/08/2017,Aquatic Sediment,1,,39.1,Not relevant,,,mg/kg (dry),1,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 2-Copper-AquaticSedim-2017-08-01-R-1,BlackAngel2017,Aquatic,Stressor,Concentration,,
BlackAngel2017_Station 3,Copper,01/08/2017,Aquatic Sediment,1,,21.1,Not relevant,,,mg/kg (dry),1,,,,,S01_GrabSampling_BlackAngel,E01_Microwaveassist_BlackAngel,E01_Microwaveassist_BlackAngel,A01_InductivelyCoup_BlackAngel,2019SoendergaardGreenSeaUrchins,BlackAngel2017_Station 3-Copper-AquaticSedim-2017-08-01-R-1,BlackAngel2017,Aquatic,Stressor,Concentration,,
