"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"BlackAngel2017_Station 1","A-fjord mine site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Urchin viscera","BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera"
"BlackAngel2017_Station 1","A-fjord mine site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","urchin gonads","BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads"
"BlackAngel2017_Station 1","A-fjord mine site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Seaweed","BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-Seaweed"
"BlackAngel2017_Station 1","A-fjord mine site","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Mussels","BlackAngel2017_Station 1-Copper-BiotaAquatic-2017-08-01-R-Mussels"
"BlackAngel2017_Station 2","5 km from mine","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Urchin viscera","BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera"
"BlackAngel2017_Station 2","5 km from mine","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","urchin gonads","BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads"
"BlackAngel2017_Station 2","5 km from mine","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Seaweed","BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-Seaweed"
"BlackAngel2017_Station 2","5 km from mine","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Mussels","BlackAngel2017_Station 2-Copper-BiotaAquatic-2017-08-01-R-Mussels"
"BlackAngel2017_Station 3","Reference site 12 km from mine","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Urchin viscera","BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-UrchinViscera"
"BlackAngel2017_Station 3","Reference site 12 km from mine","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","urchin gonads","BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-UrchinGonads"
"BlackAngel2017_Station 3","Reference site 12 km from mine","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Seaweed","BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-Seaweed"
"BlackAngel2017_Station 3","Reference site 12 km from mine","Copper","Stressor","Biota","Biota, Aquatic","Internal","2017-08-01","Mussels","BlackAngel2017_Station 3-Copper-BiotaAquatic-2017-08-01-R-Mussels"
"BlackAngel2017_Station 1","A-fjord mine site","Copper","Stressor","Aquatic","Marine/Salt Water","External","2017-08-01","1","BlackAngel2017_Station 1-Copper-MarineSaltWa-2017-08-01-R-1"
"BlackAngel2017_Station 2","5 km from mine","Copper","Stressor","Aquatic","Marine/Salt Water","External","2017-08-01","1","BlackAngel2017_Station 2-Copper-MarineSaltWa-2017-08-01-R-1"
"BlackAngel2017_Station 3","Reference site 12 km from mine","Copper","Stressor","Aquatic","Marine/Salt Water","External","2017-08-01","1","BlackAngel2017_Station 3-Copper-MarineSaltWa-2017-08-01-R-1"
"BlackAngel2017_Station 1","A-fjord mine site","Copper","Stressor","Aquatic","Aquatic Sediment","External","2017-08-01","1","BlackAngel2017_Station 1-Copper-AquaticSedim-2017-08-01-R-1"
"BlackAngel2017_Station 2","5 km from mine","Copper","Stressor","Aquatic","Aquatic Sediment","External","2017-08-01","1","BlackAngel2017_Station 2-Copper-AquaticSedim-2017-08-01-R-1"
"BlackAngel2017_Station 3","Reference site 12 km from mine","Copper","Stressor","Aquatic","Aquatic Sediment","External","2017-08-01","1","BlackAngel2017_Station 3-Copper-AquaticSedim-2017-08-01-R-1"
