"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"NansenLegacy_R10","NE Barents Shelf Station R10","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R10-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R11","NE Barents Shelf Station R11","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R11-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R12","NE Barents Shelf Station R12","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R12-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R14","NE Barents Shelf Station R14","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R14-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R15","NE Barents Shelf Station R15","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R15-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R16","NE Barents Shelf Station R16","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R16-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R20","NE Barents Shelf Station R20","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R20-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R22","NE Barents Shelf Station R22","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R22-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R3","NE Barents Shelf Station R3","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R3-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R33","NE Barents Shelf Station R33","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R33-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R34","NE Barents Shelf Station R34","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R34-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R35","NE Barents Shelf Station R35","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R35-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R5","NE Barents Shelf Station R5","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R5-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_R6","NE Barents Shelf Station R6","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_R6-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P1","NW Barents Shelf Station P1","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P1-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P2","NW Barents Shelf Station P2","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P2-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P4","NW Barents Shelf Station P4","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P4-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P5","NW Barents Shelf Station P5","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P5-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P6","Nansen Basin Station P6","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P6-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P7.1","Nansen Basin Station P7.1","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P7.1-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P7.2","Nansen Basin Station P7.2","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P7.2-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_SICE4","Nansen Basin Station SICE4","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_SICE4-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P8","Nansen Basin Station P8","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P8-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P9","Amundsen Basin Station P9","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P9-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P10","Amundsen Basin Station P10","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P10-Copper-AquaticSedim-2019-08-01-R-1"
"NansenLegacy_P11","Amundsen Basin Station P11","Copper","Stressor","Aquatic","Aquatic Sediment","External","2019-08-01","1","NansenLegacy_P11-Copper-AquaticSedim-2019-08-01-R-1"
