"SITE_CODE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_COORDINATE_SYSTEM","LATITUDE","LONGITUDE","COUNTRY_ISO","OCEAN_IHO","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY","ENTERED_DATE","SITE_COMMENT"
"NansenLegacy_R10","NE Barents Shelf Station R10","Ocean, sea, territorial waters","Water benthos","WGS 84",78.139,69.7778,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 445 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R11","NE Barents Shelf Station R11","Ocean, sea, territorial waters","Water benthos","WGS 84",77.5151,68.2983,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 495 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R12","NE Barents Shelf Station R12","Ocean, sea, territorial waters","Water benthos","WGS 84",77.7983,67.56,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 430 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R14","NE Barents Shelf Station R14","Ocean, sea, territorial waters","Water benthos","WGS 84",78.4856,65.1545,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 374 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R15","NE Barents Shelf Station R15","Ocean, sea, territorial waters","Water benthos","WGS 84",78.767,64.0399,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 357 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R16","NE Barents Shelf Station R16","Ocean, sea, territorial waters","Water benthos","WGS 84",79.102,63.5217,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 280 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R20","NE Barents Shelf Station R20","Ocean, sea, territorial waters","Water benthos","WGS 84",78.1526,62.6307,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 395 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R22","NE Barents Shelf Station R22","Ocean, sea, territorial waters","Water benthos","WGS 84",77.0946,65.1076,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 106 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R3","NE Barents Shelf Station R3","Ocean, sea, territorial waters","Water benthos","WGS 84",79.3919,69.3238,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 542 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R33","NE Barents Shelf Station R33","Ocean, sea, territorial waters","Water benthos","WGS 84",76.5101,60.98,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 105 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R34","NE Barents Shelf Station R34","Ocean, sea, territorial waters","Water benthos","WGS 84",76.3852,59.8465,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 128 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R35","NE Barents Shelf Station R35","Ocean, sea, territorial waters","Water benthos","WGS 84",75.5958,56.5748,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 156 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R5","NE Barents Shelf Station R5","Ocean, sea, territorial waters","Water benthos","WGS 84",78.746,66.73,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 344 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_R6","NE Barents Shelf Station R6","Ocean, sea, territorial waters","Water benthos","WGS 84",78.7355,69.702,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 512 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P1","NW Barents Shelf Station P1","Ocean, sea, territorial waters","Water benthos","WGS 84",75.9997,31.2154,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 325 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P2","NW Barents Shelf Station P2","Ocean, sea, territorial waters","Water benthos","WGS 84",77.4995,34.0007,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 189 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P4","NW Barents Shelf Station P4","Ocean, sea, territorial waters","Water benthos","WGS 84",79.7457,34.0169,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 334 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P5","NW Barents Shelf Station P5","Ocean, sea, territorial waters","Water benthos","WGS 84",80.5021,34.0173,"Not relevant","Barents Sea",0,"m","SAW","2025-12-17","Bottom depth 161 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P6","Nansen Basin Station P6","Ocean, sea, territorial waters","Water benthos","WGS 84",81.5632,30.887,"Not relevant","Arctic Ocean",0,"m","SAW","2025-12-17","Bottom depth 1037 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P7.1","Nansen Basin Station P7.1","Ocean, sea, territorial waters","Water benthos","WGS 84",81.7276,28.6712,"Not relevant","Arctic Ocean",0,"m","SAW","2025-12-17","Bottom depth 2649 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P7.2","Nansen Basin Station P7.2","Ocean, sea, territorial waters","Water benthos","WGS 84",81.8097,30.8574,"Not relevant","Arctic Ocean",0,"m","SAW","2025-12-17","Bottom depth 3087 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_SICE4","Nansen Basin Station SICE4","Ocean, sea, territorial waters","Water benthos","WGS 84",81.9851,24.5301,"Not relevant","Arctic Ocean",0,"m","SAW","2025-12-17","Bottom depth 3604 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P8","Nansen Basin Station P8","Ocean, sea, territorial waters","Water benthos","WGS 84",83.831,26.161,"Not relevant","Arctic Ocean",0,"m","SAW","2025-12-17","Bottom depth 4018 m. Surface sediment (0-2 cm) sampling."
"NansenLegacy_P9","Amundsen Basin Station P9","Ocean, sea, territorial waters","Water benthos","WGS 84",85.5469,6.187,"Not relevant","Arctic Ocean",0,"m","SAW","2025-12-17","Bottom depth 3624 m. Surface sediment (0-2 cm) sampling."
