SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME_SHORT,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,RELIABILITY_SCORE,RELIABILITY_EVAL_SYS,CONFIDENTIALITY_EXPIRY_DATE,ORGANISATION,ENTERED_BY,ENTERED_DATE,CAMPAIGN_COMMENT
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,1,< LOD,,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-1,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,2,< LOD,,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-2,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,3,,0.2,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-3,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,4,,0.1,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-4,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,5,,0.1,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-5,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,6,,0.01,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-6,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,7,,0.2,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-7,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,8,,0.1,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-8,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,9,,0.04,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-9,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
ClimateSubmarineLeach2022_Reppar,Copper,25/04/2022,Leachate,10,,0.1,Not Reported,,,%,1,,,0.01,%,S01_NotReported_ClimateSub,E01_MembraneFiltrat_ClimateSub,F01_Other_ClimateSub,A01_Icpoes_ClimateSub,2022PedersenImpactsOfClimate,ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-10,Aquatic,Stressor,Concentration,,ClimateSubmarineLeach2022,Impacts of climate change on metal leaching and partitioning for submarine mine tailings disposal,,,,Not relevant,,Akvaplan-niva AS,Camden Karon Klefbom,,"Bench-scale experiments investigating the influence of variables affecting metal mobility and availability (DOC, pH, salinity, temperature, aerated/anoxic conditions, flocculant concentration, suspension) on leaching and partitioning of metals from mine tailings planned for submarine disposal in Repparfjorden, northern Norway. Three week duration experiments with multivariate experimental design."
