"SITE_CODE","SITE_NAME","PARAMETER_NAME","PARAMETER_TYPE","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SAMPLE_ID"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","1","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-1"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","2","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-2"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","3","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-3"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","4","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-4"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","5","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-5"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","6","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-6"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","7","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-7"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","8","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-8"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","9","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-9"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","10","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-10"
"ClimateSubmarineLeach2022_Reppar","","Copper","Stressor","Aquatic","Leachate","External Media","2022-04-25","11","ClimateSubmarineLeach2022_Reppar-Copper-Leachate-2022-04-25-R-11"
