SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,CAMPAIGN_NAME_SHORT,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT
CAGE22-1_Core6,Copper,01/04/2022,Porewater,2 cm,,0.0513,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-2Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,3 cm,,0.0727,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-3Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,4 cm,,0.0922,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-4Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,5 cm,,0.0466,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-5Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,6 cm,,0.0305,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-6Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,7 cm,,0.0522,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-7Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,8 cm,,0.0444,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-8Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,9 cm,,0.0570,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-9Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,11 cm,,0.0337,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-11Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,13 cm,,0.0400,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-13Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,15 cm,,0.0456,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-15Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,16 cm,,0.0711,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-16Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,17 cm,,0.0674,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-17Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core6,Copper,01/04/2022,Porewater,18 cm,,0.0718,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-18Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,1 cm,,0.1061,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-1Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,2 cm,,0.0198,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-2Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,3 cm,,0.0192,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-3Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,4 cm,,0.0249,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-4Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,5 cm,,0.0230,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-5Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,6 cm,,0.0324,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-6Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,7 cm,,0.0227,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-7Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,9 cm,,0.0186,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-9Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core4,Copper,01/04/2022,Porewater,10 cm,,0.0428,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-10Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core1,Copper,01/04/2022,Porewater,11 cm,,0.0315,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core1-Copper-Porewater-2022-04-01-R-11Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core1,Copper,01/04/2022,Porewater,13 cm,,0.0318,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core1-Copper-Porewater-2022-04-01-R-13Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
CAGE22-1_Core1,Copper,01/04/2022,Porewater,15 cm,,0.0239,Not relevant,,,µM,1,,,,,S01_CoreSampling_Repparfjor,E01_AcidDigestion_Repparfjor,E01_AcidDigestion_Repparfjor,A01_InductivelyCoup_Repparfjor,2024HoffBiogeochemicalImpactOf,CAGE22-1_Core1-Copper-Porewater-2022-04-01-R-15Cm,RepparfjordenGeochemistryFormanifera,Aquatic,Stressor,Concentration,"No concentrations below LOQ, LOQ. Limits not reported"
