SITE_CODE,SITE_NAME,PARAMETER_NAME,PARAMETER_TYPE,ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,MEASURED_CATEGORY,SAMPLING_DATE,SUBSAMPLE,SAMPLE_ID
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,2 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-2Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,3 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-3Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,4 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-4Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,5 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-5Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,6 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-6Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,7 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-7Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,8 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-8Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,9 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-9Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,11 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-11Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,13 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-13Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,15 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-15Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,16 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-16Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,17 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-17Cm
CAGE22-1_Core6,Historical mine tailings area no tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,18 cm,CAGE22-1_Core6-Copper-Porewater-2022-04-01-R-18Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,1 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-1Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,2 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-2Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,3 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-3Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,4 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-4Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,5 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-5Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,6 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-6Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,7 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-7Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,9 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-9Cm
CAGE22-1_Core4,Reference area near river delta,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,10 cm,CAGE22-1_Core4-Copper-Porewater-2022-04-01-R-10Cm
CAGE22-1_Core1,Historical mine tailings area with tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,1 cm,CAGE22-1_Core1-Copper-Porewater-2022-04-01-R-1Cm
CAGE22-1_Core1,Historical mine tailings area with tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,3 cm,CAGE22-1_Core1-Copper-Porewater-2022-04-01-R-3Cm
CAGE22-1_Core1,Historical mine tailings area with tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,5 cm,CAGE22-1_Core1-Copper-Porewater-2022-04-01-R-5Cm
CAGE22-1_Core1,Historical mine tailings area with tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,7 cm,CAGE22-1_Core1-Copper-Porewater-2022-04-01-R-7Cm
CAGE22-1_Core1,Historical mine tailings area with tubeworms,Copper,Stressor,Aquatic,Porewater,External Media,01/04/2022,9 cm,CAGE22-1_Core1-Copper-Porewater-2022-04-01-R-9Cm
