"SAMPLE_ID","SITE_CODE","PARAMETER_NAME","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","MEASURED_CATEGORY","SAMPLING_DATE","SUBSAMPLE","SPECIES_GROUP","SAMPLE_SPECIES","SAMPLE_TISSUE","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_SPECIES_GENDER","BIOTA_COMMENT"
"BarentsEchinoderms2015_St1-Copper-BiotaAquatic-2015-08-01-R-HippasteriaPhrygiana","BarentsEchinoderms2015_St1","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Hippasteria phrygiana","Invertebrates","Hippasteria phrygiana","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St1-Copper-BiotaAquatic-2015-08-01-R-UrasteriasLincki","BarentsEchinoderms2015_St1","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Urasterias lincki","Invertebrates","Urasterias lincki","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St2-Copper-BiotaAquatic-2015-08-01-R-1","BarentsEchinoderms2015_St2","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","1","Invertebrates","Pteraster pulvillus","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St3-Copper-BiotaAquatic-2015-08-01-R-1","BarentsEchinoderms2015_St3","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","1","Invertebrates","Gorgonocephalus arcticus","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St5-Copper-BiotaAquatic-2015-08-01-R-1","BarentsEchinoderms2015_St5","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","1","Invertebrates","Pteraster obscurus","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St6-Copper-BiotaAquatic-2015-08-01-R-1","BarentsEchinoderms2015_St6","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","1","Invertebrates","Strongylocentrotus pallidus","Echinoid corona","Not reported","Not reported",""
"BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-GorgonocephalusLamarckii","BarentsEchinoderms2015_St7","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Gorgonocephalus lamarckii","Invertebrates","Gorgonocephalus lamarckii","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-OphiopleuraBorealis","BarentsEchinoderms2015_St7","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Ophiopleura borealis","Invertebrates","Ophiopleura borealis","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-OphiuraSarsii","BarentsEchinoderms2015_St7","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Ophiura sarsii","Invertebrates","Ophiura sarsii","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-PontasterTenuispinus","BarentsEchinoderms2015_St7","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Pontaster tenuispinus","Invertebrates","Pontaster tenuispinus","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-PterasterObscurus","BarentsEchinoderms2015_St7","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Pteraster obscurus","Invertebrates","Pteraster obscurus","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St7-Copper-BiotaAquatic-2015-08-01-R-HeliometraGlacialis","BarentsEchinoderms2015_St7","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Heliometra glacialis","Invertebrates","Heliometra glacialis","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St8-Copper-BiotaAquatic-2015-08-01-R-CtenodiscusCrispatus","BarentsEchinoderms2015_St8","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Ctenodiscus crispatus","Invertebrates","Ctenodiscus crispatus","Disc skeleton","Not reported","Not reported",""
"BarentsEchinoderms2015_St8-Copper-BiotaAquatic-2015-08-01-R-OphiopleuraBorealis","BarentsEchinoderms2015_St8","Copper","Biota","Biota, Aquatic","Internal","2015-08-01","Ophiopleura borealis","Invertebrates","Ophiopleura borealis","Disc skeleton","Not reported","Not reported",""
