"criterion_id","criterion_title","required_recommended","relevant_data","score","limitations"
"RV1","Sample Medium/Matrix","Required","1 compartment: Biota (Biota, Aquatic)","1",""
"RV2","Collection Method/Sample Type","Recommended","1 protocol:
Sampling Protocol - Trawl sampling: (Bottom trawl dragged on the sea bottom for 15 min at depths ranging from 74 to 309 m. Skin and soft body parts were separated from the skeleton, then remaining organic tissue were removed from each skeletal piece under stereomicroscope. No chemical bleaching was used. Skeletal pieces were homogenized using mortar and pestle made of agate.)","1",""
"RV3","Study Area","Required","17 sites. Countries: Svalbard and Jan Mayen. Areas: Barents Sea. Lowest coordinate precision: 0","2","Potential pollution sources and local metal dynamics discussed, but sites only reported as map."
"RV4","Site Type","Recommended","17 sites. Distinct features: Types: Ocean, sea, territorial waters, Subtypes: Water benthos","1",""
"RV5","Sampling Timespan","Required","2015-08-01 (n=1)","2",""
"RV6","Sampling Frequency","Required","2015-08-01 (n=1)","2",""
"RV7","Temporal Conditions","Recommended","Relevant data not collected by app. Please complete manually.","2","Long-term but no short-term conditions discussed."
"RV8","Analyte","Required","1 protocol:
Fractionation Protocol - Acid extractable: (For the analysis of other elements, approximately 300 mg of ground and lyophilized samples were weighed and subjected to digestion using the Anton Paar Multiwave GO Microwave Assisted Digestion system. Digestion was carried out using 8 ml of nitric acid.)","2",""
"RV9","Sensitivity/LOD/LOQ","Required","LOQ: 0.43 to 0.43 mg/kg (dry); LOD: 1.41 to 1.41 mg/kg (dry)

1 protocol:
Analytical Protocol - Inductively coupled plasma optical emission spectroscopy: (Copper determined using Agilent MP-AES 4210 equipment at wavelengths 327.395 nm and 324.754 nm. Four repetitions for each wavelength. CRM MODAS-5 Cod Tissue and MODAS-3 Herring tissue used for validation with 80-120% recovery rates.)","1",""
"RV10","Summary Statistics Type","Recommended","Uncertainty types: Not Relevant, Standard Deviation","1","Original values reported."
"RV11","Supporting Parameters","Recommended","1 protocol:
Fractionation Protocol - Acid extractable: (For the analysis of other elements, approximately 300 mg of ground and lyophilized samples were weighed and subjected to digestion using the Anton Paar Multiwave GO Microwave Assisted Digestion system. Digestion was carried out using 8 ml of nitric acid.)","2","Acid extractable."
